Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	m/(s^2)	no_units	no_units	m/(s^2)	no_units	local_flux	local_flux	no_units	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	m/(s^2)	no_units	
1294.0	-1.6304347826086956	10.42391304347826	2403.0	2093.0	1.7391304347826086	-167.0	0.25037481259370314	0.3373313343328336	582.0	9.765625	225.0	-0.8725637181409295	32768.0	26.982159406418212	38.0	-1.1585365853658538	1.2572455E7	383680.8776855469	48.0	-0.426829268292683	14.0	-1.4634146341463417	2612.0	3827.1062271062274	108.0	-0.2583732057416268	-1524.0	9.473684210526315	0.0	146.19119890832485	-3.6459330143540667	-3960.0	
1294.0	-1.6304347826086956	10.42391304347826	2403.0	2099.0	1.6739130434782608	-169.0	0.25337331334332835	0.3298350824587706	586.0	19.53125	220.0	-0.8785607196401799	32768.0	26.982159406418212	26.0	-0.7926829268292683	1.2572775E7	383690.6433105469	66.0	-0.39634146341463417	13.0	-2.0121951219512195	2600.0	3809.523809523809	108.0	-0.2583732057416268	-1540.0	9.444976076555024	4775344.0	97.67731689766244	-3.6842105263157894	-3948.0	
1293.0	-1.6195652173913042	10.434782608695652	2402.0	2093.0	1.7391304347826086	-167.0	0.25037481259370314	0.335832083958021	586.0	29.296875	224.0	-0.8785607196401799	32768.0	26.982159406418212	33.0	-1.0060975609756098	1.2573095E7	383700.4089355469	72.0	0.4573170731707317	-15.0	-2.1951219512195124	2608.0	3821.2454212454213	116.0	-0.27751196172248804	-1508.0	9.435406698564593	4775344.0	97.67731689766244	-3.6076555023923444	-3944.0	
1298.0	-1.576086956521739	10.380434782608695	2398.0	2100.0	1.6630434782608696	-169.0	0.25337331334332835	0.33433283358320837	585.0	39.0625	223.0	-0.8770614692653673	32768.0	26.982159406418212	41.0	-1.2500000000000002	1.2573415E7	383710.1745605469	80.0	0.5182926829268293	-17.0	-2.439024390243903	2594.0	3800.7326007326005	120.0	-0.28708133971291866	-1488.0	9.425837320574162	4775344.0	97.67731689766244	-3.5598086124401913	-3940.0	
1293.0	-1.5217391304347825	10.434782608695652	2393.0	2101.0	1.6521739130434783	-168.0	0.2518740629685157	0.3298350824587706	586.0	48.828125	220.0	-0.8785607196401799	32768.0	26.982159406418212	44.0	-1.3414634146341464	1.2573735E7	383719.9401855469	73.0	0.3353658536585366	-11.0	-2.2256097560975614	2607.0	3819.78021978022	108.0	-0.2583732057416268	-1484.0	9.416267942583731	4775344.0	97.67731689766244	-3.5502392344497604	-3936.0	
1295.0	-1.5	10.41304347826087	2391.0	2094.0	1.7282608695652173	-170.0	0.25487256371814093	0.33883058470764615	576.0	58.59375	226.0	-0.8635682158920539	32768.0	26.982159406418212	53.0	-1.6158536585365855	1.2574055E7	383729.7058105469	48.0	0.12195121951219513	-4.0	-1.4634146341463417	2612.0	3827.1062271062274	120.0	-0.28708133971291866	-1468.0	9.464114832535884	4775344.0	97.67731689766244	-3.511961722488038	-3956.0	
1296.0	-1.4565217391304348	10.402173913043478	2387.0	2095.0	1.717391304347826	-166.0	0.24887556221889054	0.3373313343328336	582.0	68.359375	225.0	-0.8725637181409295	32768.0	26.982159406418212	46.0	-1.402439024390244	1.2574375E7	383739.4714355469	23.0	-0.48780487804878053	16.0	-0.701219512195122	2614.0	3830.0366300366304	116.0	-0.27751196172248804	-1464.0	9.416267942583731	4776832.0	97.662324377391	-3.5023923444976077	-3936.0	
