Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	m/(s^2)	no_units	no_units	m/(s^2)	no_units	local_flux	local_flux	no_units	ms	no_units	local_flux	no_units	Degrees Celsius	deg/s	no_units	ms	Ticks	no_units	deg/s	no_units	deg/s	mV	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
2814.0	-2.391304347826087	-6.0978260869565215	2473.0	1851.0	4.369565217391305	-35.0	0.05247376311844078	0.3778110944527736	-43.0	9.765625	252.0	0.06446776611694152	32768.0	26.982159406418212	-8.079268292682928	265.0	446602.5085449219	1.4634271E7	-522.0	-13.810975609756099	453.0	15.914634146341465	3832.967032967033	2616.0	-1052.0	2.5167464114832536	-1924.0	-9.282296650717702	0.0	146.19119890832485	3880.0	-4.6028708133971294	
2808.0	-2.630434782608696	-6.032608695652174	2495.0	1894.0	3.902173913043478	-37.0	0.05547226386806597	0.36881559220389803	-44.0	19.53125	246.0	0.06596701649175413	32768.0	26.982159406418212	-6.00609756097561	197.0	446612.2741699219	1.4634591E7	-269.0	-10.27439024390244	337.0	8.201219512195122	3830.0366300366304	2614.0	-840.0	2.0095693779904304	-1996.0	-9.282296650717702	4775472.0	97.67602721545177	3880.0	-4.77511961722488	
2807.0	-2.630434782608696	-6.021739130434782	2495.0	1910.0	3.7282608695652173	-37.0	0.05547226386806597	0.3733133433283358	-48.0	29.296875	249.0	0.07196401799100449	32768.0	26.982159406418212	-6.128048780487806	201.0	446622.0397949219	1.4634911E7	60.0	-4.51219512195122	148.0	-1.829268292682927	3831.5018315018315	2615.0	-772.0	1.84688995215311	-2036.0	-9.272727272727272	4775472.0	97.67602721545177	3876.0	-4.8708133971291865	
2776.0	-2.0869565217391304	-5.684782608695652	2445.0	1885.0	4.0	-37.0	0.05547226386806597	0.3703148425787106	-39.0	39.0625	247.0	0.05847076461769115	32768.0	26.982159406418212	-4.237804878048781	139.0	446631.8054199219	1.4635231E7	235.0	0.6402439024390244	-21.0	-7.164634146341464	3812.454212454212	2602.0	-880.0	2.1052631578947367	-1796.0	-8.75598086124402	4775472.0	97.67602721545177	3660.0	-4.296650717703349	
2746.0	-1.684782608695652	-5.358695652173913	2408.0	1851.0	4.369565217391305	-34.0	0.050974512743628186	0.3748125937031484	-47.0	48.828125	250.0	0.0704647676161919	32768.0	26.982159406418212	-1.9207317073170733	63.0	446641.5710449219	1.4635551E7	280.0	-0.06097560975609757	2.0	-8.536585365853659	3812.454212454212	2602.0	-1072.0	2.5645933014354068	-1596.0	-8.430622009569378	4775472.0	97.67602721545177	3524.0	-3.818181818181818	
2746.0	-1.4456521739130435	-5.358695652173913	2386.0	1835.0	4.543478260869565	-33.0	0.04947526236881559	0.37181409295352325	-35.0	58.59375	248.0	0.05247376311844078	32768.0	26.982159406418212	-2.2256097560975614	73.0	446651.3366699219	1.4635871E7	152.0	0.30487804878048785	-10.0	-4.634146341463415	3840.2930402930406	2621.0	-1100.0	2.631578947368421	-1524.0	-8.4688995215311	4775472.0	97.67602721545177	3540.0	-3.6459330143540667	
2733.0	-1.1304347826086956	-5.217391304347826	2357.0	1787.0	5.065217391304348	-39.0	0.05847076461769115	0.3703148425787106	-47.0	68.359375	247.0	0.0704647676161919	32768.0	26.982159406418212	-0.7926829268292683	26.0	446661.1022949219	1.4636191E7	-54.0	3.8414634146341466	-126.0	1.6463414634146343	3824.1758241758243	2610.0	-1344.0	3.215311004784689	-1324.0	-8.296650717703349	4777152.0	97.65910018961166	3468.0	-3.1674641148325358	
2699.0	-1.4239130434782608	-4.8478260869565215	2384.0	1702.0	5.989130434782608	-39.0	0.05847076461769115	0.3703148425787106	-47.0	78.125	247.0	0.0704647676161919	32768.0	26.982159406418212	-0.27439024390243905	9.0	446670.8679199219	1.4636511E7	-188.0	0.30487804878048785	-10.0	5.731707317073171	3828.571428571429	2613.0	-1756.0	4.200956937799043	-1460.0	-7.875598086124402	4777152.0	97.65910018961166	3292.0	-3.492822966507177	
