Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	m/(s^2)	no_units	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	local_flux	no_units	no_units	Degrees Celsius	deg/s	no_units	Ticks	ms	no_units	deg/s	no_units	deg/s	mV	no_units	m/(s^2)	no_units	no_units	m/(s^2)	no_units	kPa	m/(s^2)	no_units	
2748.0	-1.9456521739130435	-5.380434782608695	2432.0	1879.0	4.065217391304348	-54.0	0.08095952023988005	-45.0	0.328335832083958	9.765625	0.06746626686656672	219.0	32768.0	26.982159406418212	-0.3353658536585366	11.0	1.6133324E7	492349.9755859375	-283.0	4.817073170731708	-158.0	8.628048780487806	3834.4322344322345	2617.0	2.200956937799043	-920.0	-1716.0	-8.421052631578947	0.0	146.19119890832485	-4.105263157894736	3520.0	
2796.0	-1.967391304347826	-5.9021739130434785	2434.0	1919.0	3.6304347826086953	-62.0	0.09295352323838081	-46.0	0.3238380809595202	19.53125	0.06896551724137931	216.0	32768.0	26.982159406418212	-0.8231707317073171	27.0	1.6133644E7	492359.7412109375	-26.0	5.091463414634147	-167.0	0.7926829268292683	3827.1062271062274	2612.0	1.6267942583732056	-680.0	-1748.0	-8.995215311004785	4774304.0	97.6877955868892	-4.181818181818182	3760.0	
2791.0	-1.8369565217391304	-5.8478260869565215	2422.0	1899.0	3.8478260869565215	-67.0	0.10044977511244378	-51.0	0.31784107946026985	29.296875	0.07646176911544228	212.0	32768.0	26.982159406418212	-1.128048780487805	37.0	1.6133964E7	492369.5068359375	310.0	7.500000000000001	-246.0	-9.451219512195124	3816.849816849817	2605.0	1.9330143540669855	-808.0	-1696.0	-8.976076555023923	4774304.0	97.6877955868892	-4.057416267942584	3752.0	
2757.0	-1.5978260869565217	-5.478260869565217	2400.0	1915.0	3.6739130434782608	-63.0	0.0944527736131934	-46.0	0.32233883058470764	39.0625	0.06896551724137931	215.0	32768.0	26.982159406418212	0.8231707317073171	-27.0	1.6134284E7	492379.2724609375	624.0	6.52439024390244	-214.0	-19.02439024390244	3790.4761904761904	2587.0	1.7416267942583732	-728.0	-1584.0	-8.564593301435407	4774304.0	97.6877955868892	-3.789473684210526	3580.0	
2761.0	-0.8695652173913043	-5.521739130434782	2333.0	1898.0	3.858695652173913	-60.0	0.08995502248875561	-48.0	0.32533733133433285	48.828125	0.07196401799100449	217.0	32768.0	26.982159406418212	2.987804878048781	-98.0	1.6134604E7	492389.0380859375	479.0	7.896341463414635	-259.0	-14.603658536585368	3809.523809523809	2600.0	1.894736842105263	-792.0	-1216.0	-8.593301435406698	4774304.0	97.6877955868892	-2.909090909090909	3592.0	
2761.0	-0.40217391304347827	-5.521739130434782	2290.0	1861.0	4.260869565217392	-56.0	0.08395802098950525	-43.0	0.3268365817091454	58.59375	0.06446776611694152	218.0	32768.0	26.982159406418212	4.146341463414634	-136.0	1.6134924E7	492398.8037109375	113.0	8.26219512195122	-271.0	-3.4451219512195124	3824.1758241758243	2610.0	2.354066985645933	-984.0	-1004.0	-8.669856459330143	4774304.0	97.6877955868892	-2.401913875598086	3624.0	
2762.0	-0.6956521739130435	-5.532608695652174	2317.0	1854.0	4.33695652173913	-56.0	0.08395802098950525	-43.0	0.3268365817091454	68.359375	0.06446776611694152	218.0	32768.0	26.982159406418212	4.146341463414634	-136.0	1.6135244E7	492408.5693359375	-301.0	7.77439024390244	-255.0	9.176829268292684	3822.710622710623	2609.0	2.4401913875598087	-1020.0	-1164.0	-8.679425837320574	4775184.0	97.67892900123242	-2.784688995215311	3628.0	
