Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	no_units	ms	local_flux	no_units	Degrees Celsius	no_units	no_units	deg/s	ms	Ticks	no_units	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	m/(s^2)	no_units	
1880.0	-2.0760869565217392	4.054347826086956	2444.0	4.413043478260869	1847.0	-0.32533733133433285	217.0	0.5622188905547226	337.0	9.765625	-0.505247376311844	375.0	26.982159406418212	32768.0	7845.0	-239.1768292682927	88625.39672851562	2904077.0	7085.0	-237.40853658536588	7787.0	-216.00609756097563	2614.0	3830.0366300366304	-1200.0	2.8708133971291865	-1808.0	2.1818181818181817	0.0	146.19119890832485	-4.325358851674641	-912.0	
1965.0	-1.7608695652173914	3.1304347826086953	2415.0	4.0	1885.0	-0.34332833583208394	229.0	0.5517241379310345	312.0	19.53125	-0.4677661169415292	368.0	26.982159406418212	32768.0	7223.0	-220.21341463414637	88635.16235351562	2904397.0	7658.0	-221.58536585365854	7268.0	-233.47560975609758	2597.0	3805.128205128205	-960.0	2.2966507177033493	-1604.0	1.062200956937799	4770272.0	97.72842101697871	-3.8373205741626792	-444.0	
2016.0	-0.9891304347826086	2.5760869565217392	2344.0	3.793478260869565	1904.0	-0.34782608695652173	232.0	0.5322338830584707	290.0	29.296875	-0.43478260869565216	355.0	26.982159406418212	32768.0	6444.0	-196.46341463414635	88644.92797851562	2904717.0	8133.0	-208.96341463414637	6854.0	-247.95731707317074	2601.0	3810.9890109890107	-864.0	2.0669856459330145	-1340.0	0.507177033492823	4770272.0	97.72842101697871	-3.2057416267942584	-212.0	
2072.0	-0.03260869565217391	1.967391304347826	2256.0	3.7282608695652173	1910.0	-0.3733133433283358	249.0	0.5157421289355322	281.0	39.0625	-0.4212893553223388	344.0	26.982159406418212	32768.0	5755.0	-175.45731707317074	88654.69360351562	2905037.0	8011.0	-194.69512195121953	6386.0	-244.2378048780488	2598.0	3806.5934065934066	-856.0	2.047846889952153	-916.0	-0.2296650717703349	4770272.0	97.72842101697871	-2.1913875598086126	96.0	
2148.0	0.7934782608695652	1.141304347826087	2180.0	3.9456521739130435	1890.0	-0.3823088455772114	255.0	0.49025487256371814	259.0	48.828125	-0.38830584707646176	327.0	26.982159406418212	32768.0	5137.0	-156.6158536585366	88664.45922851562	2905357.0	7671.0	-183.20121951219514	6009.0	-233.87195121951223	2592.0	3797.8021978021975	-912.0	2.1818181818181817	-452.0	-1.186602870813397	4770272.0	97.72842101697871	-1.0813397129186602	496.0	
2249.0	1.7826086956521738	0.043478260869565216	2089.0	4.782608695652174	1813.0	-0.3778110944527736	252.0	0.472263868065967	242.0	58.59375	-0.36281859070464767	315.0	26.982159406418212	32768.0	4569.0	-139.2987804878049	88674.22485351562	2905677.0	7319.0	-169.63414634146343	5564.0	-223.14024390243904	2607.0	3819.78021978022	-1276.0	3.052631578947368	4.0	-2.4401913875598087	4770272.0	97.72842101697871	0.009569377990430622	1020.0	
2302.0	2.4891304347826084	-0.532608695652174	2024.0	5.543478260869565	1743.0	-0.39430284857571213	263.0	0.4587706146926537	235.0	68.359375	-0.3523238380809595	306.0	26.982159406418212	32768.0	4013.0	-122.34756097560977	88683.99047851562	2905997.0	6785.0	-156.40243902439025	5130.0	-206.859756097561	2615.0	3831.5018315018315	-1572.0	3.7607655502392343	336.0	-3.0430622009569377	4771456.0	97.71649126815852	0.8038277511961722	1272.0	
