Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	deg/s	no_units	ms	Ticks	deg/s	no_units	no_units	deg/s	mV	no_units	no_units	m/(s^2)	no_units	m/(s^2)	kPa	no_units	no_units	m/(s^2)	
2108.0	-1.3478260869565217	2377.0	1.576086956521739	2209.0	0.4782608695652174	-182.0	0.272863568215892	-4.0	0.40629685157421286	9.765625	271.0	0.005997001499250375	32768.0	26.982159406418212	-192.53048780487808	6315.0	507749.1149902344	1.6637923E7	-123.93292682926831	219.0	4065.0	-6.676829268292684	3799.267399267399	2593.0	708.0	-1.69377990430622	-1372.0	-0.7272727272727273	146.19119890832485	0.0	304.0	-3.2822966507177034	
2069.0	-1.2934782608695652	2372.0	2.0	2172.0	0.8804347826086957	-177.0	0.2653673163418291	1.0	0.38980509745127434	19.53125	260.0	-0.0014992503748125937	32768.0	26.982159406418212	-213.2926829268293	6996.0	507758.8806152344	1.6638243E7	-134.60365853658539	165.0	4415.0	-5.0304878048780495	3825.641025641026	2611.0	584.0	-1.3971291866028708	-1348.0	-0.21052631578947367	97.76227597686086	4766912.0	88.0	-3.2248803827751193	
2050.0	-1.1956521739130435	2363.0	2.2065217391304346	2161.0	1.0	-188.0	0.2818590704647676	2.0	0.36431784107946025	29.296875	243.0	-0.0029985007496251873	32768.0	26.982159406418212	-235.21341463414637	7715.0	507768.6462402344	1.6638563E7	-145.94512195121953	-208.0	4787.0	6.341463414634147	3771.4285714285716	2574.0	472.0	-1.1291866028708133	-1272.0	0.057416267942583726	97.76227597686086	4766912.0	-24.0	-3.0430622009569377	
2043.0	-0.7826086956521738	2325.0	2.282608695652174	2149.0	1.1304347826086956	-197.0	0.29535232383808097	0.0	0.3583208395802099	39.0625	239.0	0.0	32768.0	26.982159406418212	-256.1585365853659	8402.0	507778.4118652344	1.6638883E7	-160.03048780487805	-635.0	5249.0	19.35975609756098	3794.871794871795	2590.0	448.0	-1.0717703349282297	-1084.0	0.07655502392344497	97.76227597686086	4766912.0	-32.0	-2.5933014354066986	
2036.0	-0.43478260869565216	2293.0	2.358695652173913	2146.0	1.1630434782608696	-208.0	0.3118440779610195	2.0	0.335832083958021	48.828125	224.0	-0.0029985007496251873	32768.0	26.982159406418212	-272.31707317073176	8932.0	507788.1774902344	1.6639203E7	-173.96341463414635	-972.0	5706.0	29.634146341463417	3810.9890109890107	2601.0	472.0	-1.1291866028708133	-908.0	0.028708133971291863	97.76227597686086	4766912.0	-12.0	-2.172248803827751	
2024.0	-0.13043478260869565	2265.0	2.4891304347826084	2147.0	1.1521739130434783	-203.0	0.3043478260869565	8.0	0.31334332833583206	58.59375	209.0	-0.01199400299850075	32768.0	26.982159406418212	-288.26219512195127	9455.0	507797.9431152344	1.6639523E7	-184.39024390243904	-1123.0	6048.0	34.237804878048784	3793.4065934065934	2589.0	428.0	-1.0239234449760766	-808.0	0.33492822966507174	97.76227597686086	4766912.0	-140.0	-1.9330143540669855	
1995.0	0.18478260869565216	2236.0	2.8043478260869565	2145.0	1.1739130434782608	-226.0	0.33883058470764615	12.0	0.2908545727136432	68.359375	194.0	-0.017991004497751123	32768.0	26.982159406418212	-305.7926829268293	10030.0	507807.7087402344	1.6639843E7	-196.03658536585368	-1412.0	6430.0	43.04878048780488	3802.197802197802	2595.0	416.0	-0.9952153110047847	-656.0	0.5933014354066986	97.7508297319096	4768048.0	-248.0	-1.569377990430622	
