Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
m/(s^2)	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	local_flux	no_units	ms	no_units	local_flux	no_units	Degrees Celsius	deg/s	no_units	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	m/(s^2)	no_units	m/(s^2)	no_units	no_units	kPa	m/(s^2)	no_units	
0.8043478260869565	2611.0	2179.0	-3.891304347826087	2512.0	-2.8152173913043477	-284.0	0.4257871064467766	0.4047976011994003	108.0	9.765625	270.0	-0.1619190404797601	32768.0	26.982159406418212	-30.762195121951223	1009.0	2828327.0	86313.69018554688	2858.0	106.28048780487806	-3486.0	-87.13414634146342	2605.0	3816.849816849817	-5.4162679425837315	2264.0	-7.119617224880383	-612.0	0.0	146.19119890832485	-1.464114832535885	2976.0	
0.8043478260869565	2451.0	2179.0	-2.152173913043478	2561.0	-3.3478260869565215	-286.0	0.4287856071964018	0.42278860569715143	94.0	19.53125	282.0	-0.1409295352323838	32768.0	26.982159406418212	-7.8048780487804885	256.0	2828647.0	86323.45581054688	3129.0	63.50609756097562	-2083.0	-95.39634146341464	2600.0	3809.523809523809	-6.038277511961723	2524.0	-4.851674641148326	-544.0	4764352.0	97.78807049732154	-1.3014354066985645	2028.0	
0.4891304347826087	2397.0	2208.0	-1.5652173913043477	2564.0	-3.3804347826086953	-283.0	0.424287856071964	0.4212893553223388	101.0	29.296875	281.0	-0.15142428785607195	32768.0	26.982159406418212	-7.073170731707318	232.0	2828967.0	86333.22143554688	2847.0	20.457317073170735	-671.0	-86.79878048780489	2598.0	3806.5934065934066	-6.2105263157894735	2596.0	-4.105263157894736	-580.0	4764352.0	97.78807049732154	-1.38755980861244	1716.0	
-0.15217391304347827	2467.0	2267.0	-2.3260869565217392	2513.0	-2.8260869565217392	-287.0	0.4302848575712144	0.4302848575712144	94.0	39.0625	287.0	-0.1409295352323838	32768.0	26.982159406418212	-17.77439024390244	583.0	2829287.0	86342.98706054688	2293.0	-19.207317073170735	630.0	-69.90853658536587	2600.0	3809.523809523809	-5.521531100478469	2308.0	-4.889952153110047	-868.0	4764352.0	97.78807049732154	-2.076555023923445	2044.0	
-0.4891304347826087	2608.0	2298.0	-3.858695652173913	2538.0	-3.0978260869565215	-285.0	0.42728635682158916	0.4332833583208396	93.0	48.828125	289.0	-0.1394302848575712	32768.0	26.982159406418212	-17.743902439024392	582.0	2829607.0	86352.75268554688	2123.0	-37.5	1230.0	-64.72560975609757	2588.0	3791.941391941392	-5.483253588516746	2292.0	-6.784688995215311	-1052.0	4764352.0	97.78807049732154	-2.5167464114832536	2836.0	
-0.06521739130434782	2663.0	2259.0	-4.456521739130435	2591.0	-3.6739130434782608	-286.0	0.4287856071964018	0.43178410794602695	100.0	58.59375	288.0	-0.14992503748125938	32768.0	26.982159406418212	-29.84756097560976	979.0	2829927.0	86362.51831054688	1667.0	-10.640243902439025	349.0	-50.82317073170732	2603.0	3813.919413919414	-5.885167464114832	2460.0	-7.492822966507177	-828.0	4764352.0	97.78807049732154	-1.9808612440191387	3132.0	
0.5760869565217391	2686.0	2200.0	-4.706521739130435	2495.0	-2.630434782608696	-278.0	0.416791604197901	0.4422788605697151	102.0	68.359375	295.0	-0.15292353823088456	32768.0	26.982159406418212	-38.59756097560976	1266.0	2830247.0	86372.28393554688	1142.0	15.853658536585368	-520.0	-34.81707317073171	2607.0	3819.78021978022	-4.861244019138756	2032.0	-7.779904306220096	-540.0	4765664.0	97.77485077692096	-1.2918660287081338	3252.0	
