Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	
m/(s^2)	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	kPa	no_units	no_units	m/(s^2)	
3.5760869565217392	2484.0	1924.0	-2.510869565217391	1693.0	6.08695652173913	29.0	-0.043478260869565216	95.0	-0.13193403298350825	9.765625	-88.0	-0.1424287856071964	26.982159406418212	32768.0	4909.0	-149.66463414634148	1.6492246E7	503303.40576171875	-4478.0	-107.50000000000001	3526.0	136.52439024390245	2577.0	3775.8241758241757	-1776.0	4.248803827751196	-5.291866028708133	824.0	146.19119890832485	0.0	2212.0	1.971291866028708	
3.934782608695652	2492.0	1891.0	-2.5978260869565215	1714.0	5.858695652173913	26.0	-0.038980509745127435	103.0	-0.1394302848575712	19.53125	-93.0	-0.15442278860569714	26.982159406418212	32768.0	5304.0	-161.70731707317074	1.6492566E7	503313.17138671875	-4676.0	-109.96951219512196	3607.0	142.5609756097561	2567.0	3761.172161172161	-1676.0	4.009569377990431	-5.4066985645933014	1000.0	98.06666593944684	4736704.0	2260.0	2.3923444976076556	
4.315217391304348	2479.0	1856.0	-2.4565217391304346	1762.0	5.33695652173913	26.0	-0.038980509745127435	108.0	-0.14842578710644677	29.296875	-99.0	-0.1619190404797601	26.982159406418212	32768.0	5680.0	-173.1707317073171	1.6492886E7	503322.93701171875	-4894.0	-112.01219512195124	3674.0	149.20731707317074	2561.0	3752.3809523809523	-1456.0	3.4832535885167464	-5.186602870813397	1188.0	98.06666593944684	4736704.0	2168.0	2.8421052631578947	
4.804347826086956	2445.0	1811.0	-2.0869565217391304	1799.0	4.934782608695652	34.0	-0.050974512743628186	114.0	-0.14992503748125938	39.0625	-100.0	-0.17091454272863568	26.982159406418212	32768.0	6007.0	-183.14024390243904	1.6493206E7	503332.70263671875	-5276.0	-110.82317073170732	3635.0	160.85365853658539	2563.0	3755.3113553113553	-1236.0	2.956937799043062	-4.861244019138756	1412.0	98.06666593944684	4736704.0	2032.0	3.3779904306220097	
5.271739130434782	2423.0	1768.0	-1.8478260869565217	1824.0	4.663043478260869	38.0	-0.05697151424287856	124.0	-0.15742128935532235	48.828125	-105.0	-0.18590704647676162	26.982159406418212	32768.0	6388.0	-194.75609756097563	1.6493526E7	503342.46826171875	-5940.0	-108.65853658536587	3564.0	181.09756097560978	2564.0	3756.776556776557	-1108.0	2.650717703349282	-4.669856459330143	1692.0	98.06666593944684	4736704.0	1952.0	4.047846889952153	
5.858695652173913	2416.0	1714.0	-1.7717391304347825	1836.0	4.532608695652174	44.0	-0.06596701649175413	138.0	-0.1664167916041979	58.59375	-111.0	-0.20689655172413793	26.982159406418212	32768.0	6829.0	-208.20121951219514	1.6493846E7	503352.23388671875	-6988.0	-103.17073170731709	3384.0	213.0487804878049	2571.0	3767.032967032967	-1080.0	2.5837320574162677	-4.6028708133971294	1904.0	98.06666593944684	4736704.0	1924.0	4.555023923444976	
6.141304347826087	2426.0	1688.0	-1.8804347826086956	1836.0	4.532608695652174	58.0	-0.08695652173913043	140.0	-0.17241379310344826	68.359375	-115.0	-0.2098950524737631	26.982159406418212	32768.0	7279.0	-221.9207317073171	1.6494166E7	503361.99951171875	-8332.0	-97.71341463414635	3205.0	254.02439024390247	2564.0	3756.776556776557	-1080.0	2.5837320574162677	-4.698564593301435	2036.0	98.05602464971136	4737760.0	1964.0	4.8708133971291865	
6.271739130434782	2448.0	1676.0	-2.119565217391304	1847.0	4.413043478260869	67.0	-0.10044977511244378	151.0	-0.17241379310344826	78.125	-115.0	-0.22638680659670163	26.982159406418212	32768.0	7673.0	-233.93292682926833	1.6494486E7	503371.76513671875	-9792.0	-89.60365853658537	2939.0	298.5365853658537	2555.0	3743.5897435897436	-1012.0	2.4210526315789473	-4.9952153110047846	2092.0	98.05602464971136	4737760.0	2088.0	5.0047846889952154	
6.423913043478261	2477.0	1662.0	-2.4347826086956523	1884.0	4.010869565217392	81.0	-0.12143928035982009	159.0	-0.17241379310344826	87.890625	-115.0	-0.2383808095952024	26.982159406418212	32768.0	8038.0	-245.06097560975613	1.6494806E7	503381.53076171875	-10991.0	-78.75000000000001	2583.0	335.0914634146342	2564.0	3756.776556776557	-832.0	1.9904306220095693	-5.291866028708133	2100.0	98.05602464971136	4737760.0	2212.0	5.023923444976076	
6.467391304347826	2490.0	1658.0	-2.5760869565217392	1957.0	3.217391304347826	81.0	-0.12143928035982009	159.0	-0.17241379310344826	97.65625	-115.0	-0.2383808095952024	26.982159406418212	32768.0	8362.0	-254.93902439024393	1.6495126E7	503391.29638671875	-11714.0	-64.54268292682927	2117.0	357.13414634146346	2554.0	3742.124542124542	-472.0	1.1291866028708133	-5.339712918660287	2148.0	98.05602464971136	4737760.0	2232.0	5.1387559808612435	
6.706521739130435	2474.0	1636.0	-2.402173913043478	1993.0	2.8260869565217392	109.0	-0.1634182908545727	164.0	-0.17241379310344826	107.421875	-115.0	-0.24587706146926536	26.982159406418212	32768.0	8647.0	-263.6280487804878	1.6495446E7	503401.06201171875	-12112.0	-46.585365853658544	1528.0	369.26829268292687	2572.0	3768.4981684981685	-376.0	0.8995215311004784	-5.311004784688995	2188.0	98.05602464971136	4737760.0	2220.0	5.23444976076555	
6.923913043478261	2472.0	1616.0	-2.380434782608696	2005.0	2.6956521739130435	109.0	-0.1634182908545727	164.0	-0.17241379310344826	117.1875	-115.0	-0.24587706146926536	26.982159406418212	32768.0	8978.0	-273.719512195122	1.6495766E7	503410.82763671875	-12379.0	-24.26829268292683	796.0	377.4085365853659	2564.0	3756.776556776557	-284.0	0.6794258373205742	-5.2727272727272725	2336.0	98.04635078383295	4738720.0	2204.0	5.588516746411483	
