Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	local_flux	no_units	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	no_units	deg/s	no_units	deg/s	mV	no_units	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
2797.0	2.6630434782608696	2008.0	-5.913043478260869	4.804347826086956	1811.0	62.0	-0.09295352323838081	0.029985007496251874	14.0	9.765625	20.0	-0.020989505247376312	32768.0	26.982159406418212	-263.0	8.01829268292683	1067685.0	32583.160400390625	682.0	-7.317073170731708	240.0	-20.79268292682927	3762.6373626373625	2568.0	-1224.0	2.92822966507177	400.0	-9.110047846889952	0.0	146.19119890832485	3808.0	0.9569377990430622	
2808.0	2.7391304347826084	2001.0	-6.032608695652174	4.58695652173913	1831.0	66.0	-0.09895052473763118	0.025487256371814093	15.0	19.53125	17.0	-0.022488755622188904	32768.0	26.982159406418212	-245.0	7.469512195121952	1068005.0	32592.926025390625	412.0	-4.603658536585367	151.0	-12.560975609756099	3756.776556776557	2564.0	-1124.0	2.688995215311005	452.0	-9.358851674641148	4744256.0	97.99056545349531	3912.0	1.0813397129186602	
2828.0	2.8478260869565215	1991.0	-6.25	4.521739130434782	1837.0	64.0	-0.095952023988006	0.017991004497751123	13.0	29.296875	12.0	-0.019490254872563718	32768.0	26.982159406418212	-278.0	8.475609756097562	1068325.0	32602.691650390625	122.0	-0.6097560975609757	20.0	-3.7195121951219514	3761.172161172161	2567.0	-1092.0	2.61244019138756	488.0	-9.531100478468899	4744256.0	97.99056545349531	3984.0	1.1674641148325358	
2832.0	2.793478260869565	1996.0	-6.293478260869565	4.739130434782608	1817.0	66.0	-0.09895052473763118	0.026986506746626684	10.0	39.0625	18.0	-0.014992503748125937	32768.0	26.982159406418212	-453.0	13.810975609756099	1068645.0	32612.457275390625	-201.0	-2.5609756097560976	84.0	6.128048780487806	3745.054945054945	2556.0	-1188.0	2.8421052631578947	480.0	-9.330143540669857	4744256.0	97.99056545349531	3900.0	1.1483253588516746	
2824.0	2.3369565217391304	2038.0	-6.206521739130435	4.880434782608695	1804.0	64.0	-0.095952023988006	0.029985007496251874	14.0	48.828125	20.0	-0.020989505247376312	32768.0	26.982159406418212	-249.0	7.591463414634147	1068965.0	32622.222900390625	-662.0	5.823170731707318	-191.0	20.182926829268293	3739.194139194139	2552.0	-1332.0	3.186602870813397	252.0	-9.502392344497608	4744256.0	97.99056545349531	3972.0	0.6028708133971291	
2804.0	2.010869565217391	2068.0	-5.989130434782608	5.33695652173913	1762.0	64.0	-0.095952023988006	0.034482758620689655	20.0	58.59375	23.0	-0.029985007496251874	32768.0	26.982159406418212	-176.0	5.365853658536586	1069285.0	32631.988525390625	-828.0	3.353658536585366	-110.0	25.243902439024392	3759.70695970696	2566.0	-1456.0	3.4832535885167464	112.0	-9.23444976076555	4744256.0	97.99056545349531	3860.0	0.2679425837320574	
2786.0	1.5543478260869565	2110.0	-5.793478260869565	5.521739130434782	1745.0	63.0	-0.0944527736131934	0.031484257871064465	1.0	68.359375	21.0	-0.0014992503748125937	32768.0	26.982159406418212	-185.0	5.640243902439025	1069605.0	32641.754150390625	-720.0	3.231707317073171	-106.0	21.951219512195124	3730.4029304029305	2546.0	-1540.0	3.6842105263157894	-132.0	-8.91866028708134	4745120.0	97.98185916926312	3728.0	-0.3157894736842105	
