Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	m/(s^2)	no_units	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	ms	Ticks	deg/s	no_units	no_units	deg/s	mV	no_units	no_units	m/(s^2)	m/(s^2)	no_units	no_units	kPa	m/(s^2)	no_units	
1606.0	5.25	7.032608695652174	1770.0	18.304347826086957	569.0	227.0	-0.3403298350824588	474.0	0.2863568215892054	9.765625	191.0	-0.7106446776611693	26.982159406418212	32768.0	1839.0	-56.06707317073171	112217.74291992188	3677151.0	128.26219512195124	2282.0	-4207.0	-69.57317073170732	3756.776556776557	2564.0	-6620.0	15.837320574162678	5.196172248803827	1644.0	0.0	146.19119890832485	3.9330143540669855	-2172.0	
1359.0	-0.2608695652173913	9.717391304347826	2277.0	24.434782608695652	5.0	214.0	-0.32083958020989506	477.0	0.2818590704647676	19.53125	188.0	-0.7151424287856072	26.982159406418212	32768.0	485.0	-14.786585365853659	112227.50854492188	3677471.0	52.10365853658537	7929.0	-1709.0	-241.7378048780488	3746.5201465201467	2557.0	-10700.0	25.598086124401913	8.861244019138756	-632.0	4752928.0	97.90318134157451	-1.5119617224880382	-3704.0	
1393.0	4.304347826086956	9.347826086956522	1857.0	24.478260869565215	1.0	217.0	-0.32533733133433285	470.0	0.2638680659670165	29.296875	176.0	-0.704647676161919	26.982159406418212	32768.0	745.0	-22.713414634146343	112237.27416992188	3677791.0	-8.689024390243903	7449.0	285.0	-227.10365853658539	3747.985347985348	2558.0	-9928.0	23.751196172248804	8.277511961722487	548.0	4752928.0	97.90318134157451	1.3110047846889952	-3460.0	
1608.0	17.304347826086957	7.010869565217391	661.0	24.478260869565215	1.0	223.0	-0.33433283358320837	480.0	0.25337331334332835	39.0625	169.0	-0.7196401799100449	26.982159406418212	32768.0	-498.0	15.182926829268293	112247.03979492188	3678111.0	-13.079268292682928	5983.0	429.0	-182.40853658536588	3728.937728937729	2545.0	-10488.0	25.09090909090909	5.588516746411483	7320.0	4752928.0	97.90318134157451	17.51196172248804	-2336.0	
1854.0	14.043478260869565	4.33695652173913	961.0	22.67391304347826	167.0	217.0	-0.32533733133433285	473.0	0.23238380809595202	48.828125	155.0	-0.7091454272863568	26.982159406418212	32768.0	-50.0	1.5243902439024393	112256.80541992188	3678431.0	-25.914634146341466	4586.0	850.0	-139.81707317073173	3736.2637362637365	2550.0	-8976.0	21.473684210526315	2.248803827751196	5892.0	4752928.0	97.90318134157451	14.095693779904305	-940.0	
1882.0	8.73913043478261	4.032608695652174	1449.0	18.913043478260867	513.0	230.0	-0.3448275862068965	476.0	0.2338830584707646	58.59375	156.0	-0.7136431784107946	26.982159406418212	32768.0	1025.0	-31.250000000000004	112266.57104492188	3678751.0	-31.58536585365854	2907.0	1036.0	-88.62804878048782	3723.0769230769233	2541.0	-7308.0	17.483253588516746	2.1435406698564594	3120.0	4752928.0	97.90318134157451	7.464114832535885	-896.0	
1916.0	7.4021739130434785	3.6630434782608696	1572.0	15.652173913043478	813.0	223.0	-0.33433283358320837	467.0	0.22188905547226387	68.359375	148.0	-0.7001499250374812	26.982159406418212	32768.0	153.0	-4.664634146341464	112276.33666992188	3679071.0	-40.60975609756098	2527.0	1332.0	-77.04268292682927	3718.6813186813188	2538.0	-5864.0	14.028708133971291	1.7129186602870812	2472.0	4754256.0	97.889799874263	5.913875598086124	-716.0	
