Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	local_flux	no_units	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	deg/s	no_units	deg/s	no_units	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	kPa	no_units	no_units	m/(s^2)	
2014.0	9.847826086956522	1347.0	2.5978260869565215	2253.0	0.0	0.2848575712143928	-190.0	269.0	-0.20089955022488756	9.765625	-134.0	-0.4032983508245877	32768.0	26.982159406418212	11054.0	-337.01219512195127	1978350.0	60374.45068359375	-125.03048780487806	-11238.0	342.62195121951225	4101.0	2555.0	3743.5897435897436	932.0	-2.229665071770335	3788.0	0.2583732057416268	146.19119890832485	0.0	-108.0	9.062200956937799	
1995.0	9.141304347826086	1412.0	2.8043478260869565	2269.0	-0.17391304347826086	0.2608695652173913	-174.0	293.0	-0.2143928035982009	19.53125	-143.0	-0.43928035982008995	32768.0	26.982159406418212	11572.0	-352.8048780487805	1978670.0	60384.21630859375	-99.23780487804879	-12054.0	367.50000000000006	3255.0	2556.0	3745.054945054945	956.0	-2.2870813397129184	3348.0	0.42105263157894735	97.71761975580989	4771344.0	-176.0	8.009569377990431	
1941.0	9.73913043478261	1357.0	3.391304347826087	2266.0	-0.14130434782608695	0.22788605697151423	-152.0	314.0	-0.22338830584707645	29.296875	-149.0	-0.4707646176911544	32768.0	26.982159406418212	11877.0	-362.1036585365854	1978990.0	60393.98193359375	-69.75609756097562	-12185.0	371.49390243902445	2288.0	2555.0	3743.5897435897436	980.0	-2.3444976076555024	3580.0	0.9569377990430622	97.71761975580989	4771344.0	-400.0	8.564593301435407	
1894.0	10.619565217391305	1276.0	3.902173913043478	2196.0	0.6195652173913043	0.19940029985007496	-133.0	339.0	-0.239880059970015	39.0625	-160.0	-0.5082458770614693	32768.0	26.982159406418212	12062.0	-367.7439024390244	1979310.0	60403.74755859375	-41.890243902439025	-12581.0	383.56707317073176	1374.0	2549.0	3734.798534798535	628.0	-1.5023923444976075	4024.0	1.7129186602870812	97.71761975580989	4771344.0	-716.0	9.626794258373206	
1848.0	11.76086956521739	1171.0	4.4021739130434785	2149.0	1.1304347826086956	0.16941529235382308	-113.0	365.0	-0.24587706146926536	48.828125	-164.0	-0.5472263868065966	32768.0	26.982159406418212	12325.0	-375.76219512195127	1979630.0	60413.51318359375	-12.01219512195122	-13396.0	408.4146341463415	394.0	2569.0	3764.102564102564	424.0	-1.014354066985646	4568.0	2.229665071770335	97.71761975580989	4771344.0	-932.0	10.92822966507177	
1817.0	12.608695652173912	1093.0	4.739130434782608	2104.0	1.6195652173913042	0.1454272863568216	-97.0	371.0	-0.24437781109445278	58.59375	-163.0	-0.5562218890554722	32768.0	26.982159406418212	12517.0	-381.6158536585366	1979950.0	60423.27880859375	17.073170731707318	-13676.0	416.95121951219517	-560.0	2529.0	3705.4945054945056	168.0	-0.4019138755980861	4976.0	2.688995215311005	97.71761975580989	4771344.0	-1124.0	11.904306220095693	
1802.0	12.391304347826086	1113.0	4.9021739130434785	2069.0	2.0	0.1454272863568216	-97.0	371.0	-0.24437781109445278	68.359375	-163.0	-0.5562218890554722	32768.0	26.982159406418212	12837.0	-391.37195121951225	1980270.0	60433.04443359375	51.92073170731708	-14175.0	432.1646341463415	-1703.0	2563.0	3755.3113553113553	-12.0	0.028708133971291863	4864.0	2.861244019138756	97.70762459475145	4772336.0	-1196.0	11.636363636363637	
1771.0	11.782608695652174	1169.0	5.239130434782608	2021.0	2.5217391304347827	0.06896551724137931	-46.0	392.0	-0.23238380809595202	78.125	-155.0	-0.5877061469265367	32768.0	26.982159406418212	12504.0	-381.219512195122	1980590.0	60442.81005859375	89.78658536585367	-13040.0	397.56097560975616	-2945.0	2542.0	3724.542124542125	-332.0	0.7942583732057416	4460.0	3.2727272727272725	97.70762459475145	4772336.0	-1368.0	10.669856459330143	
1697.0	9.73913043478261	1357.0	6.043478260869565	1937.0	3.434782608695652	0.06896551724137931	-46.0	392.0	-0.23238380809595202	87.890625	-155.0	-0.5877061469265367	32768.0	26.982159406418212	12047.0	-367.2865853658537	1980910.0	60452.57568359375	120.15243902439026	-10517.0	320.64024390243907	-3941.0	2539.0	3720.1465201465203	-760.0	1.8181818181818181	3464.0	4.3349282296650715	97.70762459475145	4772336.0	-1812.0	8.287081339712918	
1587.0	7.717391304347826	1543.0	7.239130434782608	1825.0	4.6521739130434785	0.038980509745127435	-26.0	437.0	-0.21889055472263869	97.65625	-146.0	-0.6551724137931034	32768.0	26.982159406418212	11702.0	-356.76829268292687	1981230.0	60462.34130859375	139.72560975609758	-6066.0	184.93902439024393	-4583.0	2544.0	3727.4725274725274	-1380.0	3.3014354066985643	2536.0	5.789473684210526	97.70762459475145	4772336.0	-2420.0	6.0669856459330145	
