Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	
m/(s^2)	no_units	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	local_flux	no_units	no_units	Degrees Celsius	deg/s	no_units	Ticks	ms	no_units	deg/s	no_units	deg/s	no_units	mV	m/(s^2)	no_units	no_units	m/(s^2)	no_units	kPa	m/(s^2)	no_units	
5.641304347826087	1694.0	1734.0	6.076086956521739	2.2282608695652173	2048.0	-163.0	0.24437781109445278	201.0	-0.20239880059970014	9.765625	-0.30134932533733133	-135.0	32768.0	26.982159406418212	-468.81097560975616	15377.0	3274892.0	99941.7724609375	-6348.0	-113.07926829268294	3709.0	193.53658536585368	2545.0	3728.937728937729	0.17224880382775118	-72.0	1836.0	3.990430622009569	0.0	146.19119890832485	4.392344497607655	-1668.0	
5.543478260869565	1620.0	1743.0	6.880434782608695	2.032608695652174	2066.0	-154.0	0.23088455772113942	232.0	-0.21589205397301348	19.53125	-0.34782608695652173	-144.0	32768.0	26.982159406418212	-489.32926829268297	16050.0	3275212.0	99951.5380859375	-6986.0	-94.75609756097562	3108.0	212.9878048780488	2541.0	3723.0769230769233	0.15311004784688995	-64.0	1824.0	4.851674641148326	4773376.0	97.69714583386347	4.363636363636363	-2028.0	
5.119565217391304	1555.0	1782.0	7.58695652173913	1.4130434782608696	2123.0	-142.0	0.2128935532233883	259.0	-0.24137931034482757	29.296875	-0.38830584707646176	-161.0	32768.0	26.982159406418212	-514.1158536585366	16863.0	3275532.0	99961.3037109375	-8140.0	-69.29878048780489	2273.0	248.1707317073171	2551.0	3737.7289377289376	-0.6124401913875598	256.0	1644.0	5.559808612440191	4773376.0	97.69714583386347	3.9330143540669855	-2324.0	
5.391304347826087	1489.0	1757.0	8.304347826086957	0.11956521739130435	2242.0	-129.0	0.1934032983508246	294.0	-0.24287856071964017	39.0625	-0.4407796101949025	-162.0	32768.0	26.982159406418212	-539.6036585365854	17699.0	3275852.0	99971.0693359375	-9303.0	-37.926829268292686	1244.0	283.62804878048786	2546.0	3730.4029304029305	-1.9043062200956937	796.0	1728.0	6.430622009569378	4773376.0	97.69714583386347	4.133971291866029	-2688.0	
6.543478260869565	1360.0	1651.0	9.706521739130434	-1.0543478260869565	2350.0	-116.0	0.17391304347826086	313.0	-0.2563718140929535	48.828125	-0.46926536731634183	-171.0	32768.0	26.982159406418212	-553.2926829268293	18148.0	3276172.0	99980.8349609375	-10899.0	4.359756097560976	-143.0	332.2865853658537	2545.0	3728.937728937729	-3.1961722488038276	1336.0	2196.0	8.0	4773376.0	97.69714583386347	5.253588516746412	-3344.0	
9.065217391304348	1166.0	1419.0	11.815217391304348	-0.09782608695652173	2262.0	-93.0	0.1394302848575712	343.0	-0.2578710644677661	58.59375	-0.5142428785607196	-172.0	32768.0	26.982159406418212	-556.5243902439025	18254.0	3276492.0	99990.6005859375	-11815.0	51.06707317073171	-1675.0	360.2134146341464	2547.0	3731.868131868132	-2.0382775119617222	852.0	3328.0	10.488038277511961	4773376.0	97.69714583386347	7.961722488038277	-4384.0	
10.66304347826087	932.0	1272.0	14.358695652173912	2.293478260869565	2042.0	-93.0	0.1394302848575712	343.0	-0.2578710644677661	68.359375	-0.5142428785607196	-172.0	32768.0	26.982159406418212	-553.2621951219513	18147.0	3276812.0	100000.3662109375	-11389.0	102.04268292682927	-3347.0	347.2256097560976	2535.0	3714.285714285714	0.8133971291866028	-340.0	4120.0	13.502392344497608	4774512.0	97.68569984601424	9.85645933014354	-5644.0	
