Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	local_flux	no_units	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	ms	Ticks	no_units	deg/s	no_units	deg/s	mV	no_units	no_units	m/(s^2)	no_units	m/(s^2)	kPa	no_units	m/(s^2)	no_units	
1714.0	3.3804347826086953	1942.0	5.858695652173913	1819.0	4.717391304347826	-232.0	0.34782608695652173	0.0704647676161919	48.0	9.765625	47.0	-0.07196401799100449	26.982159406418212	32768.0	-5002.0	152.5	182291.47338867188	5973327.0	1680.0	301.3109756097561	-9883.0	-51.21951219512196	3731.868131868132	2547.0	-1112.0	2.660287081339713	748.0	4.038277511961723	146.19119890832485	0.0	1.7894736842105263	-1688.0	
1752.0	3.3152173913043477	1948.0	5.445652173913043	1743.0	5.543478260869565	-217.0	0.32533733133433285	0.08995502248875561	31.0	19.53125	60.0	-0.046476761619190406	26.982159406418212	32768.0	-4475.0	136.4329268292683	182301.23901367188	5973647.0	1455.0	272.8353658536586	-8949.0	-44.35975609756098	3701.0989010989015	2526.0	-1500.0	3.588516746411483	772.0	3.712918660287081	97.68441016007492	4774640.0	1.84688995215311	-1552.0	
1812.0	3.2717391304347827	1952.0	4.793478260869565	1677.0	6.260869565217391	-213.0	0.3193403298350824	0.08695652173913043	21.0	29.296875	58.0	-0.031484257871064465	26.982159406418212	32768.0	-3565.0	108.68902439024392	182311.00463867188	5973967.0	1286.0	243.14024390243904	-7975.0	-39.207317073170735	3730.4029304029305	2546.0	-1772.0	4.239234449760765	824.0	2.9186602870813396	97.68441016007492	4774640.0	1.971291866028708	-1220.0	
1887.0	3.434782608695652	1937.0	3.9782608695652173	1642.0	6.641304347826087	-202.0	0.3028485757121439	0.11244377811094453	15.0	39.0625	75.0	-0.022488755622188904	26.982159406418212	32768.0	-2928.0	89.26829268292684	182320.77026367188	5974287.0	1140.0	212.28658536585368	-6963.0	-34.75609756097561	3749.4505494505493	2559.0	-1944.0	4.650717703349282	836.0	2.028708133971292	97.68441016007492	4774640.0	2.0	-848.0	
1948.0	3.3478260869565215	1945.0	3.3152173913043477	1639.0	6.673913043478261	-190.0	0.2848575712143928	0.11544227886056971	4.0	48.828125	77.0	-0.005997001499250375	26.982159406418212	32768.0	-2353.0	71.73780487804879	182330.53588867188	5974607.0	790.0	182.43902439024393	-5984.0	-24.085365853658537	3718.6813186813188	2538.0	-1960.0	4.688995215311005	840.0	1.215311004784689	97.68441016007492	4774640.0	2.0095693779904304	-508.0	
1983.0	3.108695652173913	1967.0	2.934782608695652	1625.0	6.826086956521739	-182.0	0.272863568215892	0.1184407796101949	-1.0	58.59375	79.0	0.0014992503748125937	26.982159406418212	32768.0	-1728.0	52.6829268292683	182340.30151367188	5974927.0	292.0	151.5548780487805	-4971.0	-8.902439024390246	3747.985347985348	2558.0	-1972.0	4.717703349282297	736.0	0.7655502392344498	97.68441016007492	4774640.0	1.7607655502392343	-320.0	
1983.0	2.630434782608696	2011.0	2.934782608695652	1492.0	8.271739130434783	-182.0	0.272863568215892	0.1184407796101949	-1.0	68.359375	79.0	0.0014992503748125937	26.982159406418212	32768.0	-1103.0	33.62804878048781	182350.06713867188	5975247.0	-117.0	111.64634146341464	-3662.0	3.5670731707317076	3717.2161172161173	2537.0	-2720.0	6.507177033492822	520.0	0.9282296650717703	97.67264180237818	4775808.0	1.244019138755981	-388.0	
1968.0	2.3043478260869565	2041.0	3.0978260869565215	1542.0	7.728260869565217	-174.0	0.2608695652173913	0.12293853073463268	-7.0	78.125	82.0	0.010494752623688156	26.982159406418212	32768.0	-552.0	16.82926829268293	182359.83276367188	5975567.0	-502.0	83.26219512195122	-2731.0	15.30487804878049	3739.194139194139	2552.0	-2384.0	5.70334928229665	328.0	1.1100478468899522	97.67264180237818	4775808.0	0.784688995215311	-464.0	
1970.0	1.6739130434782608	2099.0	3.0760869565217392	1510.0	8.076086956521738	-174.0	0.2608695652173913	0.12293853073463268	-7.0	87.890625	82.0	0.010494752623688156	26.982159406418212	32768.0	386.0	-11.76829268292683	182369.59838867188	5975887.0	-1168.0	43.59756097560976	-1430.0	35.60975609756098	3728.937728937729	2545.0	-2580.0	6.172248803827751	24.0	1.0526315789473684	97.67264180237818	4775808.0	0.057416267942583726	-440.0	
