Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	Degrees Celsius	no_units	no_units	deg/s	Ticks	ms	deg/s	no_units	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	kPa	no_units	m/(s^2)	
2473.0	-1.717391304347826	2411.0	-2.391304347826087	1661.0	6.434782608695652	40.0	-0.05997001499250375	-46.0	0.2563718140929535	9.765625	171.0	0.06896551724137931	26.982159406418212	32768.0	1226.0	-37.37804878048781	7965757.0	243095.61157226562	-21.82926829268293	-127.0	716.0	3.8719512195121957	2558.0	3747.985347985348	-1964.0	4.698564593301435	-1576.0	-5.253588516746412	0.0	146.19119890832485	2196.0	-3.7703349282296648	
2445.0	-1.9456521739130435	2432.0	-2.0869565217391304	1638.0	6.684782608695652	33.0	-0.04947526236881559	-49.0	0.25337331334332835	19.53125	169.0	0.07346326836581708	26.982159406418212	32768.0	1562.0	-47.6219512195122	7966077.0	243105.37719726562	-25.884146341463417	184.0	849.0	-5.609756097560976	2552.0	3739.194139194139	-2056.0	4.918660287081339	-1664.0	-4.813397129186603	4770080.0	97.73035557546649	2012.0	-3.9808612440191387	
2402.0	-2.0217391304347827	2439.0	-1.6195652173913042	1617.0	6.913043478260869	37.0	-0.05547226386806597	-55.0	0.24737631184407796	29.296875	165.0	0.08245877061469264	26.982159406418212	32768.0	1938.0	-59.085365853658544	7966397.0	243115.14282226562	-31.12804878048781	465.0	1021.0	-14.176829268292684	2554.0	3742.124542124542	-2148.0	5.1387559808612435	-1688.0	-4.258373205741627	4770080.0	97.73035557546649	1780.0	-4.038277511961723	
2362.0	-1.7391304347826086	2413.0	-1.184782608695652	1608.0	7.010869565217391	28.0	-0.041979010494752625	-53.0	0.24437781109445278	39.0625	163.0	0.07946026986506746	26.982159406418212	32768.0	2304.0	-70.2439024390244	7966717.0	243124.90844726562	-37.896341463414636	635.0	1243.0	-19.35975609756098	2542.0	3724.542124542125	-2220.0	5.311004784688995	-1620.0	-3.7703349282296648	4770080.0	97.73035557546649	1576.0	-3.875598086124402	
2350.0	-1.8152173913043477	2420.0	-1.0543478260869565	1598.0	7.119565217391304	31.0	-0.046476761619190406	-51.0	0.2353823088455772	48.828125	157.0	0.07646176911544228	26.982159406418212	32768.0	2661.0	-81.12804878048782	7967037.0	243134.67407226562	-46.00609756097561	689.0	1509.0	-21.00609756097561	2536.0	3715.7509157509157	-2240.0	5.358851674641148	-1564.0	-3.5311004784688995	4770080.0	97.73035557546649	1476.0	-3.741626794258373	
2385.0	-1.6956521739130435	2409.0	-1.434782608695652	1603.0	7.065217391304348	26.0	-0.038980509745127435	-55.0	0.22638680659670163	58.59375	151.0	0.08245877061469264	26.982159406418212	32768.0	2995.0	-91.3109756097561	7967357.0	243144.43969726562	-52.53048780487806	655.0	1723.0	-19.969512195121954	2552.0	3739.194139194139	-2228.0	5.330143540669856	-1604.0	-4.038277511961723	4770080.0	97.73035557546649	1688.0	-3.8373205741626792	
2439.0	-1.467391304347826	2388.0	-2.0217391304347827	1590.0	7.206521739130435	26.0	-0.038980509745127435	-55.0	0.22638680659670163	68.359375	151.0	0.08245877061469264	26.982159406418212	32768.0	3317.0	-101.12804878048782	7967677.0	243154.20532226562	-56.00609756097562	636.0	1837.0	-19.390243902439025	2557.0	3746.5201465201467	-2272.0	5.435406698564593	-1448.0	-4.688995215311005	4771008.0	97.72100522139921	1960.0	-3.464114832535885	
2467.0	-0.7717391304347826	2324.0	-2.3260869565217392	1597.0	7.130434782608695	17.0	-0.025487256371814093	-51.0	0.20689655172413793	78.125	138.0	0.07646176911544228	26.982159406418212	32768.0	3588.0	-109.39024390243904	7967997.0	243163.97094726562	-59.35975609756098	592.0	1947.0	-18.04878048780488	2539.0	3720.1465201465203	-2256.0	5.3971291866028706	-1096.0	-5.08133971291866	4771008.0	97.72100522139921	2124.0	-2.6220095693779903	
2490.0	-0.20652173913043478	2272.0	-2.5760869565217392	1590.0	7.206521739130435	17.0	-0.025487256371814093	-51.0	0.20689655172413793	87.890625	138.0	0.07646176911544228	26.982159406418212	32768.0	3853.0	-117.46951219512196	7968317.0	243173.73657226562	-62.835365853658544	324.0	2061.0	-9.878048780487806	2549.0	3734.798534798535	-2272.0	5.435406698564593	-780.0	-5.502392344497608	4771008.0	97.72100522139921	2300.0	-1.8660287081339713	
2540.0	0.5	2207.0	-3.119565217391304	1602.0	7.076086956521739	19.0	-0.02848575712143928	-49.0	0.19940029985007496	97.65625	133.0	0.07346326836581708	26.982159406418212	32768.0	4135.0	-126.06707317073172	7968637.0	243183.50219726562	-65.79268292682927	8.0	2158.0	-0.24390243902439027	2542.0	3724.542124542125	-2200.0	5.263157894736842	-512.0	-5.961722488038277	4771008.0	97.72100522139921	2492.0	-1.2248803827751196	
2549.0	0.967391304347826	2164.0	-3.217391304347826	1630.0	6.771739130434782	13.0	-0.019490254872563718	-48.0	0.19490254872563717	107.421875	130.0	0.07196401799100449	26.982159406418212	32768.0	4408.0	-134.39024390243904	7968957.0	243193.26782226562	-67.10365853658537	-199.0	2201.0	6.067073170731708	2546.0	3730.4029304029305	-2132.0	5.100478468899522	-400.0	-6.105263157894736	4771008.0	97.72100522139921	2552.0	-0.9569377990430622	
2545.0	1.5434782608695652	2111.0	-3.1739130434782608	1663.0	6.413043478260869	9.0	-0.013493253373313342	-48.0	0.17991004497751123	117.1875	120.0	0.07196401799100449	26.982159406418212	32768.0	4697.0	-143.20121951219514	7969277.0	243203.03344726562	-68.47560975609757	-338.0	2246.0	10.30487804878049	2536.0	3715.7509157509157	-2016.0	4.822966507177033	-200.0	-6.095693779904306	4771936.0	97.71165489748437	2548.0	-0.4784688995215311	
2547.0	1.6304347826086956	2103.0	-3.1956521739130435	1709.0	5.913043478260869	6.0	-0.008995502248875561	-51.0	0.1679160419790105	126.953125	112.0	0.07646176911544228	26.982159406418212	32768.0	4938.0	-150.5487804878049	7969597.0	243212.79907226562	-69.78658536585367	-419.0	2289.0	12.77439024390244	2536.0	3715.7509157509157	-1824.0	4.363636363636363	-56.0	-5.961722488038277	4771936.0	97.71165489748437	2492.0	-0.1339712918660287	
2590.0	2.0978260869565215	2060.0	-3.6630434782608696	1768.0	5.271739130434782	3.0	-0.004497751124437781	-45.0	0.14992503748125938	136.71875	100.0	0.06746626686656672	26.982159406418212	32768.0	5085.0	-155.03048780487805	7969917.0	243222.56469726562	-67.40853658536587	-459.0	2211.0	13.993902439024392	2546.0	3730.4029304029305	-1504.0	3.5980861244019136	80.0	-6.392344497607655	4771936.0	97.71165489748437	2672.0	0.19138755980861244	
2669.0	2.9456521739130435	1982.0	-4.521739130434782	1801.0	4.913043478260869	-4.0	0.005997001499250375	-46.0	0.14392803598200898	146.484375	96.0	0.06896551724137931	26.982159406418212	32768.0	5129.0	-156.3719512195122	7970237.0	243232.33032226562	-61.493902439024396	-508.0	2017.0	15.487804878048783	2548.0	3733.3333333333335	-1292.0	3.090909090909091	456.0	-7.38755980861244	4771936.0	97.71165489748437	3088.0	1.0909090909090908	
2755.0	3.9891304347826084	1886.0	-5.456521739130435	1818.0	4.728260869565217	-8.0	0.01199400299850075	-43.0	0.13043478260869565	156.25	87.0	0.06446776611694152	26.982159406418212	32768.0	5121.0	-156.12804878048783	7970557.0	243242.09594726562	-55.91463414634147	-653.0	1834.0	19.908536585365855	2547.0	3731.868131868132	-1216.0	2.909090909090909	952.0	-8.516746411483254	4771936.0	97.71165489748437	3560.0	2.277511961722488	
2829.0	4.728260869565217	1818.0	-6.260869565217391	1803.0	4.891304347826087	-12.0	0.017991004497751123	-36.0	0.11244377811094453	166.015625	75.0	0.05397301349325337	26.982159406418212	32768.0	5027.0	-153.26219512195124	7970877.0	243251.86157226562	-51.89024390243903	-799.0	1702.0	24.35975609756098	2556.0	3745.054945054945	-1228.0	2.937799043062201	1356.0	-9.674641148325358	4772512.0	97.70585126332372	4044.0	3.2440191387559807	
2905.0	5.239130434782608	1771.0	-7.08695652173913	1812.0	4.793478260869565	-12.0	0.017991004497751123	-36.0	0.09745127436281859	175.78125	65.0	0.05397301349325337	26.982159406418212	32768.0	4900.0	-149.39024390243904	7971197.0	243261.62719726562	-46.85975609756098	-899.0	1537.0	27.408536585365855	2526.0	3701.0989010989015	-1216.0	2.909090909090909	1572.0	-10.497607655502392	4772512.0	97.70585126332372	4388.0	3.7607655502392343	
2939.0	5.58695652173913	1739.0	-7.456521739130435	1816.0	4.75	-18.0	0.026986506746626684	-41.0	0.08995502248875561	185.546875	60.0	0.06146926536731634	26.982159406418212	32768.0	4713.0	-143.68902439024393	7971517.0	243271.39282226562	-42.25609756097561	-877.0	1386.0	26.737804878048784	2548.0	3733.3333333333335	-1212.0	2.8995215311004783	1712.0	-10.966507177033492	4772512.0	97.70585126332372	4584.0	4.095693779904306	
2934.0	5.815217391304348	1718.0	-7.4021739130434785	1826.0	4.641304347826087	-15.0	0.022488755622188904	-31.0	0.07796101949025487	195.3125	52.0	0.046476761619190406	26.982159406418212	32768.0	4528.0	-138.0487804878049	7971837.0	243281.15844726562	-37.65243902439025	-748.0	1235.0	22.80487804878049	2538.0	3718.6813186813188	-1172.0	2.803827751196172	1780.0	-10.899521531100477	4772512.0	97.70585126332372	4556.0	4.258373205741627	
2889.0	5.630434782608695	1735.0	-6.913043478260869	1831.0	4.58695652173913	-14.0	0.020989505247376312	-30.0	0.06746626686656672	205.078125	45.0	0.04497751124437781	26.982159406418212	32768.0	4378.0	-133.47560975609758	7972157.0	243290.92407226562	-34.51219512195122	-565.0	1132.0	17.225609756097562	2542.0	3724.542124542125	-1136.0	2.7177033492822966	1756.0	-10.30622009569378	4772512.0	97.70585126332372	4308.0	4.200956937799043	
2828.0	5.554347826086956	1742.0	-6.25	1859.0	4.282608695652174	-20.0	0.029985007496251874	-26.0	0.04947526236881559	214.84375	33.0	0.038980509745127435	26.982159406418212	32768.0	4324.0	-131.82926829268294	7972477.0	243300.68969726562	-32.59146341463415	-326.0	1069.0	9.939024390243903	2550.0	3736.2637362637365	-1004.0	2.401913875598086	1664.0	-9.492822966507177	4773056.0	97.70037006394939	3968.0	3.9808612440191387	
2780.0	5.163043478260869	1778.0	-5.728260869565217	1882.0	4.032608695652174	-20.0	0.029985007496251874	-17.0	0.04497751124437781	224.609375	30.0	0.025487256371814093	26.982159406418212	32768.0	4303.0	-131.1890243902439	7972797.0	243310.45532226562	-30.762195121951223	-91.0	1009.0	2.7743902439024395	2543.0	3726.007326007326	-852.0	2.0382775119617222	1536.0	-8.813397129186603	4773056.0	97.70037006394939	3684.0	3.6746411483253585	
2729.0	4.9021739130434785	1802.0	-5.173913043478261	1911.0	3.717391304347826	-24.0	0.035982008995502246	-16.0	0.029985007496251874	234.375	20.0	0.0239880059970015	26.982159406418212	32768.0	4348.0	-132.5609756097561	7973117.0	243320.22094726562	-28.353658536585368	98.0	930.0	-2.987804878048781	2540.0	3721.611721611722	-760.0	1.8181818181818181	1428.0	-8.287081339712918	4773056.0	97.70037006394939	3464.0	3.416267942583732	
2680.0	4.75	1816.0	-4.641304347826087	1915.0	3.6739130434782608	-26.0	0.038980509745127435	-9.0	0.019490254872563718	244.140625	13.0	0.013493253373313342	26.982159406418212	32768.0	4449.0	-135.64024390243904	7973437.0	243329.98657226562	-25.27439024390244	194.0	829.0	-5.914634146341464	2547.0	3731.868131868132	-704.0	1.6842105263157894	1416.0	-7.8086124401913874	4773056.0	97.70037006394939	3264.0	3.38755980861244	
2664.0	5.054347826086956	1788.0	-4.467391304347826	1923.0	3.5869565217391304	-33.0	0.04947526236881559	-10.0	0.005997001499250375	253.90625	4.0	0.014992503748125937	26.982159406418212	32768.0	4541.0	-138.44512195121953	7973757.0	243339.75219726562	-21.34146341463415	205.0	700.0	-6.250000000000001	2538.0	3718.6813186813188	-712.0	1.7033492822966507	1528.0	-7.4066985645933014	4773056.0	97.70037006394939	3096.0	3.6555023923444976	
2634.0	5.445652173913043	1752.0	-4.141304347826087	1930.0	3.510869565217391	-26.0	0.038980509745127435	-9.0	-0.0029985007496251873	263.671875	-2.0	0.013493253373313342	26.982159406418212	32768.0	4569.0	-139.2987804878049	7974077.0	243349.51782226562	-18.323170731707318	175.0	601.0	-5.335365853658537	2547.0	3731.868131868132	-664.0	1.588516746411483	1628.0	-7.282296650717703	4773360.0	97.69730704528263	3044.0	3.894736842105263	
2627.0	5.934782608695652	1707.0	-4.065217391304348	1935.0	3.4565217391304346	-27.0	0.04047976011994003	-5.0	-0.017991004497751123	273.4375	-12.0	0.0074962518740629685	26.982159406418212	32768.0	4563.0	-139.1158536585366	7974397.0	243359.28344726562	-15.701219512195124	179.0	515.0	-5.457317073170732	2546.0	3730.4029304029305	-672.0	1.6076555023923444	1804.0	-7.08133971291866	4773360.0	97.69730704528263	2960.0	4.315789473684211	
2616.0	5.956521739130435	1705.0	-3.9456521739130435	1940.0	3.402173913043478	-30.0	0.04497751124437781	0.0	-0.0239880059970015	283.203125	-16.0	0.0	26.982159406418212	32768.0	4547.0	-138.62804878048783	7974717.0	243369.04907226562	-13.871951219512196	144.0	455.0	-4.390243902439025	2537.0	3717.2161172161173	-656.0	1.569377990430622	1900.0	-6.92822966507177	4773360.0	97.69730704528263	2896.0	4.545454545454545	
2583.0	5.8478260869565215	1715.0	-3.5869565217391304	1943.0	3.369565217391304	-33.0	0.04947526236881559	4.0	-0.038980509745127435	292.96875	-26.0	-0.005997001499250375	26.982159406418212	32768.0	4553.0	-138.8109756097561	7975037.0	243378.81469726562	-11.890243902439025	136.0	390.0	-4.146341463414634	2548.0	3733.3333333333335	-604.0	1.444976076555024	1884.0	-6.555023923444976	4773360.0	97.69730704528263	2740.0	4.507177033492823	
2551.0	5.510869565217392	1746.0	-3.2391304347826084	1940.0	3.402173913043478	-34.0	0.050974512743628186	18.0	-0.04047976011994003	302.734375	-27.0	-0.026986506746626684	26.982159406418212	32768.0	4624.0	-140.97560975609758	7975357.0	243388.58032226562	-13.231707317073171	183.0	434.0	-5.579268292682928	2542.0	3724.542124542125	-600.0	1.4354066985645932	1760.0	-6.172248803827751	4773360.0	97.69730704528263	2580.0	4.2105263157894735	
