Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	m/(s^2)	no_units	no_units	local_flux	no_units	local_flux	ms	no_units	local_flux	no_units	Degrees Celsius	no_units	deg/s	Ticks	ms	deg/s	no_units	deg/s	no_units	mV	no_units	m/(s^2)	no_units	m/(s^2)	no_units	no_units	kPa	no_units	m/(s^2)	
2622.0	-0.6630434782608695	2314.0	-4.010869565217392	0.8478260869565217	2175.0	136.0	-0.20389805097451275	6.0	0.14992503748125938	9.765625	100.0	-0.008995502248875561	32768.0	26.982159406418212	1572.0	-47.926829268292686	9378224.0	286200.68359375	-53.50609756097561	-4377.0	133.44512195121953	1755.0	3731.868131868132	2547.0	-1.1961722488038278	500.0	-6.966507177033493	-1080.0	0.0	146.19119890832485	2912.0	-2.5837320574162677	
2584.0	-0.010869565217391304	2254.0	-3.5978260869565215	1.1630434782608696	2146.0	134.0	-0.20089955022488756	-5.0	0.15592203898050974	19.53125	104.0	0.0074962518740629685	32768.0	26.982159406418212	2183.0	-66.5548780487805	9378544.0	286210.44921875	-37.957317073170735	-4125.0	125.76219512195124	1245.0	3731.868131868132	2547.0	-0.8899521531100478	372.0	-6.813397129186603	-736.0	4771712.0	97.71391186946175	2848.0	-1.7607655502392343	
2556.0	0.5543478260869565	2202.0	-3.293478260869565	1.1304347826086956	2149.0	132.0	-0.19790104947526235	1.0	0.15592203898050974	29.296875	104.0	-0.0014992503748125937	32768.0	26.982159406418212	2763.0	-84.23780487804879	9378864.0	286220.21484375	-22.469512195121954	-3886.0	118.47560975609757	737.0	3714.285714285714	2535.0	-0.8133971291866028	340.0	-6.143540669856459	-532.0	4771712.0	97.71391186946175	2568.0	-1.2727272727272727	
2470.0	0.6413043478260869	2194.0	-2.358695652173913	1.0543478260869565	2156.0	133.0	-0.19940029985007496	2.0	0.15142428785607195	39.0625	101.0	-0.0029985007496251873	32768.0	26.982159406418212	3303.0	-100.70121951219514	9379184.0	286229.98046875	-6.402439024390245	-3428.0	104.51219512195122	210.0	3745.054945054945	2556.0	-0.8516746411483254	356.0	-5.043062200956937	-516.0	4771712.0	97.71391186946175	2108.0	-1.2344497607655502	
2360.0	0.2826086956521739	2227.0	-1.1630434782608696	0.9782608695652174	2163.0	134.0	-0.20089955022488756	1.0	0.14842578710644677	48.828125	99.0	-0.0014992503748125937	32768.0	26.982159406418212	3769.0	-114.90853658536587	9379504.0	286239.74609375	9.847560975609756	-2656.0	80.97560975609757	-323.0	3728.937728937729	2545.0	-0.9569377990430622	400.0	-3.7033492822966507	-648.0	4771712.0	97.71391186946175	1548.0	-1.5502392344497606	
2252.0	-0.10869565217391304	2263.0	0.010869565217391304	0.6195652173913043	2196.0	138.0	-0.20689655172413793	3.0	0.14392803598200898	58.59375	96.0	-0.004497751124437781	32768.0	26.982159406418212	4086.0	-124.57317073170732	9379824.0	286249.51171875	26.89024390243903	-1583.0	48.26219512195122	-882.0	3720.1465201465203	2539.0	-1.2918660287081338	540.0	-2.325358851674641	-836.0	4771712.0	97.71391186946175	972.0	-2.0	
2130.0	-0.31521739130434784	2282.0	1.3369565217391304	0.43478260869565216	2213.0	137.0	-0.20539730134932532	8.0	0.13343328335832083	68.359375	89.0	-0.01199400299850075	32768.0	26.982159406418212	4241.0	-129.2987804878049	9380144.0	286259.27734375	39.024390243902445	-679.0	20.701219512195124	-1280.0	3752.3809523809523	2561.0	-1.5502392344497606	648.0	-0.7942583732057416	-956.0	4772800.0	97.70294945059953	332.0	-2.2870813397129184	
2001.0	0.16304347826086957	2238.0	2.7391304347826084	0.6739130434782609	2191.0	137.0	-0.20539730134932532	8.0	0.13343328335832083	78.125	89.0	-0.01199400299850075	32768.0	26.982159406418212	4352.0	-132.6829268292683	9380464.0	286269.04296875	42.83536585365854	-48.0	1.4634146341463417	-1405.0	3736.2637362637365	2550.0	-1.3301435406698565	556.0	0.8995215311004784	-696.0	4772800.0	97.70294945059953	-376.0	-1.6650717703349283	
1902.0	0.9782608695652174	2163.0	3.8152173913043477	1.4565217391304348	2119.0	142.0	-0.2128935532233883	10.0	0.13193403298350825	87.890625	88.0	-0.014992503748125937	32768.0	26.982159406418212	4402.0	-134.20731707317074	9380784.0	286278.80859375	43.59756097560976	631.0	-19.23780487804878	-1430.0	3730.4029304029305	2546.0	-0.4688995215311005	196.0	2.1052631578947367	-296.0	4772800.0	97.70294945059953	-880.0	-0.708133971291866	
1831.0	1.891304347826087	2079.0	4.58695652173913	2.358695652173913	2036.0	142.0	-0.2128935532233883	10.0	0.13193403298350825	97.65625	88.0	-0.014992503748125937	32768.0	26.982159406418212	4342.0	-132.37804878048783	9381104.0	286288.57421875	41.768292682926834	1183.0	-36.06707317073171	-1370.0	3728.937728937729	2545.0	0.5933014354066986	-248.0	2.937799043062201	148.0	4772800.0	97.70294945059953	-1228.0	0.354066985645933	
1789.0	2.8152173913043477	1994.0	5.043478260869565	3.010869565217391	1976.0	147.0	-0.22038980509745126	22.0	0.10194902548725637	107.421875	68.0	-0.03298350824587706	32768.0	26.982159406418212	4152.0	-126.58536585365854	9381424.0	286298.33984375	41.3719512195122	2003.0	-61.06707317073171	-1357.0	3723.0769230769233	2541.0	0.985645933014354	-412.0	3.2057416267942584	372.0	4772800.0	97.70294945059953	-1340.0	0.8899521531100478	
1752.0	3.2282608695652173	1956.0	5.445652173913043	3.0217391304347827	1975.0	143.0	-0.2143928035982009	22.0	0.0914542728635682	117.1875	61.0	-0.03298350824587706	32768.0	26.982159406418212	4015.0	-122.40853658536587	9381744.0	286308.10546875	39.237804878048784	2740.0	-83.53658536585367	-1287.0	3730.4029304029305	2546.0	1.2822966507177034	-536.0	3.6555023923444976	664.0	4773824.0	97.69263191776649	-1528.0	1.588516746411483	
1734.0	3.1956521739130435	1959.0	5.641304347826087	2.869565217391304	1989.0	151.0	-0.22638680659670163	30.0	0.08545727136431784	126.953125	57.0	-0.04497751124437781	32768.0	26.982159406418212	3846.0	-117.25609756097562	9382064.0	286317.87109375	32.5609756097561	3269.0	-99.66463414634147	-1068.0	3747.985347985348	2558.0	0.9090909090909091	-380.0	3.952153110047847	648.0	4773824.0	97.69263191776649	-1652.0	1.5502392344497606	
1759.0	3.3478260869565215	1945.0	5.369565217391304	2.5652173913043477	2017.0	138.0	-0.20689655172413793	34.0	0.07196401799100449	136.71875	48.0	-0.050974512743628186	32768.0	26.982159406418212	3333.0	-101.6158536585366	9382384.0	286327.63671875	25.64024390243903	3538.0	-107.8658536585366	-841.0	3736.2637362637365	2550.0	0.7177033492822966	-300.0	3.8373205741626792	640.0	4773824.0	97.69263191776649	-1604.0	1.5311004784688995	
1813.0	3.619565217391304	1920.0	4.782608695652174	2.1630434782608696	2054.0	147.0	-0.22038980509745126	34.0	0.050974512743628186	146.484375	34.0	-0.050974512743628186	32768.0	26.982159406418212	2782.0	-84.81707317073172	9382704.0	286337.40234375	19.512195121951223	3532.0	-107.6829268292683	-640.0	3728.937728937729	2545.0	0.19138755980861244	-80.0	3.1578947368421053	788.0	4773824.0	97.69263191776649	-1320.0	1.8851674641148324	
