Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	Shimmer_B055	
Accel_LN_X	Accel_LN_X	Accel_LN_Y	Accel_LN_Y	Accel_LN_Z	Accel_LN_Z	Mag_Z	Mag_Z	Mag_X	Mag_X	System_Timestamp_Plot_Zeroed	Mag_Y	Mag_Y	Temperature_BMP280	Temperature_BMP280	Gyro_Z	Gyro_Z	Timestamp	Timestamp	Gyro_X	Gyro_X	Gyro_Y	Gyro_Y	Battery	Battery	Accel_WR_Z	Accel_WR_Z	Accel_WR_Y	Accel_WR_Y	Pressure_BMP280	Pressure_BMP280	Accel_WR_X	Accel_WR_X	
UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	
no_units	m/(s^2)	no_units	m/(s^2)	no_units	m/(s^2)	local_flux	no_units	local_flux	no_units	ms	local_flux	no_units	Degrees Celsius	no_units	no_units	deg/s	ms	Ticks	deg/s	no_units	deg/s	no_units	no_units	mV	no_units	m/(s^2)	m/(s^2)	no_units	no_units	kPa	no_units	m/(s^2)	
1281.0	5.358695652173913	1760.0	10.565217391304348	1798.0	4.945652173913043	0.05547226386806597	-37.0	0.04947526236881559	599.0	9.765625	-0.8980509745127436	33.0	26.982159406418212	32768.0	-4252.0	129.63414634146343	325267.6086425781	1.0658369E7	-31.737804878048784	309.0	-9.420731707317074	1041.0	2562.0	3753.846153846154	-1316.0	3.1483253588516744	9.578947368421053	1772.0	0.0	146.19119890832485	-4004.0	4.239234449760765	
1359.0	4.423913043478261	1846.0	9.717391304347826	1814.0	4.771739130434782	0.06446776611694152	-43.0	0.041979010494752625	591.0	19.53125	-0.8860569715142429	28.0	26.982159406418212	32768.0	-3771.0	114.96951219512196	325277.3742675781	1.0658689E7	-26.189024390243905	356.0	-10.853658536585368	859.0	2546.0	3730.4029304029305	-1284.0	3.0717703349282295	8.61244019138756	1340.0	4771968.0	97.71133247305956	-3600.0	3.2057416267942584	
1431.0	4.108695652173913	1875.0	8.934782608695652	1845.0	4.434782608695652	0.06446776611694152	-43.0	0.035982008995502246	589.0	29.296875	-0.8830584707646176	24.0	26.982159406418212	32768.0	-3610.0	110.06097560975611	325287.1398925781	1.0659009E7	-23.53658536585366	566.0	-17.25609756097561	772.0	2545.0	3728.937728937729	-1116.0	2.6698564593301435	7.741626794258373	1112.0	4771968.0	97.71133247305956	-3236.0	2.660287081339713	
1461.0	4.239130434782608	1863.0	8.608695652173912	1851.0	4.369565217391305	0.05997001499250375	-40.0	0.01199400299850075	588.0	39.0625	-0.881559220389805	8.0	26.982159406418212	32768.0	-3464.0	105.60975609756099	325296.9055175781	1.0659329E7	-20.975609756097562	794.0	-24.207317073170735	688.0	2530.0	3706.959706959707	-1076.0	2.574162679425837	7.263157894736842	1188.0	4771968.0	97.71133247305956	-3036.0	2.8421052631578947	
1482.0	4.5978260869565215	1830.0	8.380434782608695	1858.0	4.293478260869565	0.05547226386806597	-37.0	0.004497751124437781	583.0	48.828125	-0.8740629685157421	3.0	26.982159406418212	32768.0	-3150.0	96.03658536585367	325306.6711425781	1.0659649E7	-18.384146341463417	929.0	-28.323170731707318	603.0	2548.0	3733.3333333333335	-1048.0	2.5071770334928227	7.033492822966507	1372.0	4771968.0	97.71133247305956	-2940.0	3.2822966507177034	
1500.0	4.989130434782608	1794.0	8.184782608695652	1860.0	4.271739130434782	0.05547226386806597	-37.0	0.004497751124437781	580.0	58.59375	-0.8695652173913043	3.0	26.982159406418212	32768.0	-2931.0	89.35975609756099	325316.4367675781	1.0659969E7	-15.79268292682927	937.0	-28.56707317073171	518.0	2536.0	3715.7509157509157	-1036.0	2.478468899521531	6.708133971291866	1532.0	4771968.0	97.71133247305956	-2804.0	3.665071770334928	
1539.0	5.108695652173913	1783.0	7.760869565217391	1866.0	4.206521739130435	0.05547226386806597	-37.0	0.004497751124437781	580.0	68.359375	-0.8695652173913043	3.0	26.982159406418212	32768.0	-2717.0	82.83536585365854	325326.2023925781	1.0660289E7	-12.225609756097562	913.0	-27.83536585365854	401.0	2526.0	3701.0989010989015	-1052.0	2.5167464114832536	6.30622009569378	1616.0	4773344.0	97.69746825671072	-2636.0	3.866028708133971	
