,time,status
0,2021-09-11 11:34:05.313345,t
1,2021-09-11 11:34:05.957990,y
2,2021-09-11 11:34:06.609633,u
3,2021-09-11 11:34:07.661328,t
4,2021-09-11 11:34:08.225599,y
5,2021-09-11 11:34:08.878996,u
6,2021-09-11 11:34:10.017465,t
7,2021-09-11 11:34:10.561222,y
8,2021-09-11 11:34:11.233260,u
9,2021-09-11 11:34:12.274507,t
10,2021-09-11 11:34:12.817449,y
11,2021-09-11 11:34:13.437253,u
12,2021-09-11 11:34:14.505584,t
13,2021-09-11 11:34:15.033567,y
14,2021-09-11 11:34:15.721531,u
15,2021-09-11 11:34:16.825524,t
16,2021-09-11 11:34:17.354170,y
17,2021-09-11 11:34:18.024781,u
18,2021-09-11 11:34:19.153414,t
19,2021-09-11 11:34:19.689453,y
20,2021-09-11 11:34:20.318997,u
21,2021-09-11 11:34:21.401425,t
22,2021-09-11 11:34:21.993582,y
23,2021-09-11 11:34:22.633626,u
24,2021-09-11 11:34:23.673288,t
25,2021-09-11 11:34:24.217657,y
26,2021-09-11 11:34:24.889463,u
27,2021-09-11 11:34:26.025684,t
28,2021-09-11 11:34:26.601441,y
29,2021-09-11 11:34:27.273547,u
30,2021-09-11 11:34:28.361768,t
31,2021-09-11 11:34:28.937599,y
32,2021-09-11 11:34:29.593717,u
33,2021-09-11 11:34:30.746032,t
34,2021-09-11 11:34:31.289627,y
35,2021-09-11 11:34:31.881744,u
36,2021-09-11 11:34:33.101387,t
37,2021-09-11 11:34:33.641753,y
38,2021-09-11 11:34:34.273785,u
39,2021-09-11 11:34:35.513732,t
40,2021-09-11 11:34:35.957373,y
41,2021-09-11 11:34:36.785421,u
42,2021-09-11 11:34:37.911449,t
43,2021-09-11 11:34:38.541523,y
44,2021-09-11 11:34:39.241702,u
45,2021-09-11 11:34:40.321790,t
46,2021-09-11 11:34:40.905939,y
47,2021-09-11 11:34:41.609633,u
48,2021-09-11 11:34:42.750649,t
49,2021-09-11 11:34:43.425548,y
50,2021-09-11 11:34:44.218001,u
