,time,status
0,2021-09-11 11:40:37.989329,t
1,2021-09-11 11:40:38.685137,y
2,2021-09-11 11:40:39.333262,u
3,2021-09-11 11:40:40.301427,t
4,2021-09-11 11:40:40.997129,y
5,2021-09-11 11:40:41.625456,u
6,2021-09-11 11:40:42.869158,t
7,2021-09-11 11:40:43.453182,y
8,2021-09-11 11:40:44.117209,u
9,2021-09-11 11:40:45.557093,t
10,2021-09-11 11:40:46.253321,y
11,2021-09-11 11:40:47.021235,u
12,2021-09-11 11:40:48.301232,t
13,2021-09-11 11:40:48.965300,y
14,2021-09-11 11:40:49.724528,u
15,2021-09-11 11:40:51.109418,t
16,2021-09-11 11:40:51.821258,y
17,2021-09-11 11:40:52.629626,u
18,2021-09-11 11:40:53.909425,t
19,2021-09-11 11:40:54.709330,y
20,2021-09-11 11:40:55.357313,u
21,2021-09-11 11:40:56.749629,t
22,2021-09-11 11:40:57.493321,y
23,2021-09-11 11:40:58.125359,u
24,2021-09-11 11:40:59.485333,t
25,2021-09-11 11:41:00.101622,y
26,2021-09-11 11:41:00.781749,u
27,2021-09-11 11:41:01.965524,t
28,2021-09-11 11:41:02.579140,y
29,2021-09-11 11:41:03.253390,u
30,2021-09-11 11:41:04.629452,t
31,2021-09-11 11:41:05.213494,y
32,2021-09-11 11:41:05.916831,u
33,2021-09-11 11:41:07.109202,t
34,2021-09-11 11:41:07.733811,y
35,2021-09-11 11:41:08.397712,u
36,2021-09-11 11:41:09.612621,t
37,2021-09-11 11:41:10.317708,y
38,2021-09-11 11:41:11.077561,u
39,2021-09-11 11:41:12.277648,t
40,2021-09-11 11:41:12.931891,y
41,2021-09-11 11:41:13.629623,u
42,2021-09-11 11:41:14.925604,t
43,2021-09-11 11:41:15.545415,y
44,2021-09-11 11:41:16.149756,u
45,2021-09-11 11:41:17.437678,t
46,2021-09-11 11:41:18.061379,y
47,2021-09-11 11:41:18.725605,u
48,2021-09-11 11:41:19.821714,t
49,2021-09-11 11:41:20.565839,y
50,2021-09-11 11:41:21.229664,u
51,2021-09-11 11:41:22.438326,t
52,2021-09-11 11:41:23.013641,y
53,2021-09-11 11:41:23.649660,u
