,time,status
0,2021-09-11 11:10:48.684389,t
1,2021-09-11 11:10:49.260702,y
2,2021-09-11 11:10:49.865044,u
3,2021-09-11 11:10:50.955571,t
4,2021-09-11 11:10:51.461253,y
5,2021-09-11 11:10:52.092097,u
6,2021-09-11 11:10:53.068216,t
7,2021-09-11 11:10:53.652395,y
8,2021-09-11 11:10:54.356494,u
9,2021-09-11 11:10:55.500597,t
10,2021-09-11 11:10:56.068457,y
11,2021-09-11 11:10:56.705063,u
12,2021-09-11 11:10:57.852346,t
13,2021-09-11 11:10:58.452224,y
14,2021-09-11 11:10:59.052256,u
15,2021-09-11 11:11:00.060623,t
16,2021-09-11 11:11:00.708430,y
17,2021-09-11 11:11:01.348442,u
18,2021-09-11 11:11:02.332942,t
19,2021-09-11 11:11:02.876400,y
20,2021-09-11 11:11:03.604225,u
21,2021-09-11 11:11:04.684392,t
22,2021-09-11 11:11:05.212505,y
23,2021-09-11 11:11:05.852535,u
24,2021-09-11 11:11:06.812427,t
25,2021-09-11 11:11:07.396828,y
26,2021-09-11 11:11:08.108565,u
27,2021-09-11 11:11:09.276575,t
28,2021-09-11 11:11:09.812592,y
29,2021-09-11 11:11:10.448524,u
30,2021-09-11 11:11:11.476541,t
31,2021-09-11 11:11:12.060635,y
32,2021-09-11 11:11:12.724481,u
33,2021-09-11 11:11:13.764594,t
34,2021-09-11 11:11:14.332919,y
35,2021-09-11 11:11:14.980602,u
36,2021-09-11 11:11:16.044922,t
37,2021-09-11 11:11:16.613150,y
38,2021-09-11 11:11:17.316917,u
39,2021-09-11 11:11:18.444676,t
40,2021-09-11 11:11:19.004688,y
41,2021-09-11 11:11:19.580692,u
42,2021-09-11 11:11:20.653085,t
43,2021-09-11 11:11:21.212603,y
44,2021-09-11 11:11:21.812675,u
45,2021-09-11 11:11:22.876968,t
46,2021-09-11 11:11:23.436906,y
47,2021-09-11 11:11:24.036793,u
48,2021-09-11 11:11:25.044915,t
49,2021-09-11 11:11:25.648528,y
50,2021-09-11 11:11:26.260391,u
51,2021-09-11 11:11:27.372845,t
52,2021-09-11 11:11:28.000783,y
53,2021-09-11 11:11:28.588865,u
54,2021-09-11 11:11:29.605167,t
55,2021-09-11 11:11:30.100534,y
56,2021-09-11 11:11:30.732415,u
