,time,status
0,2021-09-11 11:21:24.954731,t
1,2021-09-11 11:21:26.018539,y
2,2021-09-11 11:21:26.922517,u
3,2021-09-11 11:21:28.106644,t
4,2021-09-11 11:21:28.890510,y
5,2021-09-11 11:21:29.618648,u
6,2021-09-11 11:21:30.874647,t
7,2021-09-11 11:21:31.570723,y
8,2021-09-11 11:21:32.215530,u
9,2021-09-11 11:21:33.562519,t
10,2021-09-11 11:21:34.314505,y
11,2021-09-11 11:21:35.018474,u
12,2021-09-11 11:21:36.242572,t
13,2021-09-11 11:21:36.887316,y
14,2021-09-11 11:21:37.578863,u
15,2021-09-11 11:21:38.674541,t
16,2021-09-11 11:21:39.506781,y
17,2021-09-11 11:21:40.362789,u
18,2021-09-11 11:21:41.530814,t
19,2021-09-11 11:21:42.378581,y
20,2021-09-11 11:21:43.274524,u
21,2021-09-11 11:21:44.579118,t
22,2021-09-11 11:21:45.714681,y
23,2021-09-11 11:21:46.666975,u
24,2021-09-11 11:21:47.779001,t
25,2021-09-11 11:21:48.690874,y
26,2021-09-11 11:21:49.547177,u
27,2021-09-11 11:21:50.939052,t
28,2021-09-11 11:21:51.674899,y
29,2021-09-11 11:21:52.506552,u
30,2021-09-11 11:21:53.810885,t
31,2021-09-11 11:21:54.530785,y
32,2021-09-11 11:21:55.330895,u
33,2021-09-11 11:21:56.634194,t
34,2021-09-11 11:21:57.403063,y
35,2021-09-11 11:21:58.219443,u
36,2021-09-11 11:21:59.651110,t
37,2021-09-11 11:22:00.435304,y
38,2021-09-11 11:22:01.283348,u
39,2021-09-11 11:22:02.755269,t
40,2021-09-11 11:22:03.387125,y
41,2021-09-11 11:22:04.266737,u
42,2021-09-11 11:22:05.739132,t
43,2021-09-11 11:22:06.400963,y
44,2021-09-11 11:22:07.170992,u
45,2021-09-11 11:22:08.635298,t
46,2021-09-11 11:22:09.355824,y
47,2021-09-11 11:22:10.235157,u
48,2021-09-11 11:22:11.723146,t
49,2021-09-11 11:22:12.426784,y
50,2021-09-11 11:22:13.203384,u
51,2021-09-11 11:22:14.587159,t
52,2021-09-11 11:22:15.223959,y
53,2021-09-11 11:22:16.003052,u
54,2021-09-11 11:22:17.203216,t
55,2021-09-11 11:22:17.866688,y
56,2021-09-11 11:22:18.595222,u
