,time,status
0,2021-09-11 11:14:59.710835,t
1,2021-09-11 11:15:00.479083,y
2,2021-09-11 11:15:01.334938,u
3,2021-09-11 11:15:02.671051,t
4,2021-09-11 11:15:03.278998,y
5,2021-09-11 11:15:04.007242,u
6,2021-09-11 11:15:05.143206,t
7,2021-09-11 11:15:05.815042,y
8,2021-09-11 11:15:06.567109,u
9,2021-09-11 11:15:07.702916,t
10,2021-09-11 11:15:08.351122,y
11,2021-09-11 11:15:09.087041,u
12,2021-09-11 11:15:10.119179,t
13,2021-09-11 11:15:10.775217,y
14,2021-09-11 11:15:11.447316,u
15,2021-09-11 11:15:12.559244,t
16,2021-09-11 11:15:13.119316,y
17,2021-09-11 11:15:13.647343,u
18,2021-09-11 11:15:14.735098,t
19,2021-09-11 11:15:15.287051,y
20,2021-09-11 11:15:16.039053,u
21,2021-09-11 11:15:17.167257,t
22,2021-09-11 11:15:17.726948,y
23,2021-09-11 11:15:18.327055,u
24,2021-09-11 11:15:19.423303,t
25,2021-09-11 11:15:20.015200,y
26,2021-09-11 11:15:20.639141,u
27,2021-09-11 11:15:21.647489,t
28,2021-09-11 11:15:22.223131,y
29,2021-09-11 11:15:22.807123,u
30,2021-09-11 11:15:23.815466,t
31,2021-09-11 11:15:24.471168,y
32,2021-09-11 11:15:25.142922,u
33,2021-09-11 11:15:26.271202,t
34,2021-09-11 11:15:26.863272,y
35,2021-09-11 11:15:27.503162,u
36,2021-09-11 11:15:28.687293,t
37,2021-09-11 11:15:29.231451,y
38,2021-09-11 11:15:29.903185,u
39,2021-09-11 11:15:30.935572,t
40,2021-09-11 11:15:31.495174,y
41,2021-09-11 11:15:32.119676,u
42,2021-09-11 11:15:33.055208,t
43,2021-09-11 11:15:33.631360,y
44,2021-09-11 11:15:34.207425,u
45,2021-09-11 11:15:35.295511,t
46,2021-09-11 11:15:35.823433,y
47,2021-09-11 11:15:36.439451,u
48,2021-09-11 11:15:37.455211,t
49,2021-09-11 11:15:37.999677,y
50,2021-09-11 11:15:38.631318,u
51,2021-09-11 11:15:39.695496,t
52,2021-09-11 11:15:40.207409,y
53,2021-09-11 11:15:40.823391,u
54,2021-09-11 11:15:41.831284,t
55,2021-09-11 11:15:42.375251,y
56,2021-09-11 11:15:43.063542,u
