,time,status
0,2021-09-11 11:05:25.553039,t
1,2021-09-11 11:05:26.188773,y
2,2021-09-11 11:05:26.704895,u
3,2021-09-11 11:05:27.656975,t
4,2021-09-11 11:05:28.344938,y
5,2021-09-11 11:05:28.969009,u
6,2021-09-11 11:05:30.016921,t
7,2021-09-11 11:05:30.768950,y
8,2021-09-11 11:05:31.768973,u
9,2021-09-11 11:05:32.937049,t
10,2021-09-11 11:05:34.273066,y
11,2021-09-11 11:05:35.517499,u
12,2021-09-11 11:05:37.240866,t
13,2021-09-11 11:05:37.992944,y
14,2021-09-11 11:05:38.977178,u
15,2021-09-11 11:05:40.065084,t
16,2021-09-11 11:05:40.873316,y
17,2021-09-11 11:05:41.633359,u
18,2021-09-11 11:05:42.753012,t
19,2021-09-11 11:05:43.465236,y
20,2021-09-11 11:05:44.185032,u
21,2021-09-11 11:05:45.289225,t
22,2021-09-11 11:05:45.833090,y
23,2021-09-11 11:05:46.545023,u
24,2021-09-11 11:05:47.673265,t
25,2021-09-11 11:05:48.209027,y
26,2021-09-11 11:05:48.833656,u
27,2021-09-11 11:05:50.025317,t
28,2021-09-11 11:05:50.609261,y
29,2021-09-11 11:05:51.273185,u
30,2021-09-11 11:05:52.433541,t
31,2021-09-11 11:05:53.001557,y
32,2021-09-11 11:05:53.657433,u
33,2021-09-11 11:05:54.808984,t
34,2021-09-11 11:05:55.401400,y
35,2021-09-11 11:05:56.089166,u
36,2021-09-11 11:05:57.329359,t
37,2021-09-11 11:05:57.913173,y
38,2021-09-11 11:05:58.557473,u
39,2021-09-11 11:05:59.704943,t
40,2021-09-11 11:06:00.201246,y
41,2021-09-11 11:06:00.829252,u
42,2021-09-11 11:06:02.037601,t
43,2021-09-11 11:06:02.585424,y
44,2021-09-11 11:06:03.233677,u
45,2021-09-11 11:06:04.385253,t
46,2021-09-11 11:06:04.977311,y
47,2021-09-11 11:06:05.598642,u
48,2021-09-11 11:06:06.777453,t
49,2021-09-11 11:06:07.297593,y
50,2021-09-11 11:06:07.925205,u
51,2021-09-11 11:06:09.025215,t
52,2021-09-11 11:06:09.649362,y
53,2021-09-11 11:06:10.281268,u
54,2021-09-11 11:06:11.457512,t
55,2021-09-11 11:06:12.041617,y
56,2021-09-11 11:06:12.625107,u
57,2021-09-11 11:06:13.761490,t
58,2021-09-11 11:06:14.345545,y
59,2021-09-11 11:06:14.905613,u
60,2021-09-11 11:06:15.985420,t
61,2021-09-11 11:06:16.513530,y
62,2021-09-11 11:06:17.145530,u
