,time,status
0,2021-09-10 17:32:43.922941,t
1,2021-09-10 17:32:44.441578,y
2,2021-09-10 17:32:44.859475,u
3,2021-09-10 17:32:45.603138,t
4,2021-09-10 17:32:45.995220,y
5,2021-09-10 17:32:46.459511,u
6,2021-09-10 17:32:47.579656,t
7,2021-09-10 17:32:47.931336,y
8,2021-09-10 17:32:48.635104,u
9,2021-09-10 17:32:49.491046,t
10,2021-09-10 17:32:49.907223,y
11,2021-09-10 17:32:50.651212,u
12,2021-09-10 17:32:51.835483,t
13,2021-09-10 17:32:52.299348,y
14,2021-09-10 17:32:52.851168,u
15,2021-09-10 17:32:53.867453,t
16,2021-09-10 17:32:54.267285,y
17,2021-09-10 17:32:54.915252,u
18,2021-09-10 17:32:55.859863,t
19,2021-09-10 17:32:56.523788,y
20,2021-09-10 17:32:56.995809,u
21,2021-09-10 17:32:57.811320,t
22,2021-09-10 17:32:58.411453,y
23,2021-09-10 17:32:58.995274,u
24,2021-09-10 17:33:00.267634,t
25,2021-09-10 17:33:00.859946,y
26,2021-09-10 17:33:01.296420,u
27,2021-09-10 17:33:02.203547,t
28,2021-09-10 17:33:02.715469,y
29,2021-09-10 17:33:03.315868,u
30,2021-09-10 17:33:04.275586,t
31,2021-09-10 17:33:04.683933,y
32,2021-09-10 17:33:05.163282,u
33,2021-09-10 17:33:06.115563,t
34,2021-09-10 17:33:06.787547,y
35,2021-09-10 17:33:07.259567,u
36,2021-09-10 17:33:08.323338,t
37,2021-09-10 17:33:08.851450,y
38,2021-09-10 17:33:09.371245,u
39,2021-09-10 17:33:10.275741,t
40,2021-09-10 17:33:10.892050,y
41,2021-09-10 17:33:11.480046,u
42,2021-09-10 17:33:12.297956,t
43,2021-09-10 17:33:12.835391,y
44,2021-09-10 17:33:13.355284,u
45,2021-09-10 17:33:14.432918,t
46,2021-09-10 17:33:14.827222,y
47,2021-09-10 17:33:15.304474,u
