,time,status
0,2021-09-10 17:34:20.924135,t
1,2021-09-10 17:34:21.411884,y
2,2021-09-10 17:34:21.804254,u
3,2021-09-10 17:34:22.916304,t
4,2021-09-10 17:34:23.388641,y
5,2021-09-10 17:34:23.815385,u
6,2021-09-10 17:34:24.620156,t
7,2021-09-10 17:34:25.252332,y
8,2021-09-10 17:34:25.691928,u
9,2021-09-10 17:34:26.795784,t
10,2021-09-10 17:34:27.476367,y
11,2021-09-10 17:34:28.004376,u
12,2021-09-10 17:34:28.884226,t
13,2021-09-10 17:34:29.555992,y
14,2021-09-10 17:34:29.999189,u
15,2021-09-10 17:34:30.996558,t
16,2021-09-10 17:34:31.591465,y
17,2021-09-10 17:34:32.116185,u
18,2021-09-10 17:34:33.095693,t
19,2021-09-10 17:34:33.700562,y
20,2021-09-10 17:34:34.148146,u
21,2021-09-10 17:34:35.044350,t
22,2021-09-10 17:34:35.724166,y
23,2021-09-10 17:34:36.255288,u
24,2021-09-10 17:34:37.220593,t
25,2021-09-10 17:34:37.857052,y
26,2021-09-10 17:34:38.364169,u
27,2021-09-10 17:34:39.212223,t
28,2021-09-10 17:34:39.804281,y
29,2021-09-10 17:34:40.340137,u
30,2021-09-10 17:34:41.164357,t
31,2021-09-10 17:34:41.820158,y
32,2021-09-10 17:34:42.300330,u
33,2021-09-10 17:34:43.204786,t
34,2021-09-10 17:34:43.916922,y
35,2021-09-10 17:34:44.516116,u
36,2021-09-10 17:34:45.460074,t
37,2021-09-10 17:34:45.956379,y
38,2021-09-10 17:34:46.428862,u
39,2021-09-10 17:34:47.455408,t
40,2021-09-10 17:34:48.044360,y
41,2021-09-10 17:34:48.604197,u
42,2021-09-10 17:34:49.548054,t
43,2021-09-10 17:34:49.988155,y
44,2021-09-10 17:34:50.500438,u
45,2021-09-10 17:34:51.356910,t
46,2021-09-10 17:34:52.092500,y
47,2021-09-10 17:34:52.620557,u
48,2021-09-10 17:34:53.492254,t
49,2021-09-10 17:34:54.244601,y
50,2021-09-10 17:34:54.764630,u
51,2021-09-10 17:34:55.716072,t
52,2021-09-10 17:34:56.292396,y
53,2021-09-10 17:34:56.832089,u
54,2021-09-10 17:34:57.788899,t
55,2021-09-10 17:34:58.308461,y
56,2021-09-10 17:34:58.820496,u
