,time,status
0,2021-09-10 17:51:17.917377,t
1,2021-09-10 17:51:18.405020,y
2,2021-09-10 17:51:19.077176,u
3,2021-09-10 17:51:20.333520,t
4,2021-09-10 17:51:20.977478,y
5,2021-09-10 17:51:21.573130,u
6,2021-09-10 17:51:23.348920,t
7,2021-09-10 17:51:24.040414,y
8,2021-09-10 17:51:24.501718,u
9,2021-09-10 17:51:25.561462,t
10,2021-09-10 17:51:26.301182,y
11,2021-09-10 17:51:26.836469,u
12,2021-09-10 17:51:28.005193,t
13,2021-09-10 17:51:28.837345,y
14,2021-09-10 17:51:29.441190,u
15,2021-09-10 17:51:30.288407,t
16,2021-09-10 17:51:30.989121,y
17,2021-09-10 17:51:31.657807,u
18,2021-09-10 17:51:32.741428,t
19,2021-09-10 17:51:33.557577,y
20,2021-09-10 17:51:34.093166,u
21,2021-09-10 17:51:35.141861,t
22,2021-09-10 17:51:35.741211,y
23,2021-09-10 17:51:36.521013,u
24,2021-09-10 17:51:37.541744,t
25,2021-09-10 17:51:38.269552,y
26,2021-09-10 17:51:38.893836,u
27,2021-09-10 17:51:40.197751,t
28,2021-09-10 17:51:41.129342,y
29,2021-09-10 17:51:41.677142,u
30,2021-09-10 17:51:42.381545,t
31,2021-09-10 17:51:43.333623,y
32,2021-09-10 17:51:44.272960,u
33,2021-09-10 17:51:44.989622,t
34,2021-09-10 17:51:45.637875,y
35,2021-09-10 17:51:46.181204,u
36,2021-09-10 17:51:47.293729,t
37,2021-09-10 17:51:47.933992,y
38,2021-09-10 17:51:48.621814,u
