,time,status
0,2021-09-10 17:16:28.681827,t
1,2021-09-10 17:16:29.722369,y
2,2021-09-10 17:16:29.962221,u
3,2021-09-10 17:16:31.281806,t
4,2021-09-10 17:16:31.860821,y
5,2021-09-10 17:16:32.416869,u
6,2021-09-10 17:16:33.610004,t
7,2021-09-10 17:16:34.242053,y
8,2021-09-10 17:16:34.842255,u
9,2021-09-10 17:16:36.217924,t
10,2021-09-10 17:16:36.797619,y
11,2021-09-10 17:16:37.450208,u
12,2021-09-10 17:16:38.433976,t
13,2021-09-10 17:16:39.234016,y
14,2021-09-10 17:16:39.738259,u
15,2021-09-10 17:16:41.242660,t
16,2021-09-10 17:16:41.722201,y
17,2021-09-10 17:16:42.089748,u
18,2021-09-10 17:16:43.037672,t
19,2021-09-10 17:16:43.730367,y
20,2021-09-10 17:16:44.314262,u
21,2021-09-10 17:16:45.210236,t
22,2021-09-10 17:16:45.810162,y
23,2021-09-10 17:16:46.370309,u
24,2021-09-10 17:16:47.210454,t
25,2021-09-10 17:16:48.034569,y
26,2021-09-10 17:16:48.754073,u
27,2021-09-10 17:16:49.786187,t
28,2021-09-10 17:16:50.658605,y
29,2021-09-10 17:16:51.153986,u
30,2021-09-10 17:16:52.201981,t
31,2021-09-10 17:16:52.962189,y
32,2021-09-10 17:16:53.440921,u
33,2021-09-10 17:16:54.459134,t
34,2021-09-10 17:16:55.138367,y
35,2021-09-10 17:16:55.666314,u
36,2021-09-10 17:16:56.627423,t
37,2021-09-10 17:16:57.330267,y
38,2021-09-10 17:16:57.810763,u
39,2021-09-10 17:16:58.690611,t
40,2021-09-10 17:16:59.322638,y
41,2021-09-10 17:16:59.753543,u
42,2021-09-10 17:17:00.770441,t
43,2021-09-10 17:17:01.386549,y
44,2021-09-10 17:17:01.786662,u
45,2021-09-10 17:17:03.003037,t
46,2021-09-10 17:17:03.619510,y
47,2021-09-10 17:17:04.082572,u
48,2021-09-10 17:17:05.210412,t
49,2021-09-10 17:17:05.826245,y
50,2021-09-10 17:17:06.226723,u
51,2021-09-10 17:17:07.306325,t
52,2021-09-10 17:17:07.812222,y
53,2021-09-10 17:17:08.346621,u
