,time,status
0,2021-09-10 17:20:32.439819,t
1,2021-09-10 17:20:33.098266,y
2,2021-09-10 17:20:33.580192,u
3,2021-09-10 17:20:34.687878,t
4,2021-09-10 17:20:35.372614,y
5,2021-09-10 17:20:35.860765,u
6,2021-09-10 17:20:36.924387,t
7,2021-09-10 17:20:37.468543,y
8,2021-09-10 17:20:37.964610,u
9,2021-09-10 17:20:39.328786,t
10,2021-09-10 17:20:39.812564,y
11,2021-09-10 17:20:40.164309,u
12,2021-09-10 17:20:41.060412,t
13,2021-09-10 17:20:41.863672,y
14,2021-09-10 17:20:42.380865,u
15,2021-09-10 17:20:43.492797,t
16,2021-09-10 17:20:44.055986,y
17,2021-09-10 17:20:44.540508,u
18,2021-09-10 17:20:45.556871,t
19,2021-09-10 17:20:46.156756,y
20,2021-09-10 17:20:46.714725,u
21,2021-09-10 17:20:47.421608,t
22,2021-09-10 17:20:47.916740,y
23,2021-09-10 17:20:48.348829,u
24,2021-09-10 17:20:49.229045,t
25,2021-09-10 17:20:49.820606,y
26,2021-09-10 17:20:50.345472,u
27,2021-09-10 17:20:51.309031,t
28,2021-09-10 17:20:51.957122,y
29,2021-09-10 17:20:52.564771,u
30,2021-09-10 17:20:53.564905,t
31,2021-09-10 17:20:54.180807,y
32,2021-09-10 17:20:54.644896,u
33,2021-09-10 17:20:55.396907,t
34,2021-09-10 17:20:56.084415,y
35,2021-09-10 17:20:56.487900,u
36,2021-09-10 17:20:57.564846,t
37,2021-09-10 17:20:58.244548,y
38,2021-09-10 17:20:58.717324,u
39,2021-09-10 17:20:59.640589,t
40,2021-09-10 17:21:00.301187,y
41,2021-09-10 17:21:00.732712,u
42,2021-09-10 17:21:01.612983,t
43,2021-09-10 17:21:02.455809,y
44,2021-09-10 17:21:02.877118,u
45,2021-09-10 17:21:03.509692,t
46,2021-09-10 17:21:04.263868,y
47,2021-09-10 17:21:04.717602,u
48,2021-09-10 17:21:06.020864,t
49,2021-09-10 17:21:06.477058,y
50,2021-09-10 17:21:06.941027,u
51,2021-09-10 17:21:07.964790,t
52,2021-09-10 17:21:08.514231,y
53,2021-09-10 17:21:08.952840,u
