,time,status
0,2021-09-10 17:24:24.214847,t
1,2021-09-10 17:24:24.759115,y
2,2021-09-10 17:24:25.311056,u
3,2021-09-10 17:24:26.238377,t
4,2021-09-10 17:24:26.974494,y
5,2021-09-10 17:24:27.470558,u
6,2021-09-10 17:24:28.295056,t
7,2021-09-10 17:24:28.871104,y
8,2021-09-10 17:24:29.382794,u
9,2021-09-10 17:24:30.199177,t
10,2021-09-10 17:24:30.775639,y
11,2021-09-10 17:24:31.231481,u
12,2021-09-10 17:24:32.183215,t
13,2021-09-10 17:24:32.805781,y
14,2021-09-10 17:24:33.327343,u
15,2021-09-10 17:24:34.103103,t
16,2021-09-10 17:24:34.719176,y
17,2021-09-10 17:24:35.215118,u
18,2021-09-10 17:24:36.134799,t
19,2021-09-10 17:24:36.773260,y
20,2021-09-10 17:24:37.159190,u
21,2021-09-10 17:24:38.102797,t
22,2021-09-10 17:24:38.559125,y
23,2021-09-10 17:24:39.014859,u
24,2021-09-10 17:24:40.063108,t
25,2021-09-10 17:24:40.526050,y
26,2021-09-10 17:24:41.062736,u
27,2021-09-10 17:24:42.190859,t
28,2021-09-10 17:24:42.752283,y
29,2021-09-10 17:24:43.246612,u
30,2021-09-10 17:24:44.190981,t
31,2021-09-10 17:24:44.686720,y
32,2021-09-10 17:24:45.205891,u
33,2021-09-10 17:24:46.174910,t
34,2021-09-10 17:24:46.706500,y
35,2021-09-10 17:24:47.239009,u
36,2021-09-10 17:24:48.250075,t
37,2021-09-10 17:24:48.807063,y
38,2021-09-10 17:24:49.303156,u
39,2021-09-10 17:24:50.335412,t
40,2021-09-10 17:24:50.959376,y
41,2021-09-10 17:24:51.438249,u
42,2021-09-10 17:24:52.478894,t
43,2021-09-10 17:24:52.963595,y
44,2021-09-10 17:24:53.453441,u
45,2021-09-10 17:24:54.319034,t
46,2021-09-10 17:24:54.839185,y
47,2021-09-10 17:24:55.271091,u
48,2021-09-10 17:24:56.655117,t
49,2021-09-10 17:24:57.151061,y
50,2021-09-10 17:24:57.463159,u
