,time,status
0,2021-09-10 17:09:37.494017,t
1,2021-09-10 17:09:37.878870,y
2,2021-09-10 17:09:38.302154,u
3,2021-09-10 17:09:39.134239,t
4,2021-09-10 17:09:39.773573,y
5,2021-09-10 17:09:40.334188,u
6,2021-09-10 17:09:41.357895,t
7,2021-09-10 17:09:41.854475,y
8,2021-09-10 17:09:42.350043,u
9,2021-09-10 17:09:43.421846,t
10,2021-09-10 17:09:44.093791,y
11,2021-09-10 17:09:44.566734,u
12,2021-09-10 17:09:45.421915,t
13,2021-09-10 17:09:46.175019,y
14,2021-09-10 17:09:46.662197,u
15,2021-09-10 17:09:47.526111,t
16,2021-09-10 17:09:48.245859,y
17,2021-09-10 17:09:48.830239,u
18,2021-09-10 17:09:49.941894,t
19,2021-09-10 17:09:50.550065,y
20,2021-09-10 17:09:50.954205,u
21,2021-09-10 17:09:51.902260,t
22,2021-09-10 17:09:52.457488,y
23,2021-09-10 17:09:52.902062,u
24,2021-09-10 17:09:53.886020,t
25,2021-09-10 17:09:54.589862,y
26,2021-09-10 17:09:55.078308,u
27,2021-09-10 17:09:55.973900,t
28,2021-09-10 17:09:56.638060,y
29,2021-09-10 17:09:57.090147,u
30,2021-09-10 17:09:58.038199,t
31,2021-09-10 17:09:58.649453,y
32,2021-09-10 17:09:59.142059,u
33,2021-09-10 17:10:00.300522,t
34,2021-09-10 17:10:00.854122,y
35,2021-09-10 17:10:01.262254,u
36,2021-09-10 17:10:02.318297,t
37,2021-09-10 17:10:02.870117,y
38,2021-09-10 17:10:03.261784,u
39,2021-09-10 17:10:04.334427,t
40,2021-09-10 17:10:04.998002,y
41,2021-09-10 17:10:05.436255,u
42,2021-09-10 17:10:06.590312,t
43,2021-09-10 17:10:07.166876,y
44,2021-09-10 17:10:07.614150,u
45,2021-09-10 17:10:08.718572,t
46,2021-09-10 17:10:09.301959,y
47,2021-09-10 17:10:09.741852,u
48,2021-09-10 17:10:10.713877,t
49,2021-09-10 17:10:11.301974,y
50,2021-09-10 17:10:11.725951,u
51,2021-09-10 17:10:12.729866,t
52,2021-09-10 17:10:13.310086,y
53,2021-09-10 17:10:13.846954,u
54,2021-09-10 17:10:14.558423,t
55,2021-09-10 17:10:15.358558,y
56,2021-09-10 17:10:15.777563,u
57,2021-09-10 17:10:16.470312,t
58,2021-09-10 17:10:17.427295,y
59,2021-09-10 17:10:17.846269,u
60,2021-09-10 17:10:18.953995,t
61,2021-09-10 17:10:19.590028,y
62,2021-09-10 17:10:20.007159,u
63,2021-09-10 17:10:21.102634,t
64,2021-09-10 17:10:21.710313,y
65,2021-09-10 17:10:22.083247,u
