,time,status
0,2021-09-10 17:19:03.827931,t
1,2021-09-10 17:19:04.203584,y
2,2021-09-10 17:19:04.473390,u
3,2021-09-10 17:19:05.907462,t
4,2021-09-10 17:19:06.395668,y
5,2021-09-10 17:19:06.763038,u
6,2021-09-10 17:19:07.771812,t
7,2021-09-10 17:19:08.323626,y
8,2021-09-10 17:19:08.859565,u
9,2021-09-10 17:19:10.219735,t
10,2021-09-10 17:19:10.753048,y
11,2021-09-10 17:19:11.188025,u
12,2021-09-10 17:19:12.181388,t
13,2021-09-10 17:19:12.867601,y
14,2021-09-10 17:19:13.451773,u
15,2021-09-10 17:19:14.635248,t
16,2021-09-10 17:19:15.235953,y
17,2021-09-10 17:19:15.708095,u
18,2021-09-10 17:19:16.913532,t
19,2021-09-10 17:19:17.499135,y
20,2021-09-10 17:19:18.011703,u
21,2021-09-10 17:19:18.995962,t
22,2021-09-10 17:19:19.739555,y
23,2021-09-10 17:19:20.244338,u
24,2021-09-10 17:19:21.203685,t
25,2021-09-10 17:19:21.956122,y
26,2021-09-10 17:19:22.451903,u
27,2021-09-10 17:19:23.691904,t
28,2021-09-10 17:19:24.299821,y
29,2021-09-10 17:19:24.803780,u
30,2021-09-10 17:19:25.700116,t
31,2021-09-10 17:19:26.451017,y
32,2021-09-10 17:19:26.900253,u
33,2021-09-10 17:19:28.035914,t
34,2021-09-10 17:19:28.652261,y
35,2021-09-10 17:19:29.132311,u
36,2021-09-10 17:19:30.195748,t
37,2021-09-10 17:19:30.716334,y
38,2021-09-10 17:19:31.220302,u
39,2021-09-10 17:19:32.379885,t
40,2021-09-10 17:19:32.940056,y
41,2021-09-10 17:19:33.372226,u
42,2021-09-10 17:19:34.428703,t
43,2021-09-10 17:19:34.955740,y
44,2021-09-10 17:19:35.421708,u
45,2021-09-10 17:19:36.555963,t
46,2021-09-10 17:19:37.103520,y
47,2021-09-10 17:19:37.547832,u
48,2021-09-10 17:19:38.811763,t
49,2021-09-10 17:19:39.379913,y
50,2021-09-10 17:19:39.868733,u
51,2021-09-10 17:19:41.132187,t
52,2021-09-10 17:19:41.596232,y
53,2021-09-10 17:19:42.107675,u
54,2021-09-10 17:19:43.172242,t
55,2021-09-10 17:19:43.747691,y
56,2021-09-10 17:19:44.188358,u
57,2021-09-10 17:19:45.459804,t
58,2021-09-10 17:19:46.036036,y
59,2021-09-10 17:19:46.519710,u
60,2021-09-10 17:19:47.389232,t
61,2021-09-10 17:19:48.047335,y
62,2021-09-10 17:19:48.595817,u
