,time,status
0,2021-09-10 17:45:16.162074,t
1,2021-09-10 17:45:16.577802,y
2,2021-09-10 17:45:17.005166,u
3,2021-09-10 17:45:17.395817,t
4,2021-09-10 17:45:17.770176,y
5,2021-09-10 17:45:18.122115,u
6,2021-09-10 17:45:18.833954,t
7,2021-09-10 17:45:19.450040,y
8,2021-09-10 17:45:19.881899,u
9,2021-09-10 17:45:21.081942,t
10,2021-09-10 17:45:21.777811,y
11,2021-09-10 17:45:22.226086,u
12,2021-09-10 17:45:23.178496,t
13,2021-09-10 17:45:23.913986,y
14,2021-09-10 17:45:24.377881,u
15,2021-09-10 17:45:25.497902,t
16,2021-09-10 17:45:25.962711,y
17,2021-09-10 17:45:26.521997,u
18,2021-09-10 17:45:27.690182,t
19,2021-09-10 17:45:28.161825,y
20,2021-09-10 17:45:28.713986,u
21,2021-09-10 17:45:29.802585,t
22,2021-09-10 17:45:30.483060,y
23,2021-09-10 17:45:30.967828,u
24,2021-09-10 17:45:31.941748,t
25,2021-09-10 17:45:32.649998,y
26,2021-09-10 17:45:33.145654,u
27,2021-09-10 17:45:34.109089,t
28,2021-09-10 17:45:34.906152,y
29,2021-09-10 17:45:35.391767,u
30,2021-09-10 17:45:36.170051,t
31,2021-09-10 17:45:36.898406,y
32,2021-09-10 17:45:37.362324,u
33,2021-09-10 17:45:38.266612,t
34,2021-09-10 17:45:38.821253,y
35,2021-09-10 17:45:39.322786,u
36,2021-09-10 17:45:40.310241,t
37,2021-09-10 17:45:40.746207,y
38,2021-09-10 17:45:41.226367,u
39,2021-09-10 17:45:42.074182,t
40,2021-09-10 17:45:42.706054,y
41,2021-09-10 17:45:43.218091,u
42,2021-09-10 17:45:44.146386,t
43,2021-09-10 17:45:44.722268,y
44,2021-09-10 17:45:45.210202,u
