,time,status
0,2021-09-10 17:38:32.318120,t
1,2021-09-10 17:38:33.038513,y
2,2021-09-10 17:38:33.358578,u
3,2021-09-10 17:38:34.558151,t
4,2021-09-10 17:38:35.141941,y
5,2021-09-10 17:38:35.622367,u
6,2021-09-10 17:38:36.862656,t
7,2021-09-10 17:38:37.422080,y
8,2021-09-10 17:38:38.014486,u
9,2021-09-10 17:38:39.326473,t
10,2021-09-10 17:38:39.942920,y
11,2021-09-10 17:38:40.558340,u
12,2021-09-10 17:38:41.838625,t
13,2021-09-10 17:38:42.485733,y
14,2021-09-10 17:38:43.070162,u
15,2021-09-10 17:38:44.158287,t
16,2021-09-10 17:38:44.989669,y
17,2021-09-10 17:38:45.598502,u
18,2021-09-10 17:38:46.494801,t
19,2021-09-10 17:38:47.142972,y
20,2021-09-10 17:38:47.734536,u
21,2021-09-10 17:38:48.958340,t
22,2021-09-10 17:38:49.689377,y
23,2021-09-10 17:38:50.174142,u
24,2021-09-10 17:38:51.382502,t
25,2021-09-10 17:38:52.073489,y
26,2021-09-10 17:38:52.638864,u
27,2021-09-10 17:38:53.782506,t
28,2021-09-10 17:38:54.558393,y
29,2021-09-10 17:38:55.150598,u
30,2021-09-10 17:38:56.310490,t
31,2021-09-10 17:38:56.910240,y
32,2021-09-10 17:38:57.414848,u
33,2021-09-10 17:38:58.798403,t
34,2021-09-10 17:38:59.507365,y
35,2021-09-10 17:39:00.104399,u
36,2021-09-10 17:39:01.286395,t
37,2021-09-10 17:39:01.943054,y
38,2021-09-10 17:39:02.518314,u
39,2021-09-10 17:39:03.697931,t
40,2021-09-10 17:39:04.383114,y
41,2021-09-10 17:39:05.014402,u
42,2021-09-10 17:39:06.046625,t
43,2021-09-10 17:39:06.678280,y
44,2021-09-10 17:39:07.239347,u
45,2021-09-10 17:39:08.378183,t
46,2021-09-10 17:39:08.838907,y
47,2021-09-10 17:39:09.158831,u
