,time,status
0,2021-09-10 17:36:20.269289,t
1,2021-09-10 17:36:20.741496,y
2,2021-09-10 17:36:21.149151,u
3,2021-09-10 17:36:22.325024,t
4,2021-09-10 17:36:22.908887,y
5,2021-09-10 17:36:23.504801,u
6,2021-09-10 17:36:24.668816,t
7,2021-09-10 17:36:25.357003,y
8,2021-09-10 17:36:26.013460,u
9,2021-09-10 17:36:27.421311,t
10,2021-09-10 17:36:27.901167,y
11,2021-09-10 17:36:28.581024,u
12,2021-09-10 17:36:29.597637,t
13,2021-09-10 17:36:30.381518,y
14,2021-09-10 17:36:30.908996,u
15,2021-09-10 17:36:32.045151,t
16,2021-09-10 17:36:32.756077,y
17,2021-09-10 17:36:33.309695,u
18,2021-09-10 17:36:34.573062,t
19,2021-09-10 17:36:35.124961,y
20,2021-09-10 17:36:35.597255,u
21,2021-09-10 17:36:36.877292,t
22,2021-09-10 17:36:37.565435,y
23,2021-09-10 17:36:38.141107,u
24,2021-09-10 17:36:39.173593,t
25,2021-09-10 17:36:39.885228,y
26,2021-09-10 17:36:40.380946,u
27,2021-09-10 17:36:41.508905,t
28,2021-09-10 17:36:42.269677,y
29,2021-09-10 17:36:42.813236,u
30,2021-09-10 17:36:43.980984,t
31,2021-09-10 17:36:44.661412,y
32,2021-09-10 17:36:45.217442,u
33,2021-09-10 17:36:46.469282,t
34,2021-09-10 17:36:46.981267,y
35,2021-09-10 17:36:47.505689,u
36,2021-09-10 17:36:48.717991,t
37,2021-09-10 17:36:49.261175,y
38,2021-09-10 17:36:49.805245,u
39,2021-09-10 17:36:50.941679,t
40,2021-09-10 17:36:51.557442,y
41,2021-09-10 17:36:52.069403,u
42,2021-09-10 17:36:53.301608,t
43,2021-09-10 17:36:53.933334,y
44,2021-09-10 17:36:54.469681,u
45,2021-09-10 17:36:55.581558,t
46,2021-09-10 17:36:56.277483,y
47,2021-09-10 17:36:56.736290,u
48,2021-09-10 17:36:58.125473,t
49,2021-09-10 17:36:58.477362,y
50,2021-09-10 17:36:58.869660,u
51,2021-09-10 17:37:00.292631,t
52,2021-09-10 17:37:00.840886,y
53,2021-09-10 17:37:01.301265,u
54,2021-09-10 17:37:02.613555,t
55,2021-09-10 17:37:03.213576,y
56,2021-09-10 17:37:03.685897,u
