,time,status
0,2021-09-11 10:46:47.756063,t
1,2021-09-11 10:46:48.212015,y
2,2021-09-11 10:46:48.708006,u
3,2021-09-11 10:46:49.644159,t
4,2021-09-11 10:46:50.172390,y
5,2021-09-11 10:46:50.660326,u
6,2021-09-11 10:46:51.580378,t
7,2021-09-11 10:46:52.172494,y
8,2021-09-11 10:46:52.868372,u
9,2021-09-11 10:46:53.796187,t
10,2021-09-11 10:46:54.652143,y
11,2021-09-11 10:46:55.436326,u
12,2021-09-11 10:46:56.284136,t
13,2021-09-11 10:46:57.460423,y
14,2021-09-11 10:46:57.988405,u
15,2021-09-11 10:46:58.844158,t
16,2021-09-11 10:47:00.024820,y
17,2021-09-11 10:47:00.652141,u
18,2021-09-11 10:47:01.532266,t
19,2021-09-11 10:47:02.788362,y
20,2021-09-11 10:47:03.416224,u
21,2021-09-11 10:47:04.436233,t
22,2021-09-11 10:47:05.436448,y
23,2021-09-11 10:47:06.124627,u
24,2021-09-11 10:47:07.338630,t
25,2021-09-11 10:47:08.148275,y
26,2021-09-11 10:47:08.828480,u
27,2021-09-11 10:47:10.004386,t
28,2021-09-11 10:47:10.804585,y
29,2021-09-11 10:47:11.596218,u
30,2021-09-11 10:47:12.972535,t
31,2021-09-11 10:47:13.852543,y
32,2021-09-11 10:47:14.636415,u
33,2021-09-11 10:47:15.868513,t
34,2021-09-11 10:47:16.772481,y
35,2021-09-11 10:47:17.628876,u
36,2021-09-11 10:47:18.812909,t
37,2021-09-11 10:47:19.680761,y
38,2021-09-11 10:47:20.500364,u
39,2021-09-11 10:47:21.564647,t
40,2021-09-11 10:47:22.676772,y
41,2021-09-11 10:47:23.404587,u
42,2021-09-11 10:47:24.540607,t
43,2021-09-11 10:47:25.532591,y
44,2021-09-11 10:47:26.244730,u
45,2021-09-11 10:47:27.357182,t
46,2021-09-11 10:47:28.332832,y
47,2021-09-11 10:47:29.188614,u
48,2021-09-11 10:47:30.220656,t
49,2021-09-11 10:47:31.245563,y
50,2021-09-11 10:47:31.924788,u
51,2021-09-11 10:47:33.125122,t
52,2021-09-11 10:47:34.052440,y
53,2021-09-11 10:47:34.748800,u
