,time,status
0,2021-09-11 10:18:12.491694,t
1,2021-09-11 10:18:13.011735,y
2,2021-09-11 10:18:14.060040,u
3,2021-09-11 10:18:14.931750,t
4,2021-09-11 10:18:15.699491,y
5,2021-09-11 10:18:16.539986,u
6,2021-09-11 10:18:17.607163,t
7,2021-09-11 10:18:18.299669,y
8,2021-09-11 10:18:18.787493,u
9,2021-09-11 10:18:19.908042,t
10,2021-09-11 10:18:20.628071,y
11,2021-09-11 10:18:21.444482,u
12,2021-09-11 10:18:22.395718,t
13,2021-09-11 10:18:23.050751,y
14,2021-09-11 10:18:23.555748,u
15,2021-09-11 10:18:24.612282,t
16,2021-09-11 10:18:25.379698,y
17,2021-09-11 10:18:25.867874,u
18,2021-09-11 10:18:26.915707,t
19,2021-09-11 10:18:27.667781,y
20,2021-09-11 10:18:28.171750,u
21,2021-09-11 10:18:29.251877,t
22,2021-09-11 10:18:29.819699,y
23,2021-09-11 10:18:30.331924,u
24,2021-09-11 10:18:31.460122,t
25,2021-09-11 10:18:32.331603,y
26,2021-09-11 10:18:33.707687,u
27,2021-09-11 10:18:35.332298,t
28,2021-09-11 10:18:36.523662,y
29,2021-09-11 10:18:37.123510,u
30,2021-09-11 10:18:38.412305,t
31,2021-09-11 10:18:39.355967,y
32,2021-09-11 10:18:39.961573,u
33,2021-09-11 10:18:41.564030,t
34,2021-09-11 10:18:42.516014,y
35,2021-09-11 10:18:43.403982,u
36,2021-09-11 10:18:44.699872,t
37,2021-09-11 10:18:45.700039,y
38,2021-09-11 10:18:46.960979,u
39,2021-09-11 10:18:48.068288,t
40,2021-09-11 10:18:49.339840,y
41,2021-09-11 10:18:50.299939,u
42,2021-09-11 10:18:51.443627,t
43,2021-09-11 10:18:52.452409,y
44,2021-09-11 10:18:53.292133,u
45,2021-09-11 10:18:54.436218,t
46,2021-09-11 10:18:55.339905,y
47,2021-09-11 10:18:56.164111,u
48,2021-09-11 10:18:57.348118,t
49,2021-09-11 10:18:58.148021,y
50,2021-09-11 10:18:58.843949,u
51,2021-09-11 10:19:00.347938,t
52,2021-09-11 10:19:01.244011,y
53,2021-09-11 10:19:01.897653,u
54,2021-09-11 10:19:03.004374,t
55,2021-09-11 10:19:03.988350,y
56,2021-09-11 10:19:04.795961,u
57,2021-09-11 10:19:06.003794,t
58,2021-09-11 10:19:06.844370,y
59,2021-09-11 10:19:07.436606,u
