,time,status
0,2021-09-11 10:20:03.964320,t
1,2021-09-11 10:20:04.564414,y
2,2021-09-11 10:20:05.217491,u
3,2021-09-11 10:20:06.348838,t
4,2021-09-11 10:20:08.188943,y
5,2021-09-11 10:20:08.996575,u
6,2021-09-11 10:20:10.076498,t
7,2021-09-11 10:20:10.860728,y
8,2021-09-11 10:20:11.532313,u
9,2021-09-11 10:20:12.500614,t
10,2021-09-11 10:20:13.221145,y
11,2021-09-11 10:20:13.840246,u
12,2021-09-11 10:20:15.020954,t
13,2021-09-11 10:20:15.740939,y
14,2021-09-11 10:20:16.385454,u
15,2021-09-11 10:20:17.484622,t
16,2021-09-11 10:20:18.129686,y
17,2021-09-11 10:20:18.748622,u
18,2021-09-11 10:20:19.908969,t
19,2021-09-11 10:20:20.612469,y
20,2021-09-11 10:20:21.324743,u
21,2021-09-11 10:20:22.493261,t
22,2021-09-11 10:20:23.173084,y
23,2021-09-11 10:20:23.804969,u
24,2021-09-11 10:20:24.916569,t
25,2021-09-11 10:20:25.580410,y
26,2021-09-11 10:20:26.188950,u
27,2021-09-11 10:20:27.306641,t
28,2021-09-11 10:20:28.052801,y
29,2021-09-11 10:20:28.700991,u
30,2021-09-11 10:20:29.876989,t
31,2021-09-11 10:20:30.596704,y
32,2021-09-11 10:20:31.325000,u
33,2021-09-11 10:20:32.476970,t
34,2021-09-11 10:20:33.196583,y
35,2021-09-11 10:20:33.908906,u
36,2021-09-11 10:20:35.076744,t
37,2021-09-11 10:20:35.876810,y
38,2021-09-11 10:20:36.468904,u
39,2021-09-11 10:20:37.748694,t
40,2021-09-11 10:20:38.940998,y
41,2021-09-11 10:20:39.468913,u
42,2021-09-11 10:20:40.604927,t
43,2021-09-11 10:20:41.404594,y
44,2021-09-11 10:20:42.236875,u
45,2021-09-11 10:20:43.468609,t
46,2021-09-11 10:20:44.284649,y
47,2021-09-11 10:20:45.036915,u
48,2021-09-11 10:20:46.868976,t
49,2021-09-11 10:20:47.756808,y
50,2021-09-11 10:20:48.949011,u
51,2021-09-11 10:20:50.176887,t
52,2021-09-11 10:20:50.868809,y
53,2021-09-11 10:20:51.532713,u
