,time,status
0,2021-09-11 10:33:10.979705,t
1,2021-09-11 10:33:11.755798,y
2,2021-09-11 10:33:12.372168,u
3,2021-09-11 10:33:13.444437,t
4,2021-09-11 10:33:14.195658,y
5,2021-09-11 10:33:14.923805,u
6,2021-09-11 10:33:15.875791,t
7,2021-09-11 10:33:16.506823,y
8,2021-09-11 10:33:17.283977,u
9,2021-09-11 10:33:18.537436,t
10,2021-09-11 10:33:19.276211,y
11,2021-09-11 10:33:20.067865,u
12,2021-09-11 10:33:21.295726,t
13,2021-09-11 10:33:21.962878,y
14,2021-09-11 10:33:22.868074,u
15,2021-09-11 10:33:23.860256,t
16,2021-09-11 10:33:24.548181,y
17,2021-09-11 10:33:25.204170,u
18,2021-09-11 10:33:26.092177,t
19,2021-09-11 10:33:26.819797,y
20,2021-09-11 10:33:27.596222,u
21,2021-09-11 10:33:28.708096,t
22,2021-09-11 10:33:29.564230,y
23,2021-09-11 10:33:30.395805,u
24,2021-09-11 10:33:31.602406,t
25,2021-09-11 10:33:32.219974,y
26,2021-09-11 10:33:32.995800,u
27,2021-09-11 10:33:34.291968,t
28,2021-09-11 10:33:34.819776,y
29,2021-09-11 10:33:35.755791,u
30,2021-09-11 10:33:36.940099,t
31,2021-09-11 10:33:37.554925,y
32,2021-09-11 10:33:38.316034,u
33,2021-09-11 10:33:39.492222,t
34,2021-09-11 10:33:40.380556,y
35,2021-09-11 10:33:41.068274,u
36,2021-09-11 10:33:42.244252,t
37,2021-09-11 10:33:43.060023,y
38,2021-09-11 10:33:43.827768,u
39,2021-09-11 10:33:45.004098,t
40,2021-09-11 10:33:45.852345,y
41,2021-09-11 10:33:46.788119,u
42,2021-09-11 10:33:47.908115,t
43,2021-09-11 10:33:48.692173,y
44,2021-09-11 10:33:49.484413,u
45,2021-09-11 10:33:51.316289,t
46,2021-09-11 10:33:51.860055,y
47,2021-09-11 10:33:52.588004,u
48,2021-09-11 10:33:53.452630,t
49,2021-09-11 10:33:54.316412,y
50,2021-09-11 10:33:55.228465,u
