,time,status
0,2021-09-11 10:27:22.384511,t
1,2021-09-11 10:27:22.832536,y
2,2021-09-11 10:27:23.328496,u
3,2021-09-11 10:27:24.296264,t
4,2021-09-11 10:27:24.888379,y
5,2021-09-11 10:27:25.568437,u
6,2021-09-11 10:27:26.408244,t
7,2021-09-11 10:27:27.036304,y
8,2021-09-11 10:27:28.072585,u
9,2021-09-11 10:27:28.864379,t
10,2021-09-11 10:27:29.484328,y
11,2021-09-11 10:27:30.168854,u
12,2021-09-11 10:27:31.024634,t
13,2021-09-11 10:27:31.464371,y
14,2021-09-11 10:27:32.136887,u
15,2021-09-11 10:27:33.208600,t
16,2021-09-11 10:27:34.056572,y
17,2021-09-11 10:27:34.768818,u
18,2021-09-11 10:27:35.816618,t
19,2021-09-11 10:27:36.464685,y
20,2021-09-11 10:27:37.248516,u
21,2021-09-11 10:27:38.440443,t
22,2021-09-11 10:27:39.152896,y
23,2021-09-11 10:27:39.896499,u
24,2021-09-11 10:27:40.784627,t
25,2021-09-11 10:27:41.520837,y
26,2021-09-11 10:27:42.248431,u
27,2021-09-11 10:27:43.400771,t
28,2021-09-11 10:27:44.017033,y
29,2021-09-11 10:27:44.752915,u
30,2021-09-11 10:27:45.688621,t
31,2021-09-11 10:27:46.416500,y
32,2021-09-11 10:27:46.976320,u
33,2021-09-11 10:27:47.864643,t
34,2021-09-11 10:27:48.472632,y
35,2021-09-11 10:27:49.280483,u
36,2021-09-11 10:27:50.608998,t
37,2021-09-11 10:27:51.264324,y
38,2021-09-11 10:27:51.960253,u
39,2021-09-11 10:27:52.760646,t
40,2021-09-11 10:27:53.344742,y
41,2021-09-11 10:27:54.176924,u
42,2021-09-11 10:27:54.993004,t
43,2021-09-11 10:27:55.808839,y
44,2021-09-11 10:27:56.896949,u
45,2021-09-11 10:27:57.625068,t
46,2021-09-11 10:27:58.224587,y
47,2021-09-11 10:27:59.216923,u
48,2021-09-11 10:28:00.120569,t
49,2021-09-11 10:28:00.740788,y
50,2021-09-11 10:28:01.960755,u
51,2021-09-11 10:28:02.832885,t
52,2021-09-11 10:28:03.472816,y
53,2021-09-11 10:28:04.336544,u
