,time,status
0,2021-09-11 10:28:56.985481,t
1,2021-09-11 10:28:57.537138,y
2,2021-09-11 10:28:58.249260,u
3,2021-09-11 10:28:59.217233,t
4,2021-09-11 10:28:59.817123,y
5,2021-09-11 10:29:00.625658,u
6,2021-09-11 10:29:01.457776,t
7,2021-09-11 10:29:02.113289,y
8,2021-09-11 10:29:02.832466,u
9,2021-09-11 10:29:03.489362,t
10,2021-09-11 10:29:04.133387,y
11,2021-09-11 10:29:04.889714,u
12,2021-09-11 10:29:05.689215,t
13,2021-09-11 10:29:06.289285,y
14,2021-09-11 10:29:07.073306,u
15,2021-09-11 10:29:07.897349,t
16,2021-09-11 10:29:08.497174,y
17,2021-09-11 10:29:09.473331,u
18,2021-09-11 10:29:10.145718,t
19,2021-09-11 10:29:10.785326,y
20,2021-09-11 10:29:11.641564,u
21,2021-09-11 10:29:12.448549,t
22,2021-09-11 10:29:13.353353,y
23,2021-09-11 10:29:14.209743,u
24,2021-09-11 10:29:15.073519,t
25,2021-09-11 10:29:15.825320,y
26,2021-09-11 10:29:16.609516,u
27,2021-09-11 10:29:17.569326,t
28,2021-09-11 10:29:18.361501,y
29,2021-09-11 10:29:19.201477,u
30,2021-09-11 10:29:20.185479,t
31,2021-09-11 10:29:20.985478,y
32,2021-09-11 10:29:21.689636,u
33,2021-09-11 10:29:22.497614,t
34,2021-09-11 10:29:23.505648,y
35,2021-09-11 10:29:24.193742,u
36,2021-09-11 10:29:24.929728,t
37,2021-09-11 10:29:25.721017,y
38,2021-09-11 10:29:26.265790,u
39,2021-09-11 10:29:26.969683,t
40,2021-09-11 10:29:28.025626,y
41,2021-09-11 10:29:28.953515,u
42,2021-09-11 10:29:29.793548,t
43,2021-09-11 10:29:31.297529,y
44,2021-09-11 10:29:32.017939,u
45,2021-09-11 10:29:32.889878,t
46,2021-09-11 10:29:33.481525,y
47,2021-09-11 10:29:34.137017,u
48,2021-09-11 10:29:35.170003,t
49,2021-09-11 10:29:36.009576,y
50,2021-09-11 10:29:36.737650,u
