,time,status
2,2021-09-11 10:30:08.753914,t
3,2021-09-11 10:30:09.353975,y
4,2021-09-11 10:30:09.962078,u
5,2021-09-11 10:30:10.921139,t
6,2021-09-11 10:30:11.658061,y
7,2021-09-11 10:30:12.294449,u
8,2021-09-11 10:30:13.106136,t
9,2021-09-11 10:30:13.753953,y
10,2021-09-11 10:30:14.346530,u
11,2021-09-11 10:30:15.330211,t
12,2021-09-11 10:30:16.066314,y
13,2021-09-11 10:30:16.666097,u
14,2021-09-11 10:30:17.642373,t
15,2021-09-11 10:30:18.362278,y
16,2021-09-11 10:30:19.018250,u
17,2021-09-11 10:30:20.034122,t
18,2021-09-11 10:30:21.185722,y
19,2021-09-11 10:30:21.937846,u
20,2021-09-11 10:30:23.273958,t
21,2021-09-11 10:30:23.986038,y
22,2021-09-11 10:30:24.605632,u
26,2021-09-11 10:30:27.634379,t
27,2021-09-11 10:30:28.370317,y
28,2021-09-11 10:30:29.010313,u
29,2021-09-11 10:30:29.690439,t
30,2021-09-11 10:30:30.458095,y
31,2021-09-11 10:30:31.162150,u
32,2021-09-11 10:30:32.098392,t
33,2021-09-11 10:30:33.002234,y
34,2021-09-11 10:30:33.655542,u
35,2021-09-11 10:30:34.642018,t
36,2021-09-11 10:30:35.506055,y
37,2021-09-11 10:30:36.225983,u
38,2021-09-11 10:30:37.018363,t
39,2021-09-11 10:30:37.938203,y
40,2021-09-11 10:30:38.778101,u
41,2021-09-11 10:30:39.906141,t
42,2021-09-11 10:30:40.722000,y
43,2021-09-11 10:30:41.458390,u
44,2021-09-11 10:30:42.306871,t
45,2021-09-11 10:30:43.122244,y
46,2021-09-11 10:30:43.970302,u
47,2021-09-11 10:30:44.826727,t
48,2021-09-11 10:30:45.578261,y
49,2021-09-11 10:30:46.330247,u
