,time,status
0,2021-09-11 10:25:55.871703,t
1,2021-09-11 10:25:56.295470,y
2,2021-09-11 10:25:56.639481,u
3,2021-09-11 10:25:57.367550,t
4,2021-09-11 10:25:57.995660,y
5,2021-09-11 10:25:58.661806,u
6,2021-09-11 10:25:59.623747,t
7,2021-09-11 10:26:00.479976,y
8,2021-09-11 10:26:01.056045,u
9,2021-09-11 10:26:01.655672,t
10,2021-09-11 10:26:02.375823,y
11,2021-09-11 10:26:03.247820,u
12,2021-09-11 10:26:04.135467,t
13,2021-09-11 10:26:04.951805,y
14,2021-09-11 10:26:05.704027,u
15,2021-09-11 10:26:06.583684,t
16,2021-09-11 10:26:07.416087,y
17,2021-09-11 10:26:08.415825,u
18,2021-09-11 10:26:09.407739,t
19,2021-09-11 10:26:10.064165,y
20,2021-09-11 10:26:10.832196,u
21,2021-09-11 10:26:11.880249,t
22,2021-09-11 10:26:12.640045,y
23,2021-09-11 10:26:13.351679,u
24,2021-09-11 10:26:14.175764,t
25,2021-09-11 10:26:15.007785,y
26,2021-09-11 10:26:15.944090,u
27,2021-09-11 10:26:16.743976,t
28,2021-09-11 10:26:17.503874,y
29,2021-09-11 10:26:18.139986,u
30,2021-09-11 10:26:18.943963,t
31,2021-09-11 10:26:19.599908,y
32,2021-09-11 10:26:20.552446,u
33,2021-09-11 10:26:21.527961,t
34,2021-09-11 10:26:22.320329,y
35,2021-09-11 10:26:23.127989,u
36,2021-09-11 10:26:24.184143,t
37,2021-09-11 10:26:24.960011,y
38,2021-09-11 10:26:25.744068,u
39,2021-09-11 10:26:26.559813,t
40,2021-09-11 10:26:27.279873,y
41,2021-09-11 10:26:28.279861,u
42,2021-09-11 10:26:29.239900,t
43,2021-09-11 10:26:29.968146,y
44,2021-09-11 10:26:30.711896,u
45,2021-09-11 10:26:31.831961,t
46,2021-09-11 10:26:32.584179,y
47,2021-09-11 10:26:33.304221,u
48,2021-09-11 10:26:34.201726,t
49,2021-09-11 10:26:35.144095,y
50,2021-09-11 10:26:35.990475,u
51,2021-09-11 10:26:36.960234,t
52,2021-09-11 10:26:37.967628,y
53,2021-09-11 10:26:38.583532,u
