,time,status
0,2021-09-11 10:36:05.957506,t
1,2021-09-11 10:36:06.733372,y
2,2021-09-11 10:36:07.533167,u
3,2021-09-11 10:36:08.685605,t
4,2021-09-11 10:36:09.733419,y
5,2021-09-11 10:36:11.117419,u
6,2021-09-11 10:36:11.973409,t
7,2021-09-11 10:36:12.638053,y
8,2021-09-11 10:36:13.429677,u
9,2021-09-11 10:36:14.725396,t
10,2021-09-11 10:36:15.485564,y
11,2021-09-11 10:36:16.701608,u
12,2021-09-11 10:36:17.741551,t
13,2021-09-11 10:36:18.469236,y
14,2021-09-11 10:36:19.421738,u
15,2021-09-11 10:36:20.869521,t
16,2021-09-11 10:36:21.829546,y
17,2021-09-11 10:36:22.981459,u
18,2021-09-11 10:36:24.301619,t
19,2021-09-11 10:36:25.181587,y
20,2021-09-11 10:36:26.109548,u
21,2021-09-11 10:36:27.325914,t
22,2021-09-11 10:36:28.093949,y
23,2021-09-11 10:36:29.133586,u
24,2021-09-11 10:36:30.262112,t
25,2021-09-11 10:36:30.989563,y
26,2021-09-11 10:36:31.965667,u
27,2021-09-11 10:36:32.773655,t
28,2021-09-11 10:36:33.621610,y
29,2021-09-11 10:36:34.509850,u
30,2021-09-11 10:36:35.349482,t
31,2021-09-11 10:36:36.325852,y
32,2021-09-11 10:36:36.997820,u
33,2021-09-11 10:36:37.667191,t
34,2021-09-11 10:36:38.581690,y
35,2021-09-11 10:36:39.453701,u
36,2021-09-11 10:36:40.293882,t
37,2021-09-11 10:36:41.046176,y
38,2021-09-11 10:36:41.981729,u
39,2021-09-11 10:36:42.741494,t
40,2021-09-11 10:36:43.429984,y
41,2021-09-11 10:36:44.485617,u
42,2021-09-11 10:36:45.237636,t
43,2021-09-11 10:36:46.005941,y
44,2021-09-11 10:36:46.925868,u
45,2021-09-11 10:36:47.830047,t
46,2021-09-11 10:36:48.733622,y
47,2021-09-11 10:36:49.646367,u
48,2021-09-11 10:36:50.461643,t
49,2021-09-11 10:36:51.237792,y
50,2021-09-11 10:36:52.157514,u
