,time,status
0,2021-09-11 10:37:33.214685,t
1,2021-09-11 10:37:33.645907,y
2,2021-09-11 10:37:35.134333,u
3,2021-09-11 10:37:35.878645,t
4,2021-09-11 10:37:36.670360,y
5,2021-09-11 10:37:37.558431,u
6,2021-09-11 10:37:38.614299,t
7,2021-09-11 10:37:39.326103,y
8,2021-09-11 10:37:39.910498,u
9,2021-09-11 10:37:40.550281,t
10,2021-09-11 10:37:41.142709,y
11,2021-09-11 10:37:42.358813,u
12,2021-09-11 10:37:43.486220,t
13,2021-09-11 10:37:44.092629,y
14,2021-09-11 10:37:44.854254,u
15,2021-09-11 10:37:46.182268,t
16,2021-09-11 10:37:46.830767,y
17,2021-09-11 10:37:47.814856,u
18,2021-09-11 10:37:48.822444,t
19,2021-09-11 10:37:49.510564,y
20,2021-09-11 10:37:50.742451,u
21,2021-09-11 10:37:51.642745,t
22,2021-09-11 10:37:52.310531,y
23,2021-09-11 10:37:53.262675,u
24,2021-09-11 10:37:54.351157,t
25,2021-09-11 10:37:55.158214,y
26,2021-09-11 10:37:56.166778,u
27,2021-09-11 10:37:57.142392,t
28,2021-09-11 10:37:57.870324,y
29,2021-09-11 10:37:58.814664,u
30,2021-09-11 10:37:59.734801,t
31,2021-09-11 10:38:00.370690,y
32,2021-09-11 10:38:01.446703,u
33,2021-09-11 10:38:02.326444,t
34,2021-09-11 10:38:03.133649,y
35,2021-09-11 10:38:03.862412,u
36,2021-09-11 10:38:04.894476,t
37,2021-09-11 10:38:05.526550,y
38,2021-09-11 10:38:06.246496,u
39,2021-09-11 10:38:07.238435,t
40,2021-09-11 10:38:07.870473,y
41,2021-09-11 10:38:08.508491,u
42,2021-09-11 10:38:09.782733,t
43,2021-09-11 10:38:10.418634,y
44,2021-09-11 10:38:11.118734,u
45,2021-09-11 10:38:12.462553,t
46,2021-09-11 10:38:13.094575,y
47,2021-09-11 10:38:14.046658,u
48,2021-09-11 10:38:15.134877,t
49,2021-09-11 10:38:15.662632,y
50,2021-09-11 10:38:16.303152,u
