,time,status
0,2021-09-11 10:38:46.095130,t
1,2021-09-11 10:38:46.847366,y
2,2021-09-11 10:38:47.718885,u
3,2021-09-11 10:38:48.654816,t
4,2021-09-11 10:38:49.527144,y
5,2021-09-11 10:38:50.327419,u
6,2021-09-11 10:38:51.151158,t
7,2021-09-11 10:38:52.039044,y
8,2021-09-11 10:38:52.758826,u
9,2021-09-11 10:38:53.395400,t
10,2021-09-11 10:38:54.382733,y
11,2021-09-11 10:38:55.102243,u
12,2021-09-11 10:38:55.731078,t
13,2021-09-11 10:38:56.558900,y
14,2021-09-11 10:38:57.263507,u
15,2021-09-11 10:38:57.975029,t
16,2021-09-11 10:38:58.927121,y
17,2021-09-11 10:38:59.670999,u
18,2021-09-11 10:39:00.367250,t
19,2021-09-11 10:39:01.023135,y
20,2021-09-11 10:39:01.935091,u
21,2021-09-11 10:39:02.775076,t
22,2021-09-11 10:39:03.647304,y
23,2021-09-11 10:39:04.335209,u
24,2021-09-11 10:39:05.063273,t
25,2021-09-11 10:39:05.743164,y
26,2021-09-11 10:39:06.379270,u
27,2021-09-11 10:39:07.070912,t
28,2021-09-11 10:39:08.023217,y
29,2021-09-11 10:39:08.791349,u
30,2021-09-11 10:39:09.591196,t
31,2021-09-11 10:39:10.455246,y
32,2021-09-11 10:39:11.247234,u
33,2021-09-11 10:39:12.007265,t
34,2021-09-11 10:39:12.911222,y
35,2021-09-11 10:39:13.647060,u
36,2021-09-11 10:39:14.310192,t
37,2021-09-11 10:39:14.947561,y
38,2021-09-11 10:39:15.751176,u
39,2021-09-11 10:39:17.119525,t
40,2021-09-11 10:39:17.847334,y
41,2021-09-11 10:39:18.855483,u
42,2021-09-11 10:39:19.535303,t
43,2021-09-11 10:39:20.287347,y
44,2021-09-11 10:39:21.119251,u
45,2021-09-11 10:39:21.975319,t
46,2021-09-11 10:39:22.847232,y
47,2021-09-11 10:39:23.599128,u
48,2021-09-11 10:39:24.423816,t
49,2021-09-11 10:39:25.023692,y
50,2021-09-11 10:39:25.799395,u
51,2021-09-11 10:39:26.719619,t
52,2021-09-11 10:39:27.439445,y
53,2021-09-11 10:39:28.127358,u
