,time,status
0,2021-09-11 10:40:44.248163,t
1,2021-09-11 10:40:44.647977,y
2,2021-09-11 10:40:45.696045,u
3,2021-09-11 10:40:46.639479,t
4,2021-09-11 10:40:47.232071,y
5,2021-09-11 10:40:48.272214,u
6,2021-09-11 10:40:49.232134,t
7,2021-09-11 10:40:49.928557,y
8,2021-09-11 10:40:50.848158,u
9,2021-09-11 10:40:51.792480,t
10,2021-09-11 10:40:52.568180,y
11,2021-09-11 10:40:53.960455,u
12,2021-09-11 10:40:55.024144,t
13,2021-09-11 10:40:55.864500,y
14,2021-09-11 10:40:56.952328,u
15,2021-09-11 10:40:57.919946,t
16,2021-09-11 10:40:59.200279,y
17,2021-09-11 10:41:00.000263,u
18,2021-09-11 10:41:01.328548,t
19,2021-09-11 10:41:02.144904,y
20,2021-09-11 10:41:03.334258,u
21,2021-09-11 10:41:04.592401,t
22,2021-09-11 10:41:05.576242,y
23,2021-09-11 10:41:06.392409,u
24,2021-09-11 10:41:07.752433,t
25,2021-09-11 10:41:08.624462,y
26,2021-09-11 10:41:09.576520,u
27,2021-09-11 10:41:10.984448,t
28,2021-09-11 10:41:11.604256,y
29,2021-09-11 10:41:12.544329,u
30,2021-09-11 10:41:13.824240,t
31,2021-09-11 10:41:14.751499,y
32,2021-09-11 10:41:15.792460,u
33,2021-09-11 10:41:17.017233,t
34,2021-09-11 10:41:17.736507,y
35,2021-09-11 10:41:18.840394,u
36,2021-09-11 10:41:19.968618,t
37,2021-09-11 10:41:20.664386,y
38,2021-09-11 10:41:21.680512,u
39,2021-09-11 10:41:22.928440,t
40,2021-09-11 10:41:23.864542,y
41,2021-09-11 10:41:24.976493,u
42,2021-09-11 10:41:26.000411,t
43,2021-09-11 10:41:27.000858,y
44,2021-09-11 10:41:27.928619,u
45,2021-09-11 10:41:29.072969,t
46,2021-09-11 10:41:29.736669,y
47,2021-09-11 10:41:30.784663,u
48,2021-09-11 10:41:32.012359,t
49,2021-09-11 10:41:32.784762,y
50,2021-09-11 10:41:33.718529,u
