,time,status
0,2021-09-11 10:42:04.577126,t
1,2021-09-11 10:42:05.281384,y
2,2021-09-11 10:42:06.535570,u
3,2021-09-11 10:42:07.433166,t
4,2021-09-11 10:42:08.069455,y
5,2021-09-11 10:42:09.184883,u
6,2021-09-11 10:42:10.033199,t
7,2021-09-11 10:42:10.833325,y
8,2021-09-11 10:42:11.993186,u
9,2021-09-11 10:42:12.936804,t
10,2021-09-11 10:42:13.641080,y
11,2021-09-11 10:42:14.817298,u
12,2021-09-11 10:42:15.784906,t
13,2021-09-11 10:42:16.656837,y
15,2021-09-11 10:42:18.073018,u
16,2021-09-11 10:42:19.361056,t
17,2021-09-11 10:42:19.897161,y
18,2021-09-11 10:42:20.525500,u
19,2021-09-11 10:42:21.673080,t
20,2021-09-11 10:42:22.385046,y
21,2021-09-11 10:42:23.473094,u
22,2021-09-11 10:42:24.617571,t
23,2021-09-11 10:42:25.440952,y
24,2021-09-11 10:42:26.393580,u
25,2021-09-11 10:42:27.721088,t
26,2021-09-11 10:42:28.705321,y
27,2021-09-11 10:42:29.569390,u
28,2021-09-11 10:42:30.673304,t
29,2021-09-11 10:42:31.633132,y
30,2021-09-11 10:42:32.433625,u
31,2021-09-11 10:42:33.481173,t
32,2021-09-11 10:42:34.105407,y
33,2021-09-11 10:42:35.325148,u
34,2021-09-11 10:42:36.401090,t
35,2021-09-11 10:42:37.249120,y
36,2021-09-11 10:42:38.189543,u
37,2021-09-11 10:42:39.369266,t
38,2021-09-11 10:42:40.401392,y
39,2021-09-11 10:42:41.305326,u
40,2021-09-11 10:42:42.281412,t
41,2021-09-11 10:42:43.457491,y
42,2021-09-11 10:42:44.353512,u
43,2021-09-11 10:42:45.841446,t
44,2021-09-11 10:42:46.777250,y
45,2021-09-11 10:42:47.529098,u
46,2021-09-11 10:42:48.761311,t
47,2021-09-11 10:42:49.361482,y
48,2021-09-11 10:42:50.025856,u
49,2021-09-11 10:42:51.377508,t
50,2021-09-11 10:42:52.073703,y
51,2021-09-11 10:42:52.833252,u
