,time,status
0,2021-09-11 12:13:31.627284,t
1,2021-09-11 12:13:32.035478,y
2,2021-09-11 12:13:33.027480,u
3,2021-09-11 12:13:34.867448,t
4,2021-09-11 12:13:35.467848,y
5,2021-09-11 12:13:36.115557,u
6,2021-09-11 12:13:38.491615,t
7,2021-09-11 12:13:38.907760,y
8,2021-09-11 12:13:39.403724,u
9,2021-09-11 12:13:41.667746,t
10,2021-09-11 12:13:42.187535,y
11,2021-09-11 12:13:42.711333,u
12,2021-09-11 12:13:44.347568,t
13,2021-09-11 12:13:44.731483,y
14,2021-09-11 12:13:45.635573,u
15,2021-09-11 12:13:47.667721,t
16,2021-09-11 12:13:48.011913,y
17,2021-09-11 12:13:48.876088,u
18,2021-09-11 12:13:51.003723,t
19,2021-09-11 12:13:51.523717,y
20,2021-09-11 12:13:51.987593,u
21,2021-09-11 12:13:53.811628,t
22,2021-09-11 12:13:54.171588,y
23,2021-09-11 12:13:55.027980,u
24,2021-09-11 12:13:56.523778,t
25,2021-09-11 12:13:57.115821,y
26,2021-09-11 12:13:58.027982,u
27,2021-09-11 12:14:00.243924,t
28,2021-09-11 12:14:00.635579,y
29,2021-09-11 12:14:01.451547,u
30,2021-09-11 12:14:02.827921,t
31,2021-09-11 12:14:03.376795,y
32,2021-09-11 12:14:04.321582,u
33,2021-09-11 12:14:06.028000,t
34,2021-09-11 12:14:06.555708,y
35,2021-09-11 12:14:07.539441,u
36,2021-09-11 12:14:09.435964,t
37,2021-09-11 12:14:09.884093,y
38,2021-09-11 12:14:10.713594,u
39,2021-09-11 12:14:12.300133,t
40,2021-09-11 12:14:12.780157,y
41,2021-09-11 12:14:14.024326,u
42,2021-09-11 12:14:15.436428,t
43,2021-09-11 12:14:16.571803,y
44,2021-09-11 12:14:17.883860,u
45,2021-09-11 12:14:19.395873,t
46,2021-09-11 12:14:19.852333,y
47,2021-09-11 12:14:21.116167,u
48,2021-09-11 12:14:22.636250,t
49,2021-09-11 12:14:23.100281,y
50,2021-09-11 12:14:24.276506,u
51,2021-09-11 12:14:25.628065,t
52,2021-09-11 12:14:26.220383,y
53,2021-09-11 12:14:27.515948,u
54,2021-09-11 12:14:29.100153,t
55,2021-09-11 12:14:29.852167,y
56,2021-09-11 12:14:30.740376,u
