,time,status
0,2021-09-11 12:17:11.189839,t
1,2021-09-11 12:17:11.598166,y
2,2021-09-11 12:17:12.142212,u
3,2021-09-11 12:17:13.406064,t
4,2021-09-11 12:17:14.542343,y
5,2021-09-11 12:17:15.325642,u
6,2021-09-11 12:17:17.421876,t
7,2021-09-11 12:17:17.766403,y
8,2021-09-11 12:17:18.717799,u
9,2021-09-11 12:17:20.509849,t
10,2021-09-11 12:17:20.837833,y
11,2021-09-11 12:17:21.862011,u
12,2021-09-11 12:17:23.390119,t
13,2021-09-11 12:17:23.781900,y
14,2021-09-11 12:17:24.334059,u
15,2021-09-11 12:17:25.958017,t
16,2021-09-11 12:17:26.653858,y
17,2021-09-11 12:17:27.558064,u
18,2021-09-11 12:17:29.110105,t
19,2021-09-11 12:17:29.669951,y
20,2021-09-11 12:17:30.782123,u
21,2021-09-11 12:17:31.845852,t
22,2021-09-11 12:17:32.421961,y
23,2021-09-11 12:17:33.613900,u
24,2021-09-11 12:17:35.005992,t
25,2021-09-11 12:17:35.518493,y
26,2021-09-11 12:17:36.494006,u
27,2021-09-11 12:17:37.670414,t
28,2021-09-11 12:17:38.406223,y
29,2021-09-11 12:17:39.374213,u
32,2021-09-11 12:17:43.806414,t
33,2021-09-11 12:17:44.102297,y
34,2021-09-11 12:17:44.294398,u
35,2021-09-11 12:17:44.766014,t
36,2021-09-11 12:17:44.990316,y
37,2021-09-11 12:17:46.038131,u
38,2021-09-11 12:17:47.566115,t
39,2021-09-11 12:17:48.030214,y
40,2021-09-11 12:17:49.030006,u
41,2021-09-11 12:17:50.822080,t
42,2021-09-11 12:17:51.574280,y
43,2021-09-11 12:17:52.646113,u
44,2021-09-11 12:17:53.709973,t
45,2021-09-11 12:17:54.998308,y
46,2021-09-11 12:17:56.126459,u
47,2021-09-11 12:17:58.110840,t
48,2021-09-11 12:17:59.478122,y
49,2021-09-11 12:18:00.246372,u
50,2021-09-11 12:18:02.022325,t
51,2021-09-11 12:18:03.774433,y
52,2021-09-11 12:18:04.662681,u
53,2021-09-11 12:18:07.806466,t
54,2021-09-11 12:18:08.419447,y
55,2021-09-11 12:18:08.822344,u
