,time,status
0,2021-09-11 11:47:49.785778,t
1,2021-09-11 11:47:50.446392,y
2,2021-09-11 11:47:51.473825,u
3,2021-09-11 11:47:53.209483,t
4,2021-09-11 11:47:54.313568,y
5,2021-09-11 11:47:56.369637,u
6,2021-09-11 11:47:57.329418,t
7,2021-09-11 11:47:57.921695,y
8,2021-09-11 11:47:58.769486,u
9,2021-09-11 11:48:01.393931,t
10,2021-09-11 11:48:01.953620,y
11,2021-09-11 11:48:02.633627,u
12,2021-09-11 11:48:03.625798,t
13,2021-09-11 11:48:04.129365,y
14,2021-09-11 11:48:04.705635,u
15,2021-09-11 11:48:05.737600,t
16,2021-09-11 11:48:06.369646,y
17,2021-09-11 11:48:07.129854,u
18,2021-09-11 11:48:08.201887,t
19,2021-09-11 11:48:08.745691,y
20,2021-09-11 11:48:09.409761,u
21,2021-09-11 11:48:10.529514,t
22,2021-09-11 11:48:11.178008,y
23,2021-09-11 11:48:11.849711,u
24,2021-09-11 11:48:12.873879,t
25,2021-09-11 11:48:13.713524,y
26,2021-09-11 11:48:14.321392,u
27,2021-09-11 11:48:15.113984,t
28,2021-09-11 11:48:15.761810,y
29,2021-09-11 11:48:16.489976,u
30,2021-09-11 11:48:17.393896,t
31,2021-09-11 11:48:17.953639,y
32,2021-09-11 11:48:18.585613,u
33,2021-09-11 11:48:19.465518,t
34,2021-09-11 11:48:20.041523,y
35,2021-09-11 11:48:20.687659,u
36,2021-09-11 11:48:21.745980,t
37,2021-09-11 11:48:22.209748,y
38,2021-09-11 11:48:22.929999,u
39,2021-09-11 11:48:23.961804,t
40,2021-09-11 11:48:24.482008,y
41,2021-09-11 11:48:25.152942,u
42,2021-09-11 11:48:26.201773,t
43,2021-09-11 11:48:26.753904,y
44,2021-09-11 11:48:27.358171,u
45,2021-09-11 11:48:28.305926,t
46,2021-09-11 11:48:28.850125,y
47,2021-09-11 11:48:29.441644,u
48,2021-09-11 11:48:30.577897,t
49,2021-09-11 11:48:31.153804,y
50,2021-09-11 11:48:31.769956,u
51,2021-09-11 11:48:32.921874,t
52,2021-09-11 11:48:33.521487,y
53,2021-09-11 11:48:34.144813,u
