,time,status
0,2021-09-11 12:02:48.452160,t
1,2021-09-11 12:02:48.804337,y
2,2021-09-11 12:02:49.868022,u
3,2021-09-11 12:02:50.644340,t
4,2021-09-11 12:02:51.255793,y
5,2021-09-11 12:02:52.716328,u
6,2021-09-11 12:02:53.372366,t
7,2021-09-11 12:02:53.780273,y
8,2021-09-11 12:02:55.276162,u
9,2021-09-11 12:02:55.860311,t
10,2021-09-11 12:02:56.356303,y
11,2021-09-11 12:02:57.996121,u
12,2021-09-11 12:02:58.604123,t
13,2021-09-11 12:02:59.028142,y
14,2021-09-11 12:03:00.364185,u
15,2021-09-11 12:03:00.930000,t
16,2021-09-11 12:03:01.546442,y
17,2021-09-11 12:03:03.124457,u
18,2021-09-11 12:03:03.692412,t
19,2021-09-11 12:03:04.116428,y
20,2021-09-11 12:03:05.308596,u
21,2021-09-11 12:03:06.292278,t
22,2021-09-11 12:03:06.995800,y
23,2021-09-11 12:03:08.220274,u
24,2021-09-11 12:03:09.492701,t
25,2021-09-11 12:03:09.884244,y
26,2021-09-11 12:03:11.380453,u
27,2021-09-11 12:03:11.964354,t
28,2021-09-11 12:03:12.452818,y
29,2021-09-11 12:03:14.516282,u
30,2021-09-11 12:03:14.988372,t
31,2021-09-11 12:03:15.348264,y
32,2021-09-11 12:03:17.068827,u
33,2021-09-11 12:03:17.580402,t
34,2021-09-11 12:03:17.940363,y
35,2021-09-11 12:03:19.340649,u
36,2021-09-11 12:03:19.860718,t
37,2021-09-11 12:03:20.245030,y
38,2021-09-11 12:03:21.540581,u
39,2021-09-11 12:03:22.036646,t
40,2021-09-11 12:03:22.460440,y
41,2021-09-11 12:03:23.804392,u
42,2021-09-11 12:03:24.396671,t
43,2021-09-11 12:03:24.940483,y
44,2021-09-11 12:03:26.532651,u
45,2021-09-11 12:03:27.244377,t
46,2021-09-11 12:03:27.596900,y
47,2021-09-11 12:03:28.772841,u
48,2021-09-11 12:03:29.349073,t
49,2021-09-11 12:03:29.724417,y
50,2021-09-11 12:03:31.020460,u
51,2021-09-11 12:03:31.640056,t
52,2021-09-11 12:03:32.180686,y
53,2021-09-11 12:03:33.116934,u
