,time,status
0,2021-09-11 12:01:52.459857,t
1,2021-09-11 12:01:52.795540,y
2,2021-09-11 12:01:53.483383,u
3,2021-09-11 12:01:54.915513,t
4,2021-09-11 12:01:55.427613,y
5,2021-09-11 12:01:55.955625,u
6,2021-09-11 12:01:57.587539,t
7,2021-09-11 12:01:58.179572,y
8,2021-09-11 12:01:59.091891,u
9,2021-09-11 12:02:00.227954,t
10,2021-09-11 12:02:00.731736,y
11,2021-09-11 12:02:01.975793,u
12,2021-09-11 12:02:02.979288,t
13,2021-09-11 12:02:03.531584,y
14,2021-09-11 12:02:04.283817,u
15,2021-09-11 12:02:05.931403,t
16,2021-09-11 12:02:06.547089,y
17,2021-09-11 12:02:07.899559,u
18,2021-09-11 12:02:09.115489,t
19,2021-09-11 12:02:10.291789,y
20,2021-09-11 12:02:11.511116,u
21,2021-09-11 12:02:12.659898,t
22,2021-09-11 12:02:13.155679,y
23,2021-09-11 12:02:14.579929,u
24,2021-09-11 12:02:15.428166,t
25,2021-09-11 12:02:16.019653,y
26,2021-09-11 12:02:17.531919,u
27,2021-09-11 12:02:18.507660,t
28,2021-09-11 12:02:19.100048,y
29,2021-09-11 12:02:20.683797,u
30,2021-09-11 12:02:21.867700,t
31,2021-09-11 12:02:22.507785,y
32,2021-09-11 12:02:24.155947,u
33,2021-09-11 12:02:24.684152,t
34,2021-09-11 12:02:25.123842,y
35,2021-09-11 12:02:26.420042,u
36,2021-09-11 12:02:26.923813,t
37,2021-09-11 12:02:27.379966,y
38,2021-09-11 12:02:28.867914,u
39,2021-09-11 12:02:30.028269,t
40,2021-09-11 12:02:30.452341,y
41,2021-09-11 12:02:31.739987,u
42,2021-09-11 12:02:32.316157,t
43,2021-09-11 12:02:32.748851,y
44,2021-09-11 12:02:34.171717,u
