,time,status
0,2021-09-11 11:55:35.791096,t
1,2021-09-11 11:55:36.279026,y
2,2021-09-11 11:55:36.686792,u
3,2021-09-11 11:55:37.343097,t
4,2021-09-11 11:55:37.798647,y
5,2021-09-11 11:55:38.398625,u
6,2021-09-11 11:55:39.198808,t
7,2021-09-11 11:55:39.686467,y
8,2021-09-11 11:55:40.230771,u
9,2021-09-11 11:55:41.118775,t
10,2021-09-11 11:55:41.574840,y
11,2021-09-11 11:55:42.166718,u
12,2021-09-11 11:55:43.158835,t
13,2021-09-11 11:55:43.654579,y
14,2021-09-11 11:55:44.158927,u
15,2021-09-11 11:55:45.094929,t
16,2021-09-11 11:55:45.620808,y
17,2021-09-11 11:55:46.135838,u
18,2021-09-11 11:55:47.134032,t
19,2021-09-11 11:55:47.695136,y
20,2021-09-11 11:55:48.295004,u
21,2021-09-11 11:55:49.374790,t
22,2021-09-11 11:55:49.910699,y
23,2021-09-11 11:55:50.879095,u
24,2021-09-11 11:55:51.815003,t
25,2021-09-11 11:55:52.264059,y
26,2021-09-11 11:55:52.822964,u
27,2021-09-11 11:55:53.783307,t
28,2021-09-11 11:55:54.343102,y
29,2021-09-11 11:55:54.942840,u
30,2021-09-11 11:55:55.967187,t
31,2021-09-11 11:55:56.527120,y
32,2021-09-11 11:55:57.102559,u
33,2021-09-11 11:55:58.215303,t
34,2021-09-11 11:55:58.710991,y
35,2021-09-11 11:55:59.383221,u
36,2021-09-11 11:56:00.375084,t
37,2021-09-11 11:56:00.866796,y
38,2021-09-11 11:56:01.499136,u
39,2021-09-11 11:56:02.462837,t
40,2021-09-11 11:56:03.006042,y
41,2021-09-11 11:56:03.631310,u
42,2021-09-11 11:56:04.599253,t
43,2021-09-11 11:56:05.094778,y
44,2021-09-11 11:56:05.694880,u
45,2021-09-11 11:56:06.735193,t
46,2021-09-11 11:56:07.319704,y
47,2021-09-11 11:56:07.991122,u
48,2021-09-11 11:56:09.022881,t
49,2021-09-11 11:56:09.551399,y
50,2021-09-11 11:56:10.175249,u
51,2021-09-11 11:56:11.183511,t
52,2021-09-11 11:56:11.671254,y
53,2021-09-11 11:56:12.319744,u
