,time,status
0,2021-09-11 12:00:44.771044,t
1,2021-09-11 12:00:45.170784,y
2,2021-09-11 12:00:45.746717,u
3,2021-09-11 12:00:46.290872,t
4,2021-09-11 12:00:46.882568,y
5,2021-09-11 12:00:47.354961,u
6,2021-09-11 12:00:48.586784,t
7,2021-09-11 12:00:49.186701,y
8,2021-09-11 12:00:49.770644,u
9,2021-09-11 12:00:50.739715,t
10,2021-09-11 12:00:51.266732,y
11,2021-09-11 12:00:51.738734,u
12,2021-09-11 12:00:52.402836,t
13,2021-09-11 12:00:52.882802,y
14,2021-09-11 12:00:53.450801,u
15,2021-09-11 12:00:54.202874,t
16,2021-09-11 12:00:54.850728,y
17,2021-09-11 12:00:55.234839,u
18,2021-09-11 12:00:55.707054,t
19,2021-09-11 12:00:56.243485,y
20,2021-09-11 12:00:56.746881,u
21,2021-09-11 12:00:57.346770,t
22,2021-09-11 12:00:57.762761,y
23,2021-09-11 12:00:58.243632,u
24,2021-09-11 12:00:58.795165,t
25,2021-09-11 12:00:59.243223,y
26,2021-09-11 12:00:59.802782,u
27,2021-09-11 12:01:00.522754,t
28,2021-09-11 12:01:00.978981,y
29,2021-09-11 12:01:01.506812,u
30,2021-09-11 12:01:02.323058,t
31,2021-09-11 12:01:02.803152,y
32,2021-09-11 12:01:03.323092,u
33,2021-09-11 12:01:04.067012,t
34,2021-09-11 12:01:04.506782,y
35,2021-09-11 12:01:05.034832,u
36,2021-09-11 12:01:05.770831,t
37,2021-09-11 12:01:06.306883,y
38,2021-09-11 12:01:06.882888,u
39,2021-09-11 12:01:07.602929,t
40,2021-09-11 12:01:08.179082,y
41,2021-09-11 12:01:08.763297,u
42,2021-09-11 12:01:09.618564,t
43,2021-09-11 12:01:10.170876,y
44,2021-09-11 12:01:10.786656,u
45,2021-09-11 12:01:11.571201,t
46,2021-09-11 12:01:12.019642,y
47,2021-09-11 12:01:12.515197,u
48,2021-09-11 12:01:13.570827,t
49,2021-09-11 12:01:13.963204,y
50,2021-09-11 12:01:14.483921,u
51,2021-09-11 12:01:15.203286,t
52,2021-09-11 12:01:15.747326,y
53,2021-09-11 12:01:16.155262,u
