,time,status
0,2021-09-11 12:11:05.561629,t
1,2021-09-11 12:11:06.041915,y
2,2021-09-11 12:11:07.902319,u
3,2021-09-11 12:11:08.946009,t
4,2021-09-11 12:11:09.345799,y
5,2021-09-11 12:11:11.138341,u
6,2021-09-11 12:11:12.681898,t
7,2021-09-11 12:11:13.105615,y
8,2021-09-11 12:11:14.570172,u
9,2021-09-11 12:11:16.057840,t
10,2021-09-11 12:11:16.954203,y
11,2021-09-11 12:11:18.938263,u
12,2021-09-11 12:11:20.217965,t
13,2021-09-11 12:11:20.665962,y
14,2021-09-11 12:11:22.161883,u
15,2021-09-11 12:11:23.330065,t
16,2021-09-11 12:11:23.729894,y
17,2021-09-11 12:11:25.281900,u
18,2021-09-11 12:11:26.529962,t
19,2021-09-11 12:11:27.346155,y
20,2021-09-11 12:11:28.513848,u
21,2021-09-11 12:11:29.762366,t
22,2021-09-11 12:11:30.217844,y
23,2021-09-11 12:11:31.641988,u
24,2021-09-11 12:11:32.770105,t
25,2021-09-11 12:11:33.218105,y
26,2021-09-11 12:11:34.802174,u
27,2021-09-11 12:11:35.865957,t
28,2021-09-11 12:11:36.394408,y
29,2021-09-11 12:11:38.018215,u
30,2021-09-11 12:11:39.562346,t
31,2021-09-11 12:11:40.034116,y
32,2021-09-11 12:11:41.466366,u
33,2021-09-11 12:11:42.693960,t
34,2021-09-11 12:11:43.074122,y
35,2021-09-11 12:11:44.730361,u
36,2021-09-11 12:11:46.130474,t
37,2021-09-11 12:11:46.586173,y
38,2021-09-11 12:11:48.130439,u
39,2021-09-11 12:11:49.290172,t
40,2021-09-11 12:11:49.842788,y
41,2021-09-11 12:11:51.370735,u
42,2021-09-11 12:11:52.490395,t
43,2021-09-11 12:11:52.994635,y
44,2021-09-11 12:11:54.690326,u
45,2021-09-11 12:11:56.098558,t
46,2021-09-11 12:11:56.506175,y
47,2021-09-11 12:11:58.218267,u
48,2021-09-11 12:11:59.458223,t
49,2021-09-11 12:11:59.946518,y
50,2021-09-11 12:12:01.682805,u
51,2021-09-11 12:12:02.570371,t
52,2021-09-11 12:12:03.154256,y
53,2021-09-11 12:12:05.170385,u
54,2021-09-11 12:12:06.626629,t
55,2021-09-11 12:12:07.306520,y
56,2021-09-11 12:12:09.034656,u
