,time,status
0,2021-09-11 12:14:59.524902,t
1,2021-09-11 12:15:00.476789,y
2,2021-09-11 12:15:02.428659,u
3,2021-09-11 12:15:03.756467,t
4,2021-09-11 12:15:04.220508,y
5,2021-09-11 12:15:06.340530,u
6,2021-09-11 12:15:07.436961,t
7,2021-09-11 12:15:08.916872,y
8,2021-09-11 12:15:09.527953,u
9,2021-09-11 12:15:10.124416,t
10,2021-09-11 12:15:10.524368,y
11,2021-09-11 12:15:12.196890,u
12,2021-09-11 12:15:13.140474,t
13,2021-09-11 12:15:14.852340,y
14,2021-09-11 12:15:15.428624,u
15,2021-09-11 12:15:16.012474,t
16,2021-09-11 12:15:16.482511,y
17,2021-09-11 12:15:17.516412,u
18,2021-09-11 12:15:18.316771,t
19,2021-09-11 12:15:18.660425,y
20,2021-09-11 12:15:19.868678,u
21,2021-09-11 12:15:20.764802,t
22,2021-09-11 12:15:21.172812,y
23,2021-09-11 12:15:22.236273,u
24,2021-09-11 12:15:23.308661,t
25,2021-09-11 12:15:23.732573,y
26,2021-09-11 12:15:24.964545,u
27,2021-09-11 12:15:25.908921,t
28,2021-09-11 12:15:26.300611,y
29,2021-09-11 12:15:27.508047,u
30,2021-09-11 12:15:28.244456,t
31,2021-09-11 12:15:28.668605,y
32,2021-09-11 12:15:30.057631,u
33,2021-09-11 12:15:30.964927,t
34,2021-09-11 12:15:31.340444,y
35,2021-09-11 12:15:32.692625,u
36,2021-09-11 12:15:33.292630,t
37,2021-09-11 12:15:33.716322,y
38,2021-09-11 12:15:34.852789,u
39,2021-09-11 12:15:35.628866,t
40,2021-09-11 12:15:36.060678,y
41,2021-09-11 12:15:37.210570,u
42,2021-09-11 12:15:38.020828,t
43,2021-09-11 12:15:38.444628,y
44,2021-09-11 12:15:39.828563,u
45,2021-09-11 12:15:40.460654,t
46,2021-09-11 12:15:40.900544,y
47,2021-09-11 12:15:42.444721,u
48,2021-09-11 12:15:43.317009,t
49,2021-09-11 12:15:43.732908,y
50,2021-09-11 12:15:44.828784,u
