,time,status
0,2021-09-11 22:07:27.171102,t
1,2021-09-11 22:07:27.664281,y
2,2021-09-11 22:07:28.422240,u
3,2021-09-11 22:07:29.501583,t
4,2021-09-11 22:07:29.936449,y
5,2021-09-11 22:07:30.851618,u
6,2021-09-11 22:07:31.727198,t
7,2021-09-11 22:07:32.555080,y
8,2021-09-11 22:07:33.536915,u
9,2021-09-11 22:07:34.848533,t
10,2021-09-11 22:07:35.285518,y
11,2021-09-11 22:07:36.340784,u
12,2021-09-11 22:07:37.464485,t
13,2021-09-11 22:07:38.261632,y
14,2021-09-11 22:07:39.182903,u
15,2021-09-11 22:07:40.789362,t
16,2021-09-11 22:07:41.209528,y
17,2021-09-11 22:07:42.042079,u
18,2021-09-11 22:07:43.402480,t
19,2021-09-11 22:07:43.854683,y
20,2021-09-11 22:07:44.914516,u
21,2021-09-11 22:07:46.032110,t
22,2021-09-11 22:07:46.623767,y
23,2021-09-11 22:07:47.913497,u
24,2021-09-11 22:07:49.302597,t
25,2021-09-11 22:07:49.998786,y
26,2021-09-11 22:07:51.179079,u
27,2021-09-11 22:07:52.499760,t
28,2021-09-11 22:07:53.038116,y
29,2021-09-11 22:07:54.297620,u
30,2021-09-11 22:07:55.917650,t
31,2021-09-11 22:07:56.912921,y
32,2021-09-11 22:07:57.505992,u
33,2021-09-11 22:07:58.768563,t
34,2021-09-11 22:07:59.233527,y
35,2021-09-11 22:08:00.672989,u
36,2021-09-11 22:08:02.154294,t
37,2021-09-11 22:08:02.971348,y
38,2021-09-11 22:08:03.605047,u
39,2021-09-11 22:08:04.834657,t
40,2021-09-11 22:08:05.608053,y
41,2021-09-11 22:08:06.258665,u
42,2021-09-11 22:08:07.983270,t
43,2021-09-11 22:08:08.649292,y
44,2021-09-11 22:08:09.344057,u
45,2021-09-11 22:08:10.615998,t
46,2021-09-11 22:08:11.438050,y
47,2021-09-11 22:08:12.609315,u
48,2021-09-11 22:08:13.838258,t
49,2021-09-11 22:08:14.615336,y
50,2021-09-11 22:08:15.454926,u
51,2021-09-11 22:08:16.840849,t
52,2021-09-11 22:08:17.553267,y
53,2021-09-11 22:08:18.560087,u
