,time,status
0,2021-09-11 22:12:03.344292,t
1,2021-09-11 22:12:03.753319,y
2,2021-09-11 22:12:04.287780,u
3,2021-09-11 22:12:05.146244,t
4,2021-09-11 22:12:05.602962,y
5,2021-09-11 22:12:06.164793,u
6,2021-09-11 22:12:06.798503,t
7,2021-09-11 22:12:07.262718,y
8,2021-09-11 22:12:07.859615,u
9,2021-09-11 22:12:08.595136,t
10,2021-09-11 22:12:09.052424,y
11,2021-09-11 22:12:09.444016,u
12,2021-09-11 22:12:09.868159,t
13,2021-09-11 22:12:10.281710,y
14,2021-09-11 22:12:10.811384,u
15,2021-09-11 22:12:11.418844,t
16,2021-09-11 22:12:12.034821,y
17,2021-09-11 22:12:12.553846,u
18,2021-09-11 22:12:13.190964,t
19,2021-09-11 22:12:13.611198,y
20,2021-09-11 22:12:14.216189,u
21,2021-09-11 22:12:14.799780,t
22,2021-09-11 22:12:15.199290,y
23,2021-09-11 22:12:15.676581,u
24,2021-09-11 22:12:16.257572,t
25,2021-09-11 22:12:16.792082,y
26,2021-09-11 22:12:17.226130,u
27,2021-09-11 22:12:18.063919,t
28,2021-09-11 22:12:18.426988,y
29,2021-09-11 22:12:18.943864,u
30,2021-09-11 22:12:19.676850,t
31,2021-09-11 22:12:20.156052,y
32,2021-09-11 22:12:20.673414,u
33,2021-09-11 22:12:21.182285,t
34,2021-09-11 22:12:21.577005,y
35,2021-09-11 22:12:22.135417,u
36,2021-09-11 22:12:22.677316,t
37,2021-09-11 22:12:23.030631,y
38,2021-09-11 22:12:23.609214,u
39,2021-09-11 22:12:24.272035,t
40,2021-09-11 22:12:24.704998,y
41,2021-09-11 22:12:25.341401,u
42,2021-09-11 22:12:25.889421,t
43,2021-09-11 22:12:26.308713,y
44,2021-09-11 22:12:26.771086,u
45,2021-09-11 22:12:27.439527,t
46,2021-09-11 22:12:27.978052,y
47,2021-09-11 22:12:28.381638,u
48,2021-09-11 22:12:29.037554,t
49,2021-09-11 22:12:29.471614,y
50,2021-09-11 22:12:29.960294,u
51,2021-09-11 22:12:30.701351,t
52,2021-09-11 22:12:31.146876,y
53,2021-09-11 22:12:31.562461,u
