,time,status
0,2021-09-11 22:03:39.175723,t
1,2021-09-11 22:03:39.683471,y
2,2021-09-11 22:03:40.920722,u
3,2021-09-11 22:03:41.715705,t
4,2021-09-11 22:03:42.090852,y
5,2021-09-11 22:03:43.227174,u
6,2021-09-11 22:03:43.933062,t
7,2021-09-11 22:03:44.312555,y
8,2021-09-11 22:03:45.100217,u
9,2021-09-11 22:03:45.717426,t
10,2021-09-11 22:03:46.260585,y
11,2021-09-11 22:03:47.183844,u
12,2021-09-11 22:03:47.913549,t
13,2021-09-11 22:03:48.422867,y
14,2021-09-11 22:03:49.453143,u
15,2021-09-11 22:03:50.273327,t
16,2021-09-11 22:03:50.658527,y
17,2021-09-11 22:03:51.471867,u
18,2021-09-11 22:03:52.085379,t
19,2021-09-11 22:03:52.530076,y
20,2021-09-11 22:03:53.464347,u
21,2021-09-11 22:03:54.142282,t
22,2021-09-11 22:03:54.630304,y
23,2021-09-11 22:03:55.564464,u
24,2021-09-11 22:03:56.156160,t
25,2021-09-11 22:03:56.670619,y
26,2021-09-11 22:03:57.750546,u
27,2021-09-11 22:03:58.369723,t
28,2021-09-11 22:03:58.791650,y
29,2021-09-11 22:03:59.816110,u
30,2021-09-11 22:04:00.395449,t
31,2021-09-11 22:04:00.789499,y
32,2021-09-11 22:04:01.697738,u
33,2021-09-11 22:04:02.307401,t
34,2021-09-11 22:04:02.701388,y
35,2021-09-11 22:04:03.709089,u
36,2021-09-11 22:04:04.266312,t
37,2021-09-11 22:04:04.747360,y
38,2021-09-11 22:04:05.625719,u
39,2021-09-11 22:04:06.223704,t
40,2021-09-11 22:04:06.619330,y
41,2021-09-11 22:04:07.632042,u
42,2021-09-11 22:04:08.313857,t
43,2021-09-11 22:04:08.830584,y
44,2021-09-11 22:04:09.997940,u
45,2021-09-11 22:04:10.656615,t
46,2021-09-11 22:04:11.026007,y
47,2021-09-11 22:04:11.728530,u
48,2021-09-11 22:04:12.364542,t
49,2021-09-11 22:04:12.798940,y
50,2021-09-11 22:04:14.018607,u
51,2021-09-11 22:04:14.644097,t
52,2021-09-11 22:04:15.026801,y
53,2021-09-11 22:04:16.026177,u
