,time,status
0,2021-09-11 21:50:05.791375,t
1,2021-09-11 21:50:06.412987,y
2,2021-09-11 21:50:06.854826,u
3,2021-09-11 21:50:07.551865,t
4,2021-09-11 21:50:07.933410,y
5,2021-09-11 21:50:08.427141,u
6,2021-09-11 21:50:09.271356,t
7,2021-09-11 21:50:09.645403,y
8,2021-09-11 21:50:10.154637,u
9,2021-09-11 21:50:10.898845,t
10,2021-09-11 21:50:11.283520,y
11,2021-09-11 21:50:11.794643,u
12,2021-09-11 21:50:12.425554,t
13,2021-09-11 21:50:12.770043,y
14,2021-09-11 21:50:13.189399,u
15,2021-09-11 21:50:13.967133,t
16,2021-09-11 21:50:14.525057,y
17,2021-09-11 21:50:15.097124,u
18,2021-09-11 21:50:15.805886,t
19,2021-09-11 21:50:16.187398,y
20,2021-09-11 21:50:16.744561,u
21,2021-09-11 21:50:17.467285,t
22,2021-09-11 21:50:17.872490,y
23,2021-09-11 21:50:18.456507,u
24,2021-09-11 21:50:19.218252,t
25,2021-09-11 21:50:19.622833,y
26,2021-09-11 21:50:20.144613,u
27,2021-09-11 21:50:21.043742,t
28,2021-09-11 21:50:21.443944,y
29,2021-09-11 21:50:21.974630,u
30,2021-09-11 21:50:22.798869,t
31,2021-09-11 21:50:23.168957,y
32,2021-09-11 21:50:23.800514,u
33,2021-09-11 21:50:24.504027,t
34,2021-09-11 21:50:24.975342,y
35,2021-09-11 21:50:25.534548,u
36,2021-09-11 21:50:26.390179,t
37,2021-09-11 21:50:26.854436,y
38,2021-09-11 21:50:27.409802,u
39,2021-09-11 21:50:28.340158,t
40,2021-09-11 21:50:28.731186,y
41,2021-09-11 21:50:29.152604,u
42,2021-09-11 21:50:30.120703,t
43,2021-09-11 21:50:30.525080,y
44,2021-09-11 21:50:31.112648,u
45,2021-09-11 21:50:32.050452,t
46,2021-09-11 21:50:32.462510,y
47,2021-09-11 21:50:33.005854,u
48,2021-09-11 21:50:33.867964,t
49,2021-09-11 21:50:34.327985,y
50,2021-09-11 21:50:34.942424,u
51,2021-09-11 21:50:35.771996,t
52,2021-09-11 21:50:36.143242,y
53,2021-09-11 21:50:36.724406,u
