,time,status
0,2021-09-11 22:01:30.814364,t
1,2021-09-11 22:01:31.222258,y
2,2021-09-11 22:01:31.689955,u
3,2021-09-11 22:01:32.420022,t
4,2021-09-11 22:01:32.855438,y
5,2021-09-11 22:01:33.249366,u
6,2021-09-11 22:01:34.040562,t
7,2021-09-11 22:01:34.456041,y
8,2021-09-11 22:01:34.945119,u
9,2021-09-11 22:01:35.775222,t
10,2021-09-11 22:01:36.227765,y
11,2021-09-11 22:01:36.613480,u
12,2021-09-11 22:01:37.366509,t
13,2021-09-11 22:01:37.728776,y
14,2021-09-11 22:01:38.276551,u
15,2021-09-11 22:01:39.067814,t
16,2021-09-11 22:01:39.469533,y
17,2021-09-11 22:01:39.919267,u
18,2021-09-11 22:01:40.776357,t
19,2021-09-11 22:01:41.270181,y
20,2021-09-11 22:01:41.707263,u
21,2021-09-11 22:01:42.542676,t
22,2021-09-11 22:01:43.028311,y
23,2021-09-11 22:01:43.431672,u
24,2021-09-11 22:01:44.273937,t
25,2021-09-11 22:01:44.657711,y
26,2021-09-11 22:01:45.124973,u
27,2021-09-11 22:01:45.935066,t
28,2021-09-11 22:01:46.371751,y
29,2021-09-11 22:01:46.793636,u
30,2021-09-11 22:01:47.489888,t
31,2021-09-11 22:01:47.894407,y
32,2021-09-11 22:01:48.528924,u
33,2021-09-11 22:01:49.310077,t
34,2021-09-11 22:01:49.680448,y
35,2021-09-11 22:01:50.195604,u
36,2021-09-11 22:01:50.948867,t
37,2021-09-11 22:01:51.347157,y
38,2021-09-11 22:01:51.770587,u
39,2021-09-11 22:01:52.591497,t
40,2021-09-11 22:01:53.005936,y
41,2021-09-11 22:01:53.479353,u
42,2021-09-11 22:01:54.280788,t
43,2021-09-11 22:01:54.665960,y
44,2021-09-11 22:01:55.076954,u
45,2021-09-11 22:01:55.928232,t
46,2021-09-11 22:01:56.287907,y
47,2021-09-11 22:01:56.698419,u
48,2021-09-11 22:01:57.507885,t
49,2021-09-11 22:01:57.902989,y
50,2021-09-11 22:01:58.389978,u
51,2021-09-11 22:01:59.100554,t
52,2021-09-11 22:01:59.438963,y
53,2021-09-11 22:02:00.004842,u
