,time,status
0,2021-09-11 22:13:07.741743,t
1,2021-09-11 22:13:08.248553,y
2,2021-09-11 22:13:08.848367,u
3,2021-09-11 22:13:09.617584,t
4,2021-09-11 22:13:10.096602,y
5,2021-09-11 22:13:10.593953,u
6,2021-09-11 22:13:11.406860,t
7,2021-09-11 22:13:11.883166,y
8,2021-09-11 22:13:12.399691,u
9,2021-09-11 22:13:12.950998,t
10,2021-09-11 22:13:13.383355,y
11,2021-09-11 22:13:13.863317,u
12,2021-09-11 22:13:14.346545,t
13,2021-09-11 22:13:14.594001,y
14,2021-09-11 22:13:15.096118,u
15,2021-09-11 22:13:15.640349,t
16,2021-09-11 22:13:15.964532,y
17,2021-09-11 22:13:16.479401,u
18,2021-09-11 22:13:16.915417,t
19,2021-09-11 22:13:17.271054,y
20,2021-09-11 22:13:17.695700,u
21,2021-09-11 22:13:18.296746,t
22,2021-09-11 22:13:18.612202,y
23,2021-09-11 22:13:19.198632,u
24,2021-09-11 22:13:19.713000,t
25,2021-09-11 22:13:20.020671,y
26,2021-09-11 22:13:20.591591,u
27,2021-09-11 22:13:21.075736,t
28,2021-09-11 22:13:21.569509,y
29,2021-09-11 22:13:22.026813,u
30,2021-09-11 22:13:22.503559,t
31,2021-09-11 22:13:22.778112,y
32,2021-09-11 22:13:23.227372,u
33,2021-09-11 22:13:23.828554,t
34,2021-09-11 22:13:24.194054,y
35,2021-09-11 22:13:24.698552,u
38,2021-09-11 22:13:26.465366,t
39,2021-09-11 22:13:26.769305,y
40,2021-09-11 22:13:27.275629,u
41,2021-09-11 22:13:27.834446,t
42,2021-09-11 22:13:28.228572,y
43,2021-09-11 22:13:28.759109,u
44,2021-09-11 22:13:29.320290,t
45,2021-09-11 22:13:29.692383,y
46,2021-09-11 22:13:30.240291,u
47,2021-09-11 22:13:30.811075,t
48,2021-09-11 22:13:31.288800,y
49,2021-09-11 22:13:31.771198,u
50,2021-09-11 22:13:32.285534,t
51,2021-09-11 22:13:32.751321,y
52,2021-09-11 22:13:33.140835,u
