,time,status
0,2021-09-11 22:04:39.214373,t
1,2021-09-11 22:04:39.675815,y
2,2021-09-11 22:04:40.729043,u
3,2021-09-11 22:04:41.459851,t
4,2021-09-11 22:04:41.850168,y
5,2021-09-11 22:04:42.780572,u
6,2021-09-11 22:04:43.738491,t
7,2021-09-11 22:04:44.219834,y
8,2021-09-11 22:04:45.295038,u
9,2021-09-11 22:04:45.949240,t
10,2021-09-11 22:04:46.440993,y
11,2021-09-11 22:04:47.530037,u
12,2021-09-11 22:04:48.142267,t
13,2021-09-11 22:04:48.569020,y
14,2021-09-11 22:04:49.649544,u
15,2021-09-11 22:04:50.254998,t
16,2021-09-11 22:04:50.650614,y
17,2021-09-11 22:04:52.089502,u
18,2021-09-11 22:04:52.723136,t
19,2021-09-11 22:04:53.151165,y
20,2021-09-11 22:04:54.358889,u
21,2021-09-11 22:04:54.929152,t
22,2021-09-11 22:04:55.402464,y
23,2021-09-11 22:04:56.546281,u
24,2021-09-11 22:04:57.110749,t
25,2021-09-11 22:04:57.562855,y
26,2021-09-11 22:04:58.772560,u
27,2021-09-11 22:04:59.331620,t
28,2021-09-11 22:04:59.785360,y
29,2021-09-11 22:05:00.855678,u
30,2021-09-11 22:05:01.472216,t
31,2021-09-11 22:05:01.991419,y
32,2021-09-11 22:05:03.092563,u
33,2021-09-11 22:05:03.683732,t
34,2021-09-11 22:05:04.213076,y
35,2021-09-11 22:05:05.141455,u
36,2021-09-11 22:05:05.805958,t
37,2021-09-11 22:05:06.277771,y
38,2021-09-11 22:05:07.293639,u
39,2021-09-11 22:05:07.846881,t
40,2021-09-11 22:05:08.289903,y
41,2021-09-11 22:05:09.268237,u
42,2021-09-11 22:05:09.809504,t
43,2021-09-11 22:05:10.281423,y
44,2021-09-11 22:05:11.370276,u
45,2021-09-11 22:05:12.041003,t
46,2021-09-11 22:05:12.444512,y
47,2021-09-11 22:05:13.456443,u
48,2021-09-11 22:05:14.018504,t
49,2021-09-11 22:05:14.492934,y
50,2021-09-11 22:05:15.520635,u
51,2021-09-11 22:05:16.070514,t
52,2021-09-11 22:05:16.507799,y
53,2021-09-11 22:05:17.461568,u
