,time,status
0,2021-09-11 22:15:34.887164,t
1,2021-09-11 22:15:35.275107,y
2,2021-09-11 22:15:36.174867,u
3,2021-09-11 22:15:36.712377,t
4,2021-09-11 22:15:37.119557,y
5,2021-09-11 22:15:37.805270,u
6,2021-09-11 22:15:38.579833,t
7,2021-09-11 22:15:39.151182,y
8,2021-09-11 22:15:39.735214,u
9,2021-09-11 22:15:40.386899,t
10,2021-09-11 22:15:40.931416,y
11,2021-09-11 22:15:41.491156,u
12,2021-09-11 22:15:42.240483,t
13,2021-09-11 22:15:42.731194,y
14,2021-09-11 22:15:43.325437,u
15,2021-09-11 22:15:44.236633,t
16,2021-09-11 22:15:44.753509,y
17,2021-09-11 22:15:45.343101,u
18,2021-09-11 22:15:46.134796,t
19,2021-09-11 22:15:46.698779,y
20,2021-09-11 22:15:47.302288,u
21,2021-09-11 22:15:48.072823,t
22,2021-09-11 22:15:48.575660,y
23,2021-09-11 22:15:49.132396,u
24,2021-09-11 22:15:49.904192,t
25,2021-09-11 22:15:50.402957,y
26,2021-09-11 22:15:50.916562,u
27,2021-09-11 22:15:51.728567,t
28,2021-09-11 22:15:52.102070,y
29,2021-09-11 22:15:52.736320,u
30,2021-09-11 22:15:53.457653,t
31,2021-09-11 22:15:53.910888,y
32,2021-09-11 22:15:54.534629,u
33,2021-09-11 22:15:55.293477,t
34,2021-09-11 22:15:55.768109,y
35,2021-09-11 22:15:56.369432,u
36,2021-09-11 22:15:57.137773,t
37,2021-09-11 22:15:57.663413,y
38,2021-09-11 22:15:58.243921,u
39,2021-09-11 22:15:58.993702,t
40,2021-09-11 22:15:59.483255,y
41,2021-09-11 22:16:00.089473,u
42,2021-09-11 22:16:00.937457,t
43,2021-09-11 22:16:01.405827,y
44,2021-09-11 22:16:01.976054,u
45,2021-09-11 22:16:02.994280,t
46,2021-09-11 22:16:03.555820,y
47,2021-09-11 22:16:04.023087,u
48,2021-09-11 22:16:04.726366,t
49,2021-09-11 22:16:05.194491,y
50,2021-09-11 22:16:05.698522,u
51,2021-09-11 22:16:06.532438,t
52,2021-09-11 22:16:07.020506,y
53,2021-09-11 22:16:07.550634,u
