,time,status
0,2021-09-11 21:54:22.361070,t
1,2021-09-11 21:54:22.804063,y
2,2021-09-11 21:54:23.465987,u
3,2021-09-11 21:54:24.328361,t
4,2021-09-11 21:54:24.711622,y
5,2021-09-11 21:54:25.371852,u
6,2021-09-11 21:54:26.267104,t
7,2021-09-11 21:54:26.719371,y
8,2021-09-11 21:54:27.436030,u
9,2021-09-11 21:54:28.219757,t
10,2021-09-11 21:54:28.646639,y
11,2021-09-11 21:54:29.273405,u
12,2021-09-11 21:54:30.216498,t
13,2021-09-11 21:54:30.580118,y
14,2021-09-11 21:54:31.211578,u
15,2021-09-11 21:54:32.159679,t
16,2021-09-11 21:54:32.619010,y
17,2021-09-11 21:54:33.262953,u
18,2021-09-11 21:54:34.155716,t
19,2021-09-11 21:54:34.543608,y
20,2021-09-11 21:54:35.255143,u
21,2021-09-11 21:54:36.159158,t
22,2021-09-11 21:54:36.597563,y
23,2021-09-11 21:54:37.225043,u
24,2021-09-11 21:54:38.219142,t
25,2021-09-11 21:54:38.568364,y
26,2021-09-11 21:54:39.207151,u
27,2021-09-11 21:54:40.069851,t
28,2021-09-11 21:54:40.428899,y
29,2021-09-11 21:54:41.008963,u
30,2021-09-11 21:54:41.942424,t
31,2021-09-11 21:54:42.334143,y
32,2021-09-11 21:54:42.880154,u
33,2021-09-11 21:54:43.853442,t
34,2021-09-11 21:54:44.227926,y
35,2021-09-11 21:54:44.896041,u
36,2021-09-11 21:54:45.839448,t
37,2021-09-11 21:54:46.258653,y
38,2021-09-11 21:54:47.185157,u
39,2021-09-11 21:54:48.094203,t
40,2021-09-11 21:54:48.485621,y
41,2021-09-11 21:54:49.168820,u
42,2021-09-11 21:54:50.076440,t
43,2021-09-11 21:54:50.479237,y
44,2021-09-11 21:54:51.071667,u
45,2021-09-11 21:54:52.006106,t
46,2021-09-11 21:54:52.486721,y
47,2021-09-11 21:54:53.147180,u
48,2021-09-11 21:54:54.001559,t
49,2021-09-11 21:54:54.604080,y
50,2021-09-11 21:54:55.341135,u
51,2021-09-11 21:54:56.348266,t
52,2021-09-11 21:54:56.863225,y
53,2021-09-11 21:54:57.640869,u
