,time,status
0,2021-09-11 22:05:42.261975,t
1,2021-09-11 22:05:42.650135,y
2,2021-09-11 22:05:43.364985,u
3,2021-09-11 22:05:44.057867,t
4,2021-09-11 22:05:44.377426,y
5,2021-09-11 22:05:45.303315,u
6,2021-09-11 22:05:46.065775,t
7,2021-09-11 22:05:46.451489,y
8,2021-09-11 22:05:47.416394,u
9,2021-09-11 22:05:48.049191,t
10,2021-09-11 22:05:48.522979,y
11,2021-09-11 22:05:49.526030,u
12,2021-09-11 22:05:50.274505,t
13,2021-09-11 22:05:50.757109,y
14,2021-09-11 22:05:51.784185,u
15,2021-09-11 22:05:52.347591,t
16,2021-09-11 22:05:52.823855,y
17,2021-09-11 22:05:53.837445,u
18,2021-09-11 22:05:54.544002,t
19,2021-09-11 22:05:54.937677,y
20,2021-09-11 22:05:55.859309,u
21,2021-09-11 22:05:56.609248,t
22,2021-09-11 22:05:57.065620,y
23,2021-09-11 22:05:58.169734,u
24,2021-09-11 22:05:58.900907,t
25,2021-09-11 22:05:59.434295,y
26,2021-09-11 22:06:00.429299,u
27,2021-09-11 22:06:01.140990,t
28,2021-09-11 22:06:01.540045,y
29,2021-09-11 22:06:02.475129,u
30,2021-09-11 22:06:03.100510,t
31,2021-09-11 22:06:03.544259,y
32,2021-09-11 22:06:04.490130,u
33,2021-09-11 22:06:05.200585,t
34,2021-09-11 22:06:05.729799,y
35,2021-09-11 22:06:06.676233,u
36,2021-09-11 22:06:07.364866,t
37,2021-09-11 22:06:07.915258,y
38,2021-09-11 22:06:08.887525,u
39,2021-09-11 22:06:09.531079,t
40,2021-09-11 22:06:10.121030,y
41,2021-09-11 22:06:11.214521,u
42,2021-09-11 22:06:11.971422,t
43,2021-09-11 22:06:12.617376,y
44,2021-09-11 22:06:13.535288,u
45,2021-09-11 22:06:14.316870,t
46,2021-09-11 22:06:14.716945,y
47,2021-09-11 22:06:15.586790,u
48,2021-09-11 22:06:16.424719,t
49,2021-09-11 22:06:16.958148,y
50,2021-09-11 22:06:17.916706,u
51,2021-09-11 22:06:18.680000,t
52,2021-09-11 22:06:19.151976,y
53,2021-09-11 22:06:20.237850,u
